fold_id,candidate,family,train_runs,validation_run,test_run,selected_config_id,selected_q_threshold,selected_hi_value,selected_lo_value,validation_score,validation_return,validation_trades,validation_fill_rate,delay_seconds,max_spread,max_overround,min_depth,max_adverse_slippage,fixed_slippage,fraction
11,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1",25545252940_attempt1,25596809734_attempt1,d8_sp40_ov30_dep300_adv15_fix25_f100,0.9,0.36971208387571397,-0.367065259527193,0.8259114583333333,0.024614648510257187,16,0.25396825396825395,8,0.04,0.03,300.0,0.015,0.0025,0.01
11,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1",25545252940_attempt1,25596809734_attempt1,d8_sp40_ov30_dep100_adv15_fix25_f100,0.9,0.5768036247197573,-0.5506659231072037,0.9212890625,0.03934657021083576,18,0.5344827586206896,8,0.04,0.03,100.0,0.015,0.0025,0.01
12,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1",25596809734_attempt1,25624592440_attempt1,d4_sp40_ov30_dep100_adv15_fix25_f100,,,,0.9214843749999999,0.008583256120880511,13,0.38181818181818183,4,0.04,0.03,100.0,0.015,0.0025,0.01
12,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1",25596809734_attempt1,25624592440_attempt1,d8_sp60_ov30_dep100_adv5_fix25_f100,0.85,0.2562475138808744,-0.2486795303646455,0.8216145833333333,0.024830741656270527,18,0.30337078651685395,8,0.06,0.03,100.0,0.005,0.0025,0.01
12,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1",25596809734_attempt1,25624592440_attempt1,d8_sp40_ov30_dep300_adv15_fix25_f100,0.9,0.574748133797195,-0.5541067400871221,0.8427083333333333,0.08197102360336994,8,0.1509433962264151,8,0.04,0.03,300.0,0.015,0.0025,0.01
13,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1",25624592440_attempt1,25665168591_attempt1,d8_sp40_ov30_dep300_adv15_fix25_f100,,,,0.8769531249999999,0.010288246648402666,12,0.24074074074074073,8,0.04,0.03,300.0,0.015,0.0025,0.01
13,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1",25624592440_attempt1,25665168591_attempt1,d8_sp40_ov30_dep100_adv15_fix75_f100,0.9,0.3829120535805226,-0.3700590397215721,0.9266927083333333,-0.0008678710289060643,12,0.2777777777777778,8,0.04,0.03,100.0,0.015,0.0075,0.01
13,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1",25624592440_attempt1,25665168591_attempt1,d8_sp40_ov30_dep300_adv5_fix25_f100,0.9,0.5749500713266763,-0.5537568768980238,0.8916015625,0.04570620437531381,11,0.39473684210526316,8,0.04,0.03,300.0,0.005,0.0025,0.01
14,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1",25665168591_attempt1,25791429807_attempt1,d4_sp40_ov30_dep100_adv15_fix25_f200,,,,0.744921875,0.09664882819354004,13,0.2909090909090909,4,0.04,0.03,100.0,0.015,0.0025,0.02
14,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1",25665168591_attempt1,25791429807_attempt1,d8_sp40_ov30_dep100_adv5_fix25_f200,0.9,0.3860092241567168,-0.3721197458768959,0.69046875,0.01407948877116838,5,0.13157894736842105,8,0.04,0.03,100.0,0.005,0.0025,0.02
