fold_id,candidate,family,train_runs,validation_run,test_run,selected_config_id,selected_q_threshold,selected_hi_value,selected_lo_value,validation_score,validation_return,validation_trades,validation_fill_rate,delay_seconds,max_spread,max_overround,min_depth,max_adverse_slippage,fixed_slippage,fraction
18,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1",25957739510_attempt1,25986690554_attempt1,d4_sp40_ov30_dep100_adv5_fix25_f100,,,,0.811328125,0.014510827692302719,8,0.19047619047619047,4,0.04,0.03,100.0,0.005,0.0025,0.01
18,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1",25957739510_attempt1,25986690554_attempt1,d4_sp40_ov30_dep300_adv15_fix25_f100,0.85,0.2583493052088583,-0.2479092340302332,0.8623697916666666,0.01203959937538679,14,0.18181818181818182,4,0.04,0.03,300.0,0.015,0.0025,0.01
18,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1",25957739510_attempt1,25986690554_attempt1,d4_sp40_ov30_dep300_adv5_fix25_f200,0.95,0.6998784598481311,-0.6926013521947578,0.8287946428571429,0.04632576832277602,4,0.16666666666666666,4,0.04,0.03,300.0,0.005,0.0025,0.02
19,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1",25986690554_attempt1,26029755017_attempt1,d8_sp40_ov30_dep300_adv5_fix25_f100,,,,0.891015625,-0.0001701920407011226,13,0.18823529411764706,8,0.04,0.03,300.0,0.005,0.0025,0.01
19,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1",25986690554_attempt1,26029755017_attempt1,d8_sp40_ov30_dep100_adv15_fix75_f100,0.9,0.3807456018961144,-0.36868922984096936,0.9188802083333333,0.01816900709417335,15,0.3220338983050847,8,0.04,0.03,100.0,0.015,0.0075,0.01
19,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1",25986690554_attempt1,26029755017_attempt1,d8_sp40_ov30_dep100_adv15_fix25_f100,0.9,0.5671883593963896,-0.5483273843866678,0.9119140624999998,0.02449327895815867,13,0.4090909090909091,8,0.04,0.03,100.0,0.015,0.0025,0.01
20,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1",26029755017_attempt1,26091905404_attempt1,d4_sp40_ov30_dep100_adv15_fix25_f100,,,,0.861328125,0.01613348075976373,15,0.34615384615384615,4,0.04,0.03,100.0,0.015,0.0025,0.01
20,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1",26029755017_attempt1,26091905404_attempt1,d8_sp40_ov30_dep100_adv15_fix25_f200,0.9,0.3814799924538372,-0.3700413117098524,0.7766369047619047,0.05120183018654778,18,0.4418604651162791,8,0.04,0.03,100.0,0.015,0.0025,0.02
20,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1",26029755017_attempt1,26091905404_attempt1,d4_sp40_ov30_dep300_adv15_fix25_f100,0.9,0.5622973934291186,-0.5485794505221053,0.8556640624999999,0.07192617343900043,14,0.31666666666666665,4,0.04,0.03,300.0,0.015,0.0025,0.01
21,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1",26091905404_attempt1,26156603287_attempt1,d4_sp40_ov30_dep300_adv15_fix25_f100,,,,0.806640625,0.03442585543757004,12,0.19047619047619047,4,0.04,0.03,300.0,0.015,0.0025,0.01
21,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1",26091905404_attempt1,26156603287_attempt1,d8_sp40_ov30_dep100_adv15_fix25_f100,0.85,0.25534567985457324,-0.24571431051075565,0.7871093749999999,0.019164633561603805,17,0.36507936507936506,8,0.04,0.03,100.0,0.015,0.0025,0.01
21,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1",26091905404_attempt1,26156603287_attempt1,d4_sp40_ov30_dep300_adv5_fix25_f100,0.95,0.6936185811761146,-0.6936367673306403,0.8126953124999999,0.017121723817732137,4,0.23529411764705882,4,0.04,0.03,300.0,0.005,0.0025,0.01
22,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1,26091905404_attempt1",26156603287_attempt1,26221008452_attempt1,d4_sp60_ov30_dep100_adv15_fix25_f100,,,,0.921484375,0.03594366949352823,16,0.45901639344262296,4,0.06,0.03,100.0,0.015,0.0025,0.01
22,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1,26091905404_attempt1",26156603287_attempt1,26221008452_attempt1,d4_sp40_ov30_dep100_adv15_fix25_f100,0.85,0.2537563021655998,-0.24426762438993546,0.8803385416666667,0.011747715215229215,20,0.3181818181818182,4,0.04,0.03,100.0,0.015,0.0025,0.01
22,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1,26091905404_attempt1",26156603287_attempt1,26221008452_attempt1,d8_sp40_ov50_dep100_adv5_fix25_f100,0.95,0.692945362421721,-0.6924487111883192,0.8451171875,0.06641601893039417,10,0.45454545454545453,8,0.04,0.05,100.0,0.005,0.0025,0.01
