run_name,file_count,raw_row_count,is_complete_run
24949259015_attempt1,48,39535,True
24952032748_attempt1,48,36019,True
24986940107_attempt1,48,40793,True
25044896828_attempt1,48,39723,True
25100490855_attempt1,48,40583,True
25157440693_attempt1,48,40774,True
25208977834_attempt1,48,40558,True
25247789591_attempt1,48,38790,True
25274678535_attempt1,48,39865,True
25311264469_attempt1,48,41955,True
25367630341_attempt1,48,39433,True
25427145257_attempt1,48,42213,True
25487949887_attempt1,48,38628,True
25545252940_attempt1,48,42129,True
25596809734_attempt1,48,41252,True
25624592440_attempt1,48,38959,True
25665168591_attempt1,48,39795,True
25726497649_attempt1,21,17380,False
25791429807_attempt1,48,41466,True
25852951350_attempt1,48,42646,True
25911485679_attempt1,48,43355,True
25957739510_attempt1,48,44234,True
25986690554_attempt1,48,41729,True
26029755017_attempt1,48,41183,True
26091905404_attempt1,48,39368,True
26156603287_attempt1,48,43682,True
26221008452_attempt1,48,42392,True
26282408844_attempt1,22,19934,False
26328797356_attempt1,13,12169,False
26357456273_attempt1,48,39586,True
26709070227_attempt1,48,39628,True
26709294970_attempt1,48,39828,True
26755468029_attempt1,48,39695,True
26832707302_attempt1,48,39271,True
26944523023_attempt1,48,41103,True
27008365180_attempt1,48,41830,True
27059341408_attempt1,48,44964,True
27089462916_attempt1,48,40712,True
27130700451_attempt1,48,40996,True
27199408085_attempt1,48,40945,True
27269618919_attempt1,48,41355,True
27340390720_attempt1,48,40724,True
27410119221_attempt1,48,41690,True
27464308599_attempt1,48,41293,True
27496226714_attempt1,48,42567,True
27540844174_attempt1,48,41823,True
27612222130_attempt1,48,41285,True
27683808024_attempt1,48,39594,True
27754758156_attempt1,48,43343,True
27821835753_attempt1,48,40908,True
27869277828_attempt1,48,43151,True
27902430728_attempt1,48,41575,True
27948683312_attempt1,48,38576,True
28022420503_attempt1,48,39982,True
28095005508_attempt1,48,40768,True
28166886036_attempt1,48,40660,True
28235383560_attempt1,48,41015,True
28288053257_attempt1,48,41462,True
28321073325_attempt1,48,40148,True
28369678027_attempt1,48,43957,True
28442123818_attempt1,48,41850,True
28515647330_attempt1,48,41375,True
28588281394_attempt1,48,41082,True
28659365605_attempt1,48,39572,True
28705739897_attempt1,48,43021,True
28740396418_attempt1,48,42685,True
28790909570_attempt1,36,30895,False
28847404575_attempt1,48,39100,True
28923778969_attempt1,48,39674,True
29000291038_attempt1,48,44122,True
29075660007_attempt1,48,39975,True
29144058049_attempt1,48,40497,True
29183942155_attempt1,48,42169,True
29231728767_attempt1,48,39345,True
29314482071_attempt1,48,38746,True
29397534768_attempt1,48,40167,True
29480427148_attempt1,48,39768,True
29563821720_attempt1,48,39654,True
29636284636_attempt1,48,39740,True
29678766108_attempt1,48,40970,True
29726104371_attempt1,48,40584,True
29812544557_attempt1,48,41291,True
29902589491_attempt1,48,37688,True
29990397142_attempt1,48,38654,True
30078303224_attempt1,48,44604,True
30150922378_attempt1,7,6438,False
30837944463_attempt1,48,38602,True
30935583061_attempt1,35,31336,False
