candidate,family,entry_minute,config_id,q_threshold,hi_value,lo_value,signals,eligible_fills,trades,fill_rate_vs_signals,trade_rate_vs_signals,ending_bankroll,total_return,max_drawdown,win_rate,avg_pnl,profit_factor,delay_seconds,max_spread,max_overround,min_depth,max_adverse_slippage,fixed_slippage,fraction,worst_144_return,median_144_return,positive_144_rate,active_144_rate,split,fold_id,run_label
classic_early_drop_down,classic_microstructure,1,d8_sp40_ov30_dep100_adv15_fix25_f100,,,,163,54,41,0.3312883435582822,0.25153374233128833,96.25240159129825,-0.037475984087017467,0.05747770489572342,0.6341463414634146,-0.09140483923662684,0.7532613572558373,8,0.04,0.03,100.0,0.015,0.0025,0.01,-0.038469298877037095,-0.008142270645504435,0.26440677966101694,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1
classic_early_drop_down,classic_microstructure,1,d8_sp40_ov30_dep100_adv15_fix25_f100,,,,69,26,16,0.37681159420289856,0.2318840579710145,102.11012720670743,0.02110127206707424,0.020247517485867554,0.75,0.13188295041921388,1.5089341790135868,8,0.04,0.03,100.0,0.015,0.0025,0.01,-0.014069073870521365,0.0029225994536878908,0.6761904761904762,1.0,validation,1,25044896828_attempt1
classic_early_drop_down,classic_microstructure,1,d8_sp40_ov30_dep100_adv15_fix25_f100,,,,47,15,11,0.3191489361702128,0.23404255319148937,94.91487938016243,-0.05085120619837569,0.05085120619837568,0.36363636363636365,-0.4622836927125071,0.2710762743217664,8,0.04,0.03,100.0,0.015,0.0025,0.01,-0.04039467200791247,-0.018093051741934763,0.0,1.0,test,1,25100490855_attempt1
btc2_path_eff,alphaforge_interaction,2,d8_sp40_ov30_dep100_adv15_fix25_f100,0.85,0.2721605782035938,-0.2360531323735426,220,82,45,0.37272727272727274,0.20454545454545456,98.63569886337183,-0.013643011366281765,0.05059713450859188,0.7777777777777778,-0.030317803036180903,0.8625861112951313,8,0.04,0.03,100.0,0.015,0.0025,0.01,-0.04181265872175155,0.005577400073914385,0.6830508474576271,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1
btc2_path_eff,alphaforge_interaction,2,d8_sp40_ov30_dep100_adv15_fix25_f100,0.85,0.2721605782035938,-0.2360531323735426,66,21,16,0.3181818181818182,0.24242424242424243,102.07296533293172,0.020729653329317088,0.010180995475113181,0.9375,0.12956033330823305,2.9846129408833493,8,0.04,0.03,100.0,0.015,0.0025,0.01,-0.005378400796352656,0.011898218549281525,0.6095238095238096,1.0,validation,1,25044896828_attempt1
btc2_path_eff,alphaforge_interaction,2,d8_sp40_ov30_dep100_adv15_fix25_f100,0.85,0.2721605782035938,-0.2360531323735426,60,17,13,0.2833333333333333,0.21666666666666667,99.44080316355,-0.005591968364500044,0.021141000283773043,0.7692307692307693,-0.04301514126538596,0.8154670252449163,8,0.04,0.03,100.0,0.015,0.0025,0.01,-0.02114100028377286,-0.01143853878474066,0.15315315315315314,1.0,test,1,25100490855_attempt1
size_imbalance_uncertainty,alphaforge_interaction,2,d8_sp40_ov30_dep300_adv5_fix25_f100,0.9,0.5173750981079759,-0.5601522396464513,148,36,26,0.24324324324324326,0.17567567567567569,99.18525942989463,-0.008147405701053767,0.07781241566143605,0.4230769230769231,-0.031336175773283306,0.9471137095905214,8,0.04,0.03,300.0,0.005,0.0025,0.01,-0.06007455458281519,-0.005718114210367831,0.43728813559322033,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1
size_imbalance_uncertainty,alphaforge_interaction,2,d8_sp40_ov30_dep300_adv5_fix25_f100,0.9,0.5173750981079759,-0.5601522396464513,65,9,9,0.13846153846153847,0.13846153846153847,102.34557069955565,0.023455706995556547,0.021930419292321916,0.5555555555555556,0.26061896661729794,1.5490684128673753,8,0.04,0.03,300.0,0.005,0.0025,0.01,-0.020560024177642022,-0.010236686390532546,0.2857142857142857,1.0,validation,1,25044896828_attempt1
size_imbalance_uncertainty,alphaforge_interaction,2,d8_sp40_ov30_dep300_adv5_fix25_f100,0.9,0.5173750981079759,-0.5601522396464513,47,4,4,0.0851063829787234,0.0851063829787234,97.69363563668526,-0.02306364363314739,0.02306364363314742,0.25,-0.5765910908286869,0.2536384105668583,8,0.04,0.03,300.0,0.005,0.0025,0.01,-0.02306364363314739,-0.01299719713627856,0.0,1.0,test,1,25100490855_attempt1
classic_early_drop_down,classic_microstructure,1,d4_sp40_ov30_dep300_adv5_fix25_f100,,,,232,31,29,0.1336206896551724,0.125,100.7098950324471,0.007098950324470943,0.025961240668596543,0.7586206896551724,0.024479139049901243,1.0985394462423952,4,0.04,0.03,300.0,0.005,0.0025,0.01,-0.01703571566757267,0.0,0.48329355608591884,0.9009546539379475,train,2,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1+25044896828_attempt1
