source_layer,strategy,sizing,run_name,market_id,slug,first_quote_ts,regime,entry_minute,side,target_cost,shares,entry_price,pnl_usd,bankroll_after,fair_prob,market_price,edge,support,sim_max_drawdown
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777203900,btc-updown-5m-1777203900,2026-04-26 11:45:01+00:00,early_drop,1,buy_down,10.0,12.345679012345679,0.81,-10.123456790123457,89.87654320987654,,,,,0.10123456790123456
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777207500,btc-updown-5m-1777207500,2026-04-26 12:45:01+00:00,early_drop,1,buy_down,8.987654320987655,10.45076083835774,0.86,1.3585989089865063,91.23514211886305,,,,,0.10123456790123456
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777208100,btc-updown-5m-1777208100,2026-04-26 12:55:00+00:00,early_drop,1,buy_down,9.123514211886306,12.497964673816858,0.73,3.249470815192383,94.48461293405543,,,,,0.10123456790123456
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777210500,btc-updown-5m-1777210500,2026-04-26 13:35:01+00:00,early_drop,1,buy_down,3.7224,5.64,0.66,-3.7788,90.70581293405543,,,,,0.10123456790123456
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777210800,btc-updown-5m-1777210800,2026-04-26 13:40:01+00:00,early_drop,1,buy_down,9.070581293405544,12.425453826582938,0.73,3.230617994911564,93.936430928967,,,,,0.10123456790123456
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777211100,btc-updown-5m-1777211100,2026-04-26 13:45:01+00:00,early_drop,1,buy_down,9.393643092896701,11.597090238144075,0.81,2.087476242865933,96.02390717183293,,,,,0.10123456790123456
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777212000,btc-updown-5m-1777212000,2026-04-26 14:00:02+00:00,early_drop,1,buy_down,9.602390717183294,11.56914544238951,0.83,1.851063270782322,97.87497044261525,,,,,0.10123456790123456
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777214100,btc-updown-5m-1777214100,2026-04-26 14:35:01+00:00,early_drop,1,buy_down,9.787497044261526,12.548073133668623,0.78,-9.912977775598213,87.96199266701704,,,,,0.12038007332982957
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777214700,btc-updown-5m-1777214700,2026-04-26 14:45:01+00:00,early_drop,1,buy_down,8.796199266701704,11.728265688935606,0.75,2.8147837653445453,90.77677643236159,,,,,0.12038007332982957
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777217400,btc-updown-5m-1777217400,2026-04-26 15:30:02+00:00,early_drop,1,buy_down,9.077677643236159,13.349525945935527,0.68,4.138353043240013,94.9151294756016,,,,,0.12038007332982957
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777218300,btc-updown-5m-1777218300,2026-04-26 15:45:02+00:00,early_drop,1,buy_down,9.49151294756016,12.82636884805427,0.74,3.2065922120135677,98.12172168761516,,,,,0.12038007332982957
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777224600,btc-updown-5m-1777224600,2026-04-26 17:30:02+00:00,early_drop,1,buy_down,9.812172168761517,12.579707908668611,0.78,2.641738660820408,100.76346034843557,,,,,0.12038007332982957
all_monthly_history,hist_m1_drop20_down,fixed_10pct,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777227000,btc-updown-5m-1777227000,2026-04-26 18:10:02+00:00,early_drop,1,buy_down,10.076346034843558,12.918392352363536,0.78,-10.205529958367194,90.55793039006838,,,,,0.12038007332982957
