source_layer,strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,median_trade_return_on_cost,win_rate,profit_factor,max_drawdown,max_consecutive_losses,avg_entry_minute,avg_edge,p10_trade_return_on_cost,score_end,score_win,score_pf,score_dd,score_streak,score_tail,robustness_score
all_monthly_history,hist_m4_rise30to50_up,fixed_25pct,50,179.2204390472366,0.7922043904723659,0.0635924410080621,0.09999999999999998,0.9,1.4438900332229465,0.47523713617613145,2,4.0,,-0.091927437641723,1.0,0.96875,0.9791666666666666,0.9375,0.96875,0.9479166666666666,0.96875
all_monthly_history,hist_m2_sharpdrop_reversal_up,fixed_10pct,51,176.20839875467735,0.7620839875467735,0.44392442688487893,-1.0344827586206897,0.3137254901960784,1.1240559917716548,0.5533673320781297,9,2.0,,-1.0666666666666667,0.9791666666666666,0.13541666666666666,0.9166666666666666,0.8958333333333334,0.4270833333333333,0.5833333333333334,0.6864583333333334
all_monthly_history,hist_m4_rise30to50_up,fixed_20pct,50,160.44885747940603,0.6044885747940603,0.06359244100806209,0.09999999999999998,0.9,1.4448693889643969,0.3824616554652909,2,4.0,,-0.09192743764172298,0.9583333333333334,0.96875,1.0,0.9583333333333334,0.96875,0.9895833333333334,0.9729166666666668
all_monthly_history,hist_switch_v1,fixed_10pct,242,157.3799193191817,0.5737991931918172,0.12383625720297181,0.21476964769647694,0.5991735537190083,1.0270881072428273,0.7425889165187879,5,1.7272727272727273,,-1.0769230769230769,0.9375,0.6354166666666666,0.8541666666666666,0.6875,0.6354166666666666,0.3125,0.7177083333333334
all_monthly_history,hist_switch_conservative,fixed_10pct,133,151.87243219205988,0.5187243219205988,0.17983360172652704,0.28571428571428564,0.5789473684210527,1.0509911092991695,0.6012848494634269,7,1.6165413533834587,,-1.0521052631578947,0.9166666666666666,0.5520833333333334,0.875,0.875,0.5520833333333334,0.6354166666666666,0.7625
all_monthly_history,hist_m2_sharpdrop_reversal_up,fixed_15pct,51,149.73398683189023,0.4973398683189023,0.44392442688487893,-1.0344827586206897,0.3137254901960784,1.0554443889406242,0.6723546673778744,9,2.0,,-1.0666666666666669,0.8958333333333334,0.13541666666666666,0.8958333333333334,0.8333333333333334,0.4270833333333333,0.5416666666666666,0.6489583333333335
all_monthly_history,hist_m4_rise30to50_up,fixed_15pct,50,138.78299578348776,0.3878299578348776,0.0635924410080621,0.09999999999999999,0.9,1.3856391820826268,0.28894779861417536,2,4.0,,-0.091927437641723,0.875,0.96875,0.9375,0.9791666666666666,0.96875,0.9479166666666666,0.9437500000000001
all_monthly_history,hist_m2_sharpdrop_reversal_up,fixed_20pct,51,128.4382770850673,0.2843827708506732,0.44392442688487893,-1.0344827586206897,0.3137254901960784,1.0263406280308363,0.7305927852060666,9,2.0,,-1.0666666666666669,0.8541666666666666,0.13541666666666666,0.8333333333333334,0.7291666666666666,0.4270833333333333,0.5416666666666666,0.6072916666666668
all_monthly_history,hist_m2_sharpdrop_reversal_up,fixed_25pct,51,126.17669245464688,0.2617669245464689,0.44392442688487893,-1.0344827586206897,0.3137254901960784,1.0222601836840226,0.7404759864041899,9,2.0,,-1.0666666666666669,0.8333333333333334,0.13541666666666666,0.8125,0.7083333333333334,0.4270833333333333,0.5416666666666666,0.5947916666666668
all_monthly_history,hist_m4_rise30to50_up,fixed_10pct,50,126.13564268032772,0.2613564268032773,0.0635924410080621,0.09999999999999998,0.9,1.4135683248432032,0.19330241445183174,2,4.0,,-0.09192743764172298,0.8125,0.96875,0.9583333333333334,1.0,0.96875,0.9895833333333334,0.9437500000000002
all_monthly_history,hist_fairprob_robust,fixed_10pct,173,120.44461788743351,0.20444617887433503,0.13946218911177732,0.19277108433734946,0.5606936416184971,1.0207353742301897,0.6941623021977635,10,1.9421965317919074,0.1831776231520626,-1.0714285714285716,0.7916666666666666,0.3854166666666667,0.7916666666666666,0.7604166666666666,0.21875,0.4583333333333333,0.6135416666666667
all_monthly_history,hist_fairprob_conservative,fixed_10pct,170,112.35337849568333,0.1235337849568332,0.1357258075750944,0.19277108433734946,0.5529411764705883,1.0128611771850413,0.6941623021977635,10,1.9529411764705882,0.18554807598401576,-1.0719780219780222,0.7708333333333334,0.3020833333333333,0.7708333333333334,0.7604166666666666,0.21875,0.375,0.5802083333333333
all_monthly_history,hist_switch_conservative,fixed_15pct,133,107.24042764469483,0.07240427644694836,0.17983360172652704,0.28571428571428564,0.5789473684210527,1.0051452802711025,0.7456198294319468,7,1.6165413533834587,,-1.0521052631578947,0.75,0.5520833333333334,0.7291666666666666,0.6666666666666666,0.5520833333333334,0.6354166666666666,0.6583333333333332
all_monthly_history,hist_fairprob_switch,fixed_10pct,186,106.71027003768944,0.06710270037689448,0.1261017395124891,0.22222222222222213,0.5698924731182796,1.0065315620645312,0.6838299475422828,10,1.913978494623656,0.17319951567115938,-1.076923076923077,0.7291666666666666,0.46875,0.75,0.8125,0.21875,0.22916666666666666,0.596875
all_monthly_history,hist_switch_v1,fixed_15pct,242,91.85517389053346,-0.08144826109466541,0.12383625720297181,0.21476964769647694,0.5991735537190083,0.9969280000254905,0.8660811672546267,5,1.7272727272727273,,-1.076923076923077,0.7083333333333334,0.6354166666666666,0.7083333333333334,0.5,0.6354166666666666,0.22916666666666666,0.596875
all_monthly_history,hist_m1_drop20_down,fixed_10pct,115,65.61287832911242,-0.34387121670887577,-0.005076999239954828,0.26923076923076916,0.7391304347826086,0.8824539983620605,0.6140951066614905,3,1.0,,-1.0147058823529411,0.6875,0.8854166666666666,0.4166666666666667,0.8541666666666666,0.84375,0.90625,0.7437500000000001
all_monthly_history,hist_switch_conservative,fixed_20pct,133,64.91474921649787,-0.3508525078350213,0.17983360172652701,0.28571428571428564,0.5789473684210527,0.978169562614113,0.8402830496810659,7,1.6165413533834587,,-1.0521052631578947,0.6666666666666666,0.5520833333333334,0.6875,0.5208333333333334,0.5520833333333334,0.6354166666666666,0.6041666666666667
all_monthly_history,hist_fairprob_robust,fixed_15pct,173,64.71420065769544,-0.3528579934230456,0.13946218911177732,0.19277108433734946,0.5606936416184971,0.9679108559672509,0.8343270414527038,10,1.9421965317919074,0.1831776231520626,-1.0714285714285716,0.6458333333333334,0.3854166666666667,0.6458333333333334,0.5520833333333334,0.21875,0.4583333333333333,0.5135416666666667
all_monthly_history,hist_m2_milddrop_down,fixed_10pct,83,59.80052674305265,-0.4019947325694735,-0.026164052805378566,0.2857142857142857,0.6506024096385542,0.8253067739195954,0.49407285192399564,4,2.0,,-1.0166666666666666,0.625,0.71875,0.25,0.9166666666666666,0.71875,0.7395833333333334,0.6479166666666668
all_monthly_history,hist_fairprob_conservative,fixed_15pct,170,58.65411271004844,-0.41345887289951566,0.13572580757509442,0.19277108433734944,0.5529411764705883,0.9610004190063469,0.8343270414527038,10,1.9529411764705882,0.18554807598401576,-1.0719780219780222,0.6041666666666666,0.3020833333333333,0.6041666666666666,0.5520833333333334,0.21875,0.375,0.47187499999999993
all_monthly_history,hist_fairprob_switch,fixed_15pct,186,54.71592308618176,-0.4528407691381824,0.1261017395124891,0.22222222222222215,0.5698924731182796,0.9600835487432582,0.8243134307833968,10,1.913978494623656,0.17319951567115938,-1.0769230769230769,0.5833333333333334,0.46875,0.5625,0.5833333333333334,0.21875,0.3125,0.49270833333333336
all_monthly_history,hist_m1_drop20_down,fixed_15pct,115,44.70897400951653,-0.5529102599048347,-0.005076999239954839,0.26923076923076916,0.7391304347826086,0.8589319573386642,0.7722634560148737,3,1.0,,-1.0147058823529413,0.5625,0.8854166666666666,0.3541666666666667,0.6458333333333334,0.84375,0.8645833333333334,0.6604166666666667
all_monthly_history,hist_m2_milddrop_down,fixed_15pct,83,40.185639268795725,-0.5981436073120427,-0.026164052805378566,0.2857142857142857,0.6506024096385542,0.7926788591806256,0.6855977416130397,4,2.0,,-1.0166666666666668,0.5416666666666666,0.71875,0.14583333333333334,0.7916666666666666,0.71875,0.6979166666666666,0.58125
all_monthly_history,hist_switch_v2,fixed_10pct,200,35.88112317557121,-0.6411887682442878,0.060163982618050005,0.09999999999999998,0.51,0.9410389219262711,0.875971846471695,9,1.845,,-1.0833333333333333,0.5208333333333334,0.21875,0.5416666666666666,0.4375,0.4270833333333333,0.13541666666666666,0.4000000000000001
