selected_strategy,strategy,trades,ending_bankroll,total_return,max_drawdown,win_rate,profit_factor,worst_144_return,median_144_return,positive_144_rate,active_144_rate,worst_864_return,median_864_return,positive_864_rate,active_864_rate,split,fold_id,run_label,family
game_pm_squeeze_fade_down,game_pm_squeeze_fade_down,35,79.2963153439309,-0.207036846560691,0.38615759417713946,0.2857142857142857,0.7818186185859365,-0.2265770714041796,-0.07088474121093757,0.19559228650137742,0.9931129476584022,-0.20703684656069077,-0.20703684656069077,0.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,game_theory
game_pm_squeeze_fade_down,game_pm_squeeze_fade_down,16,109.18842237822061,0.09188422378220618,0.10460002915431568,0.4375,1.2770642795994895,-0.03450052060711328,0.06039847664672071,0.8775510204081632,1.0,,,,,validation,1,25044896828_attempt1,game_theory
game_pm_squeeze_fade_down,game_pm_squeeze_fade_down,18,85.51378531140658,-0.14486214688593424,0.15854490864743645,0.2777777777777778,0.676508589524624,-0.13461537327212014,-0.01705841119995355,0.2789115646258503,1.0,,,,,test,1,25100490855_attempt1,game_theory
micro_book_consensus_up,micro_book_consensus_up,11,104.69067538599484,0.04690675385994836,0.06788213937967907,0.7272727272727273,1.351778601227495,-0.04072727272727272,0.0,0.29133858267716534,0.5748031496062992,-0.06788213937967913,0.0009752201362185353,0.6554054054054054,1.0,train,2,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1+25044896828_attempt1,microstructure
micro_book_consensus_up,micro_book_consensus_up,7,102.87243234211812,0.02872432342118114,0.040606060606060604,0.7142857142857143,1.3443020032463224,-0.040597014925373154,-0.004104219310007484,0.4489795918367347,1.0,,,,,validation,2,25100490855_attempt1,microstructure
micro_book_consensus_up,micro_book_consensus_up,7,92.22945567549786,-0.07770544324502138,0.10518892622524596,0.42857142857142855,0.5207678705443638,-0.07770544324502138,-0.011111801242236097,0.13013698630136986,0.636986301369863,,,,,test,2,25157440693_attempt1,microstructure
v1_balanced_mix,v1_balanced_mix,59,130.54703180216868,0.30547031802168667,0.4529359713920281,0.7796610169491526,1.148388840427449,-0.3732678016280264,0.11682285714285712,0.7006125574272588,1.0,-0.08685362300150401,0.7775051397051003,0.9778156996587031,1.0,train,3,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1+25044896828_attempt1+25100490855_attempt1,previous_v1
v1_balanced_mix,v1_balanced_mix,11,158.47131506277174,0.5847131506277174,0.08103896103896101,0.9090909090909091,7.994537616235634,0.2285552680037899,0.2673153215295432,1.0,1.0,,,,,validation,3,25157440693_attempt1,previous_v1
v1_balanced_mix,v1_balanced_mix,3,93.94838523274478,-0.0605161476725522,0.08200000000000005,0.6666666666666666,0.27887461659522017,-0.08199999999999996,0.0,0.0,0.4794520547945205,,,,,test,3,25208977834_attempt1,previous_v1
micro_book_consensus_up,micro_book_consensus_up,25,99.32913548448404,-0.006708645155159565,0.11561883688593368,0.64,0.9830294140851017,-0.07770544324502138,0.0,0.29905956112852666,0.6156739811912225,-0.10572334207948919,-0.0003965626734436789,0.3028571428571429,1.0,train,4,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1+25044896828_attempt1+25100490855_attempt1+25157440693_attempt1,microstructure
micro_book_consensus_up,micro_book_consensus_up,4,104.55440089991514,0.04554400899915145,0.040588235294117654,0.75,2.0654066067674544,0.0,0.03764705882352937,0.8835616438356164,0.8835616438356164,,,,,validation,4,25208977834_attempt1,microstructure
micro_book_consensus_up,micro_book_consensus_up,7,98.88830931476475,-0.011116906852352448,0.0802124444444445,0.5714285714285714,0.911373904666455,-0.04112147333333327,-0.030506771423874923,0.22448979591836735,1.0,,,,,test,4,25247789591_attempt1,microstructure
classic_early_drop_down,classic_early_drop_down,132,135.3241111687049,0.35324111168704886,0.15705661301915427,0.7878787878787878,1.2733271923418563,-0.13504466016949934,0.002537362102854379,0.5456475583864119,1.0,0.004979251500782489,0.13388148788315535,1.0,1.0,train,5,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1+25044896828_attempt1+25100490855_attempt1+25157440693_attempt1+25208977834_attempt1,classic_quant
classic_early_drop_down,classic_early_drop_down,20,118.88897509202972,0.18888975092029714,0.040754716981132096,0.95,4.739543603505915,0.08452280045014504,0.09077916669580421,1.0,1.0,,,,,validation,5,25247789591_attempt1,classic_quant
classic_early_drop_down,classic_early_drop_down,21,102.75081620584149,0.027508162058414776,0.10059441720126448,0.7619047619047619,1.1356496168330752,-0.09729047932283486,0.0586440583464527,0.6598639455782312,1.0,,,,,test,5,25274678535_attempt1,classic_quant
classic_breakout_up,classic_breakout_up,41,131.14294843693497,0.3114294843693497,0.0810673049200502,0.8536585365853658,1.899242460440147,-0.05072266496867228,0.009638554216867545,0.6467341306347746,0.7916283348666053,0.012085780891538,0.09419348268684336,1.0,1.0,train,6,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1+25044896828_attempt1+25100490855_attempt1+25157440693_attempt1+25208977834_attempt1+25247789591_attempt1,classic_quant
classic_breakout_up,classic_breakout_up,6,102.10236949234069,0.021023694923406833,0.018381655605040827,0.8333333333333334,2.118757711973545,-0.007474785111763582,0.006250000000000089,0.8775510204081632,0.9727891156462585,,,,,validation,6,25274678535_attempt1,classic_quant
classic_breakout_up,classic_breakout_up,7,101.6181908587569,0.01618190858756896,0.05080645161290328,0.8571428571428571,1.2975049513986108,-0.005400716019600682,0.02680831826401442,0.8698630136986302,1.0,,,,,test,6,25311264469_attempt1,classic_quant
classic_early_drop_down,classic_early_drop_down,172,153.85850557996582,0.5385850557996583,0.15705661301915427,0.7848837209302325,1.2834486151605544,-0.13504466016949934,0.021346105599315157,0.5787337662337663,1.0,0.004979251500782489,0.17387235251998323,1.0,1.0,train,7,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1+25044896828_attempt1+25100490855_attempt1+25157440693_attempt1+25208977834_attempt1+25247789591_attempt1+25274678535_attempt1,classic_quant
classic_early_drop_down,classic_early_drop_down,20,114.29272935644089,0.1429272935644088,0.06117306818181817,0.85,2.1575427942776417,0.02494130035880726,0.0958604101895888,1.0,1.0,,,,,validation,7,25311264469_attempt1,classic_quant
classic_early_drop_down,classic_early_drop_down,20,120.84643850152003,0.20846438501520037,0.04065573770491805,0.9,3.469883939836479,0.03979753118340579,0.12773333404821918,1.0,1.0,,,,,test,7,25367630341_attempt1,classic_quant
classic_early_drop_down,classic_early_drop_down,191,149.13697996203535,0.49136979962035365,0.17670988499386214,0.7801047120418848,1.2216449923656025,-0.13504466016949934,0.0115570878262794,0.5644751180530331,1.0,0.004979251500782489,0.1794653971931499,1.0,1.0,train,8,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1+25044896828_attempt1+25100490855_attempt1+25157440693_attempt1+25208977834_attempt1+25247789591_attempt1+25274678535_attempt1+25311264469_attempt1,classic_quant
classic_early_drop_down,classic_early_drop_down,20,120.84643850152003,0.20846438501520037,0.04065573770491805,0.9,3.469883939836479,0.03979753118340579,0.12773333404821918,1.0,1.0,,,,,validation,8,25367630341_attempt1,classic_quant
classic_early_drop_down,classic_early_drop_down,20,98.35687991173188,-0.01643120088268124,0.13804787700929455,0.75,0.9176668750129171,-0.11061511755289477,0.0851624485001079,0.7602739726027398,1.0,,,,,test,8,25427145257_attempt1,classic_quant
timeseries_momentum_up,timeseries_momentum_up,9,98.23261683664622,-0.017673831633537862,0.07949173053650656,0.6666666666666666,0.8529883011809218,-0.07949173053650671,0.0,0.21005917159763313,0.31985535831689677,-0.07949173053650671,0.021975789022868897,0.5473729543496986,0.9194659776055125,train,9,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1+25044896828_attempt1+25100490855_attempt1+25157440693_attempt1+25208977834_attempt1+25247789591_attempt1+25274678535_attempt1+25311264469_attempt1+25367630341_attempt1,time_series
timeseries_momentum_up,timeseries_momentum_up,3,100.5266556302521,0.0052665563025209305,0.04058823529411769,0.6666666666666666,1.1238369842373066,0.0,0.0,0.3767123287671233,0.3767123287671233,,,,,validation,9,25427145257_attempt1,time_series
timeseries_momentum_up,timeseries_momentum_up,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,test,9,25487949887_attempt1,time_series
