strategy,family,folds_tested,avg_test_return,median_test_return,min_test_return,pct_positive_test,avg_test_drawdown,max_test_drawdown,avg_test_win_rate,avg_profit_factor,selected_count,robust_wf_score
classic_early_drop_down,classic_quant,78,0.0057418545030118165,0.01177887688382917,-0.3073081056890935,0.5769230769230769,0.10962407803547823,0.3306216509783958,0.7526786059591489,1.2708052851542488,17,0.9142857142857144
v1_conservative_mix,previous_v1,78,0.0008156196389810102,0.008463445622972743,-0.38990605194403327,0.5256410256410257,0.13404434570673612,0.39903463969549413,0.6938766717612871,1.217457015504539,0,0.7226190476190476
portfolio_micro_ts_mix,portfolio,78,0.005034889649364993,-0.009090180194473663,-0.4173209909353469,0.46153846153846156,0.16420199741332497,0.4173209909353469,0.3565523490207939,1.0699823675480002,9,0.7154761904761904
classic_breakout_up,classic_quant,78,-0.0008359876694597209,0.006573275862069017,-0.1509468094041888,0.5384615384615384,0.047568538369018774,0.16007748032767014,0.7704140015828328,0.736573742061332,8,0.6988095238095239
v1_adaptive_mix,previous_v1,78,0.000616812192289534,0.010185555459194306,-0.48271442860691705,0.5256410256410257,0.1694503395614498,0.4931619072413151,0.6938766717612871,1.190785248871794,3,0.6726190476190477
classic_milddrop_down,classic_quant,78,-0.0015738331601947138,0.003473248763099568,-0.3127781420228455,0.5,0.1452515518052726,0.3828942291711736,0.6671334917122604,1.1479865111403582,6,0.6428571428571428
timeseries_momentum_down,time_series,78,0.0015344962720154464,0.0,-0.07961670761670758,0.28205128205128205,0.01240737607799656,0.07965005128205124,0.7,0.44369577772687546,0,0.5785714285714285
v1_active_fill_mix,previous_v1,78,-0.0027601732542557158,-0.018663241324429924,-0.4444577543697712,0.48717948717948717,0.14218680177834928,0.4527701071722185,0.6990802156154026,1.1621628191781577,6,0.5619047619047619
v1_balanced_mix,previous_v1,78,-0.00472054660036757,0.009047428008793101,-0.4794822517884596,0.5384615384615384,0.1743733691677448,0.4898151103137507,0.6969750157250157,1.1859207776505611,2,0.5607142857142857
game_pm_squeeze_fade_down,game_theory,78,-0.016856129028013873,-0.03771525505500262,-0.41389066957781684,0.46153846153846156,0.18402015161871296,0.41389066957781684,0.3317230045870794,0.9931091202646402,8,0.49642857142857144
micro_book_consensus_up,microstructure,78,-0.015867359738769835,-0.01124506056903335,-0.14175241454720167,0.4358974358974359,0.06348343731576925,0.1908334632848202,0.6058674147489937,0.8281856145271064,4,0.4952380952380952
micro_book_consensus_down,microstructure,78,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.4595238095238095
ml_logit_edge_06,ml_value,78,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.4595238095238095
ml_logit_edge_10,ml_value,78,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.4595238095238095
v1_logit_overlay_mix,previous_v1,78,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.4595238095238095
portfolio_conservative_v2,portfolio,78,-0.010379971081124293,-0.0009908062251984262,-0.161575150948851,0.3333333333333333,0.04754525121314068,0.17052504045289757,0.6444055944055943,0.7688069914700175,1,0.44999999999999996
game_pm_overshoot_fade_up,game_theory,78,-0.035500668574145855,-0.06140900023016804,-0.36144268520537726,0.38461538461538464,0.1943283555023842,0.40766564342187245,0.3256777189231345,0.9842670576051981,6,0.4428571428571429
timeseries_momentum_up,time_series,78,-0.0021793605415802598,0.0,-0.1530099991333157,0.24358974358974358,0.009192762484435188,0.15300999913331567,0.689080459770115,0.3936046050336221,2,0.4380952380952381
classic_sharpdrop_reversal_up,classic_quant,78,-0.03703513177298129,-0.1002034778124446,-0.4513059928390777,0.3717948717948718,0.27385718103544937,0.4667610188456815,0.21545205663150413,0.8995779148230266,4,0.35952380952380947
timeseries_reversion_down,time_series,78,-0.1106562797781062,-0.1900840391507676,-0.5525515090270745,0.2948717948717949,0.30372772319791147,0.5525515090270745,0.11089111437855187,0.6987939000863987,2,0.2476190476190476
classic_extremeup_fade_down,classic_quant,78,-0.12595561270762853,-0.21572659222133322,-0.6003040408558238,0.2692307692307692,0.33731258607805376,0.6003040408558238,0.11089111437855187,0.6868570774142524,0,0.16428571428571426
