strategy,trades,ending_bankroll,total_return,max_drawdown,win_rate,profit_factor,worst_144_return,median_144_return,positive_144_rate,active_144_rate,worst_864_return,median_864_return,positive_864_rate,active_864_rate,split,fold_id,run_label,family
v1_active_fill_mix,45,222.24597755882058,1.2224597755882058,0.08249752628785838,0.9111111111111111,5.633540145051738,-0.04995258431147498,0.18622683459205946,0.9090909090909091,1.0,1.222459775588204,1.222459775588204,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,previous_v1
v1_conservative_mix,36,182.07430240984678,0.8207430240984679,0.08831466091919675,0.8888888888888888,4.1965256136976095,-0.07532314483729541,0.16559982594625167,0.8953168044077136,1.0,0.8207430240984668,0.8207430240984668,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,previous_v1
v1_balanced_mix,38,216.19276810452135,1.1619276810452135,0.11875763614195668,0.8947368421052632,4.345445086622234,-0.10201403122865382,0.22420195453534442,0.8953168044077136,1.0,1.1619276810452113,1.1619276810452113,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,previous_v1
v1_adaptive_mix,36,204.0498345548751,1.0404983455487509,0.12384191021942058,0.8888888888888888,3.9170309159730476,-0.10771097510074468,0.21223284597598635,0.8953168044077136,1.0,1.0404983455487509,1.0404983455487509,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,previous_v1
v1_logit_overlay_mix,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,previous_v1
classic_milddrop_down,43,128.86542863896722,0.28865428638967217,0.11090089075505064,0.7674418604651163,1.5358232569707886,-0.10543411045383089,0.06008040897451017,0.6818181818181818,1.0,0.2886542863896704,0.2886542863896704,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,classic_quant
classic_breakout_up,20,107.38585447659969,0.07385854476599696,0.0810673049200502,0.85,1.4499945844915907,-0.05072266496867228,0.007558139534883823,0.7355371900826446,0.9517906336088154,0.07385854476599718,0.07385854476599718,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,classic_quant
classic_early_drop_down,59,106.39841147098801,0.06398411470988008,0.15705661301915427,0.7796610169491526,1.1162907870544796,-0.10371205724554466,0.007112578645835699,0.5151515151515151,1.0,0.0639841147098803,0.0639841147098803,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,classic_quant
classic_sharpdrop_reversal_up,50,138.77980975073706,0.3877980975073705,0.27363314770178004,0.28,1.1952663829137666,-0.1898727987988177,-0.01932061923556827,0.47520661157024796,1.0,0.14631677025063317,0.3877980975073707,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,classic_quant
classic_extremeup_fade_down,47,68.05679996332712,-0.3194320003667288,0.5915137073209135,0.1276595744680851,0.8352151700435819,-0.3663072240551096,-0.08812460709956416,0.4669421487603306,1.0,-0.31943200036672836,-0.31943200036672836,0.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,classic_quant
micro_book_consensus_down,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,microstructure
micro_book_consensus_up,11,104.69067538599484,0.04690675385994836,0.06788213937967907,0.7272727272727273,1.351778601227495,-0.04072727272727272,0.0,0.40771349862258954,0.7396694214876033,0.04690675385994858,0.04690675385994858,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,microstructure
game_pm_overshoot_fade_up,41,54.125078846779566,-0.4587492115322044,0.4587492115322043,0.24390243902439024,0.436497216430257,-0.254668685970744,-0.060136616671760734,0.2988980716253444,1.0,-0.4587492115322045,-0.4587492115322045,0.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,game_theory
game_pm_squeeze_fade_down,35,79.2963153439309,-0.207036846560691,0.38615759417713946,0.2857142857142857,0.7818186185859365,-0.2265770714041796,-0.07088474121093757,0.19559228650137742,0.9931129476584022,-0.20703684656069077,-0.20703684656069077,0.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,game_theory
timeseries_momentum_up,4,100.18761558407897,0.001876155840789595,0.040579710144927505,0.75,1.046233840362315,-0.028299130434782716,0.0,0.28512396694214875,0.38016528925619836,0.001876155840789373,0.001876155840789373,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,time_series
timeseries_momentum_down,3,98.92469652735704,-0.010753034726429522,0.040547945205479476,0.6666666666666666,0.7427942057302425,-0.04054794520547944,0.0,0.0,0.1349862258953168,-0.010753034726429522,-0.010753034726429522,0.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,time_series
timeseries_reversion_down,47,63.49049927494538,-0.3650950072505462,0.6017198906655177,0.10638297872340426,0.7863843604036882,-0.3283439044793901,-0.07374349761758647,0.4669421487603306,1.0,-0.3650950072505461,-0.3650950072505461,0.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,time_series
ml_logit_edge_06,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,ml_value
ml_logit_edge_10,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,ml_value
portfolio_micro_ts_mix,50,56.50645812220408,-0.43493541877795916,0.4349354187779592,0.28,0.46564062063857176,-0.2744551539713358,-0.01965686034661296,0.44214876033057854,1.0,-0.43493541877795894,-0.43493541877795894,0.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,portfolio
portfolio_conservative_v2,16,119.33803353451538,0.19338033534515375,0.04051948051948047,0.9375,5.694007609324271,-0.024469589168456207,0.02021542682352928,0.8333333333333334,0.9022038567493113,0.19338033534515353,0.19338033534515353,1.0,1.0,train,1,24949259015_attempt1+24952032748_attempt1+24986940107_attempt1,portfolio
v1_active_fill_mix,7,85.22130033572073,-0.1477869966427927,0.22449232788896561,0.5714285714285714,0.38803387200050804,-0.21562938306483959,-0.19873524670008236,0.0,1.0,,,,,validation,1,25044896828_attempt1,previous_v1
v1_conservative_mix,6,84.25834778955439,-0.1574165221044561,0.2244923278889656,0.5,0.340709690816875,-0.22449232788896567,-0.20778908572042032,0.0,1.0,,,,,validation,1,25044896828_attempt1,previous_v1
v1_balanced_mix,7,82.20184949763023,-0.1779815050236977,0.27480300590445517,0.5714285714285714,0.41323295318097514,-0.2623710574342458,-0.24251181667286026,0.0,1.0,,,,,validation,1,25044896828_attempt1,previous_v1
