strategy,trades,ending_bankroll,total_return,max_drawdown,win_rate,profit_factor,worst_144_return,median_144_return,positive_144_rate,active_144_rate,worst_864_return,median_864_return,positive_864_rate,active_864_rate,family,split
classic_sharpdrop_reversal_up,51,127.6964485554584,0.2769644855545841,0.5700836368561579,0.23529411764705882,1.1309856127055105,-0.3487648022811842,-0.03162760991114899,0.3814147018030513,1.0,0.2769644855545834,0.2769644855545834,1.0,1.0,classic_quant,latest72h_complete_only
game_pm_squeeze_fade_down,53,122.91049575871756,0.22910495758717553,0.31855213397072846,0.37735849056603776,1.1564455859645637,-0.22047555608929703,-0.006760284754900425,0.4798890429958391,1.0,0.22910495758717553,0.22910495758717553,1.0,1.0,game_theory,latest72h_complete_only
portfolio_micro_ts_mix,58,114.75033676465749,0.1475033676465749,0.18657859050464612,0.3620689655172414,1.1243689251690332,-0.15770001293820057,0.05418693191177226,0.6990291262135923,1.0,0.1475033676465769,0.1475033676465769,1.0,1.0,portfolio,latest72h_complete_only
timeseries_momentum_down,4,100.25504504869552,0.0025504504869551248,0.04068965517241379,0.75,1.0599771435929628,-0.04068965517241385,0.013513513513513598,0.5603328710124826,0.7128987517337032,0.0025504504869551248,0.0025504504869551248,1.0,1.0,time_series,latest72h_complete_only
micro_book_consensus_down,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,microstructure,latest72h_complete_only
v1_logit_overlay_mix,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,previous_v1,latest72h_complete_only
ml_logit_edge_10,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ml_value,latest72h_complete_only
ml_logit_edge_06,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ml_value,latest72h_complete_only
classic_milddrop_down,52,97.98675767065487,-0.02013242329345133,0.22610035160031908,0.7115384615384616,0.9751997182885253,-0.13628707361926784,0.0024106616323229524,0.5048543689320388,1.0,-0.02013242329345144,-0.02013242329345144,0.0,1.0,classic_quant,latest72h_complete_only
v1_conservative_mix,30,96.04976562856952,-0.03950234371430483,0.1579105170177967,0.7333333333333333,0.9327389576782774,-0.08434381461924478,-0.009859607455121044,0.4535367545076283,0.9653259361997226,-0.03950234371430572,-0.03950234371430572,0.0,1.0,previous_v1,latest72h_complete_only
timeseries_momentum_up,1,95.94117647058823,-0.0405882352941177,0.04058823529411768,0.0,0.0,-0.04058823529411759,0.0,0.0,0.19972260748959778,-0.04058823529411759,-0.04058823529411759,0.0,1.0,time_series,latest72h_complete_only
v1_adaptive_mix,30,93.92024363285147,-0.060797563671485366,0.20606262133962813,0.7333333333333333,0.9204336517258194,-0.11803812688620352,-0.014362778853161506,0.43273231622746183,0.9653259361997226,-0.06079756367148459,-0.06079756367148459,0.0,1.0,previous_v1,latest72h_complete_only
portfolio_conservative_v2,16,93.37262530247924,-0.0662737469752076,0.0865849361733379,0.6875,0.6947665340036507,-0.05942817908438047,-0.004427271379019659,0.08737864077669903,0.7697642163661581,-0.06627374697520771,-0.06627374697520771,0.0,1.0,portfolio,latest72h_complete_only
micro_book_consensus_up,18,93.28504111752468,-0.06714958882475319,0.1780608589966238,0.6111111111111112,0.7633213688476361,-0.11695557195777118,-0.02141818181818189,0.42579750346740636,0.9902912621359223,-0.06714958882475297,-0.06714958882475297,0.0,1.0,microstructure,latest72h_complete_only
classic_breakout_up,4,92.10204000904159,-0.07897959990958414,0.09860491071428576,0.5,0.2061741831273227,-0.05059523809523814,0.0,0.13869625520110956,0.5381414701803051,-0.07897959990958414,-0.07897959990958414,0.0,1.0,classic_quant,latest72h_complete_only
v1_active_fill_mix,41,90.2401693971844,-0.097598306028156,0.20675162166879132,0.7073170731707317,0.8757499674205509,-0.11231004862481764,-0.022022179894179983,0.3273231622746186,0.9694868238557559,-0.09759830602815667,-0.09759830602815667,0.0,1.0,previous_v1,latest72h_complete_only
game_pm_overshoot_fade_up,54,88.970509977266,-0.1102949002273399,0.3389307629040161,0.35185185185185186,0.9021837889795643,-0.22008017338208996,0.016771662906753804,0.5423023578363384,1.0,-0.11029490022733957,-0.11029490022733957,0.0,1.0,game_theory,latest72h_complete_only
v1_balanced_mix,30,82.18965865098701,-0.1781034134901298,0.27789936365685947,0.7,0.7728133446994909,-0.13675682638784403,-0.03439302651772702,0.2829403606102635,0.9486823855755895,-0.17810341349013037,-0.17810341349013037,0.0,1.0,previous_v1,latest72h_complete_only
classic_early_drop_down,54,77.155086937399,-0.2284491306260099,0.2472685703798551,0.6851851851851852,0.6315135440817162,-0.15376489394005433,-0.02623386039301201,0.2538141470180305,1.0,-0.22844913062600847,-0.22844913062600847,0.0,1.0,classic_quant,latest72h_complete_only
timeseries_reversion_down,40,73.9633127861414,-0.260366872138586,0.5352330270291535,0.125,0.7954609381036013,-0.3403490506216609,-0.07813425925925921,0.3855755894590846,1.0,-0.2603668721385861,-0.2603668721385861,0.0,1.0,time_series,latest72h_complete_only
classic_extremeup_fade_down,40,69.54894819669282,-0.30451051803307183,0.5843770684863262,0.125,0.7872973934183245,-0.37931086122651547,-0.08903703703703691,0.3855755894590846,1.0,-0.30451051803307216,-0.30451051803307216,0.0,1.0,classic_quant,latest72h_complete_only
