fold_id,train_runs,validation_run,test_run,selected_strategy,selected_family,validation_score,validation_return,validation_drawdown
11,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1",25545252940_attempt1,25596809734_attempt1,timeseries_momentum_up,time_series,0.8357142857142857,0.04039264642140461,0.040579710144927575
12,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1",25596809734_attempt1,25624592440_attempt1,game_pm_squeeze_fade_down,game_theory,0.8833333333333334,0.5187301005379013,0.03705882352941174
13,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1",25624592440_attempt1,25665168591_attempt1,game_pm_squeeze_fade_down,game_theory,0.9023809523809523,0.20051132991671583,0.104544131850329
14,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1",25665168591_attempt1,25791429807_attempt1,classic_sharpdrop_reversal_up,classic_quant,0.8690476190476191,1.1555382370080527,0.11940109041835363
15,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1",25791429807_attempt1,25852951350_attempt1,classic_early_drop_down,classic_quant,0.7642857142857143,0.19492536169889885,0.07936766011414081
16,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1",25852951350_attempt1,25911485679_attempt1,v1_active_fill_mix,previous_v1,0.7821428571428573,0.13850327560762676,0.060952380952380904
17,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1",25911485679_attempt1,25957739510_attempt1,v1_active_fill_mix,previous_v1,0.7654761904761905,0.1414316304870098,0.14221329542164454
18,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1",25957739510_attempt1,25986690554_attempt1,classic_sharpdrop_reversal_up,classic_quant,0.8452380952380953,0.605032626645172,0.14401897469175393
19,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1",25986690554_attempt1,26029755017_attempt1,classic_breakout_up,classic_quant,0.7976190476190477,0.08707735416847817,0.050909090909090876
20,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1",26029755017_attempt1,26091905404_attempt1,classic_breakout_up,classic_quant,0.8428571428571429,0.05397005764231588,0.050588235294117594
21,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1",26091905404_attempt1,26156603287_attempt1,classic_early_drop_down,classic_quant,0.9166666666666667,0.15223769391498454,0.04063492063492064
22,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1,26091905404_attempt1",26156603287_attempt1,26221008452_attempt1,portfolio_micro_ts_mix,portfolio,0.8666666666666667,0.3412757614983166,0.10396628552841929
23,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1,26091905404_attempt1,26156603287_attempt1",26221008452_attempt1,26357456273_attempt1,v1_active_fill_mix,previous_v1,0.8214285714285715,0.10154838497283847,0.09909792843691151
24,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1,25911485679_attempt1,25957739510_attempt1,25986690554_attempt1,26029755017_attempt1,26091905404_attempt1,26156603287_attempt1,26221008452_attempt1",26357456273_attempt1,26709070227_attempt1,portfolio_micro_ts_mix,portfolio,0.7095238095238094,0.20999384503159035,0.13794760665853628
