strategy,trades,ending_bankroll,total_return,avg_trade_return_on_cost,median_trade_return_on_cost,win_rate,profit_factor,max_drawdown,max_consecutive_losses,avg_entry_minute,avg_fraction,worst_48_window_return,median_48_window_return,pct_positive_48_windows,pct_nonnegative_48_windows,num_48_windows,score_end,score_dd,score_12h,score_12h_pos,score_pf,score_win,robustness_12h_score,meets_dd_lt_30,meets_12h_positive_all
session_breakout_asia_fixed_12pct,11,138.83102693480043,0.3883102693480043,0.2538760199045721,0.1785714285714286,1.0,,0.0,0,4.0,0.12000000000000002,0.0,0.0,0.28233830845771146,1.0,804,0.88,0.85,0.85,0.53,0.17,0.89,0.7265,True,False
session_milddrop_us_afternoon_fixed_12pct,6,146.3588091666877,0.4635880916668771,0.5475586636034033,0.5971896955503513,1.0,,0.0,0,2.0,0.12,0.0,0.0,0.19527363184079602,1.0,804,0.92,0.85,0.85,0.45,0.17,0.89,0.7165,True,False
session_breakout_asia_fixed_10pct,11,131.56798327802147,0.31567983278021483,0.2538760199045721,0.1785714285714286,1.0,,0.0,0,4.0,0.1,0.0,0.0,0.28233830845771146,1.0,804,0.78,0.85,0.85,0.53,0.17,0.89,0.7115,True,False
session_milddrop_us_afternoon_fixed_10pct,6,137.60131602570848,0.37601316025708487,0.5475586636034033,0.5971896955503513,1.0,,0.0,0,2.0,0.09999999999999999,0.0,0.0,0.19527363184079602,1.0,804,0.86,0.85,0.85,0.45,0.17,0.89,0.7075,True,False
session_milddrop_london_fixed_6pct,26,146.62926631605438,0.46629266316054374,0.257373352394156,0.41428571428571437,0.8461538461538461,2.8159455333073518,0.08249752628785859,1,2.0,0.060000000000000005,-0.06095238095238098,0.0,0.32338308457711445,0.900497512437811,804,0.94,0.58,0.62,0.61,0.94,0.65,0.6930000000000001,True,False
session_breakout_asia_fixed_8pct,11,124.63878720302714,0.24638787203027146,0.253876019904572,0.17857142857142863,1.0,,0.0,0,4.0,0.07999999999999999,0.0,0.0,0.28233830845771146,1.0,804,0.6,0.85,0.85,0.53,0.17,0.89,0.6845,True,False
gate_breakout_fixed_6pct,22,120.12503188781521,0.20125031887815203,0.14497522187512957,0.1579343365253078,0.9090909090909091,2.389992711971808,0.08115958176589783,1,4.0,0.06000000000000001,-0.06082191780821922,0.0,0.48756218905472637,0.9054726368159204,804,0.5,0.62,0.66,0.76,0.92,0.73,0.6809999999999999,True,False
session_milddrop_us_afternoon_fixed_8pct,6,129.2786159030361,0.29278615903036087,0.5475586636034033,0.5971896955503513,1.0,,0.0,0,2.0,0.08,0.0,0.0,0.19527363184079602,1.0,804,0.66,0.85,0.85,0.45,0.17,0.89,0.6775,True,False
session_milddrop_london_fixed_8pct,26,164.2332365583339,0.6423323655833391,0.25737335239415604,0.41428571428571437,0.8461538461538461,2.845446464075517,0.11022000270168857,1,2.0,0.08,-0.08126984126984127,0.0,0.32338308457711445,0.900497512437811,804,0.96,0.5,0.54,0.61,1.0,0.65,0.6659999999999999,True,False
session_breakout_asia_fixed_6pct,11,118.0300730601733,0.18030073060173302,0.2538760199045721,0.1785714285714286,1.0,,0.0,0,4.0,0.06000000000000001,0.0,0.0,0.28233830845771146,1.0,804,0.42,0.85,0.85,0.53,0.17,0.89,0.6575,True,False
session_milddrop_us_afternoon_fixed_6pct,6,121.37354654397227,0.21373546543972277,0.5475586636034033,0.5971896955503513,1.0,,0.0,0,2.0,0.06,0.0,0.0,0.19527363184079602,1.0,804,0.52,0.85,0.85,0.45,0.17,0.89,0.6565,True,False
gate_breakout_fixed_8pct,22,127.23827488140277,0.2723827488140278,0.14497522187512954,0.1579343365253078,0.9090909090909091,2.3330008433426257,0.10847265946937468,1,4.0,0.08000000000000002,-0.08109589041095888,0.0,0.4626865671641791,0.8805970149253731,804,0.62,0.52,0.58,0.68,0.9,0.73,0.6409999999999999,True,False
gate_breakout_fixed_10pct,22,134.52690011478902,0.34526900114789005,0.14497522187512954,0.1579343365253078,0.9090909090909091,2.2780842494085083,0.1358784157619367,1,4.0,0.10000000000000003,-0.10136986301369866,0.0,0.4626865671641791,0.8805970149253731,804,0.84,0.44,0.5,0.68,0.88,0.73,0.636,True,False
session_milddrop_london_fixed_10pct,26,180.7093309655219,0.8070933096552191,0.25737335239415604,0.41428571428571437,0.8461538461538461,2.8262885048227337,0.1380151902975073,1,2.0,0.10000000000000002,-0.10158730158730156,0.0,0.32338308457711445,0.900497512437811,804,0.98,0.42,0.46,0.61,0.98,0.65,0.631,True,False
gate_breakout_fixed_12pct,22,141.97029806300773,0.4197029806300774,0.14497522187512957,0.1579343365253078,0.9090909090909091,2.2250886394701976,0.16335377404418291,1,4.0,0.12000000000000002,-0.12164383561643832,0.0,0.4626865671641791,0.8805970149253731,804,0.9,0.4,0.36,0.68,0.86,0.73,0.6,True,False
session_breakout_us_open_fixed_12pct,2,103.82627633378932,0.038262763337893135,0.1579343365253078,0.1579343365253078,1.0,,0.0,0,4.0,0.12,0.0,0.0,0.11940298507462686,1.0,804,0.34,0.85,0.85,0.29,0.17,0.89,0.5974999999999999,True,False
session_breakout_us_open_fixed_10pct,2,103.18358413132694,0.03183584131326933,0.1579343365253078,0.1579343365253078,1.0,,0.0,0,4.0,0.1,0.0,0.0,0.11940298507462686,1.0,804,0.3,0.85,0.85,0.29,0.17,0.89,0.5914999999999999,True,False
session_breakout_us_open_fixed_8pct,2,102.54288372093023,0.025428837209302335,0.1579343365253078,0.1579343365253078,1.0,,0.0,0,4.0,0.08,0.0,0.0,0.11940298507462686,1.0,804,0.28,0.85,0.85,0.29,0.17,0.89,0.5885,True,False
session_breakout_us_open_fixed_6pct,2,101.90417510259917,0.019041751025991704,0.1579343365253078,0.1579343365253078,1.0,,0.0,0,4.0,0.06,0.0,0.0,0.11940298507462686,1.0,804,0.26,0.85,0.85,0.29,0.17,0.89,0.5855,True,False
session_milddrop_london_fixed_12pct,26,198.1609702707287,0.9816097027072872,0.257373352394156,0.41428571428571437,0.8461538461538461,2.8239831976804473,0.1658590928115786,1,2.0,0.12000000000000001,-0.12190476190476196,0.0,0.32338308457711445,0.900497512437811,804,1.0,0.34,0.32,0.61,0.96,0.65,0.581,True,False
combo_guarded_fixed_6pct,32,118.58001491010009,0.18580014910100084,0.10045201948194817,0.3380821917808219,0.78125,1.4139315028411026,0.16393422342787373,2,2.125,0.06,-0.11837875457875457,0.005058469469092053,0.5087064676616916,0.7997512437810945,804,0.45,0.37,0.4,0.85,0.83,0.43,0.5375000000000001,True,False
combo_session_mix_fixed_6pct,32,118.58001491010009,0.18580014910100084,0.10045201948194817,0.3380821917808219,0.78125,1.4139315028411026,0.16393422342787373,2,2.125,0.06,-0.11837875457875457,0.005058469469092053,0.5087064676616916,0.7997512437810945,804,0.45,0.37,0.4,0.85,0.83,0.43,0.5375000000000001,True,False
combo_guarded_fixed_8pct,32,124.23536033176487,0.24235360331764877,0.10045201948194817,0.3380821917808219,0.78125,1.399592400904911,0.214543720861035,2,2.125,0.08,-0.15618168498168505,0.005305002458128483,0.5087064676616916,0.7997512437810945,804,0.55,0.29,0.28,0.85,0.79,0.43,0.5025000000000001,True,False
combo_session_mix_fixed_8pct,32,124.23536033176487,0.24235360331764877,0.10045201948194817,0.3380821917808219,0.78125,1.399592400904911,0.214543720861035,2,2.125,0.08,-0.15618168498168505,0.005305002458128483,0.5087064676616916,0.7997512437810945,804,0.55,0.29,0.28,0.85,0.79,0.43,0.5025000000000001,True,False
combo_guarded_fixed_10pct,32,129.47523743925044,0.29475237439250446,0.10045201948194815,0.33808219178082194,0.78125,1.3844227207439233,0.2631821861052112,2,2.125,0.1,-0.19315628815628816,0.0048053305585920025,0.5087064676616916,0.7997512437810945,804,0.69,0.21,0.22,0.85,0.75,0.43,0.4885,True,False
combo_session_mix_fixed_10pct,32,129.47523743925044,0.29475237439250446,0.10045201948194815,0.33808219178082194,0.78125,1.3844227207439233,0.2631821861052112,2,2.125,0.1,-0.19315628815628816,0.0048053305585920025,0.5087064676616916,0.7997512437810945,804,0.69,0.21,0.22,0.85,0.75,0.43,0.4885,True,False
