strategy,trades,ending_bankroll,total_return,avg_trade_return_on_cost,median_trade_return_on_cost,win_rate,profit_factor,max_drawdown,avg_fraction,worst_144_window_return,median_144_window_return,pct_positive_144_windows,pct_over_10pct_144_windows,active_144_window_rate,num_144_windows,score_end,score_dd,score_36h,score_36h_10,score_active,score_pf,v1_score,meets_dd_lt_30,meets_36h_gt_10_all,meets_v1_goal
v1_active_fill_mix,45,222.24597755882058,1.2224597755882058,0.29079031190820853,0.3561643835616438,0.9111111111111111,5.633540145051738,0.08249752628785838,0.0637777777777778,-0.04995258431147498,0.18622683459205946,0.907563025210084,0.7633053221288515,1.0,714,0.8,0.8,0.8,0.8,0.7,1.0,0.81,True,False,False
v1_balanced_mix,39,227.43479204595639,1.2743479204595638,0.24038224994136145,0.35616438356164387,0.8974358974358975,4.614765811312069,0.11875763614195668,0.08717948717948719,-0.10201403122865382,0.22649722312514498,0.8935574229691877,0.7703081232492998,1.0,714,1.0,0.4,0.4,1.0,0.7,0.8,0.6799999999999999,True,False,False
v1_logit_overlay_mix,0,100.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,714,0.2,1.0,1.0,0.2,0.2,0.2,0.56,True,False,False
v1_conservative_mix,36,182.07430240984678,0.8207430240984679,0.23358441874062447,0.3561643835616438,0.8888888888888888,4.1965256136976095,0.08831466091919675,0.0688888888888889,-0.07532314483729541,0.16559982594625167,0.8935574229691877,0.6988795518207283,1.0,714,0.4,0.6,0.6,0.4,0.7,0.6,0.54,True,False,False
v1_adaptive_mix,36,204.0498345548751,1.0404983455487509,0.23358441874062447,0.35616438356164387,0.8888888888888888,3.9170309159730476,0.12384191021942058,0.08673330341334164,-0.10771097510074468,0.21223284597598635,0.8935574229691877,0.7100840336134454,1.0,714,0.6,0.2,0.2,0.6,0.7,0.4,0.41000000000000003,True,False,False
