strategy,session_et,component,trades,avg_pnl_usd,total_pnl_usd,avg_fraction,win_rate
v1_active_fill_mix,asia,asia_breakout,11,2.3084717703623676,25.393189473986045,0.07727272727272727,1.0
v1_active_fill_mix,london,london_milddrop,26,1.8800536717067653,48.8813954643759,0.05615384615384615,0.8461538461538461
v1_active_fill_mix,us_afternoon,us_afternoon_milddrop,6,7.6763273633547575,46.05796418012854,0.08,1.0
v1_active_fill_mix,us_open,us_open_breakout,2,0.95671422016503,1.91342844033006,0.04,1.0
v1_adaptive_mix,asia,asia_breakout,10,2.6923392404346247,26.92339240434625,0.09360269999999807,1.0
v1_adaptive_mix,london,london_milddrop,20,1.4647898310287524,29.295796620575047,0.0818748054683855,0.8
v1_adaptive_mix,us_afternoon,us_afternoon_milddrop,6,7.9717742549923045,47.83064552995383,0.09147930225210138,1.0
v1_balanced_mix,asia,asia_breakout,10,2.9977226310037937,29.97722631003794,0.1,1.0
v1_balanced_mix,london,london_milddrop,21,1.7718936435038644,37.20976651358115,0.08,0.8095238095238095
v1_balanced_mix,us_afternoon,us_afternoon_milddrop,6,9.570740215891826,57.42444129535096,0.10000000000000002,1.0
v1_balanced_mix,us_open,breakout_filler,2,1.4116789634931746,2.823357926986349,0.06,1.0
v1_conservative_mix,asia,asia_breakout,10,2.269297779145163,22.69297779145163,0.08,1.0
v1_conservative_mix,london,london_milddrop,20,1.0322935507910045,20.645871015820088,0.06,0.8
v1_conservative_mix,us_afternoon,us_afternoon_milddrop,6,6.455908933762504,38.73545360257502,0.08,1.0
