source_layer,strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,median_trade_return_on_cost,win_rate,profit_factor,max_drawdown,max_consecutive_losses,avg_entry_minute,avg_signal_score,p10_trade_return_on_cost,score_end,score_win,score_pf,score_dd,score_streak,score_tail,robustness_score
all_monthly_clob_systematic,static_m2_milddrop_down_book,fixed_20pct,55,210.07053110182522,1.100705311018252,0.12383497082388109,0.41428571428571437,0.7454545454545455,1.54967247285395,0.7026375636537168,3,2.0,,-1.0158730158730158,1.0,0.703125,0.90625,0.71875,0.578125,0.328125,0.7562500000000002
all_monthly_clob_systematic,static_m2_milddrop_down_book,fixed_25pct,55,208.22883086015307,1.0822883086015307,0.12383497082388106,0.4142857142857143,0.7454545454545455,1.492225024641834,0.800138211457958,3,2.0,,-1.0158730158730158,0.96875,0.703125,0.875,0.5625,0.578125,0.328125,0.7125000000000001
all_monthly_clob_systematic,static_m2_milddrop_down_book,fixed_15pct,55,197.07965644788877,0.9707965644788876,0.12383497082388106,0.4142857142857144,0.7454545454545455,1.5784927421646524,0.5754695033779743,3,2.0,,-1.0158730158730158,0.9375,0.703125,0.96875,0.8125,0.578125,0.328125,0.775
all_monthly_clob_systematic,static_m2_milddrop_down_book,fixed_10pct,55,172.3221570858408,0.7232215708584078,0.12383497082388109,0.41428571428571437,0.7454545454545455,1.587998906082047,0.41610937984727775,3,2.0,,-1.0158730158730158,0.90625,0.703125,1.0,0.9375,0.578125,0.328125,0.8000000000000002
all_monthly_clob_systematic,static_m4_breakout_up_tight,fixed_25pct,23,148.34085966043074,0.48340859660430735,0.10064172866528832,0.16470588235294117,0.8695652173913043,1.3454928336415972,0.5084810994628736,2,4.0,,-0.7888888888888888,0.875,0.953125,0.78125,0.875,0.890625,0.90625,0.8765625000000001
all_monthly_clob_systematic,static_m4_breakout_up_tight,fixed_20pct,23,141.50540058905196,0.41505400589051966,0.10064172866528832,0.16470588235294117,0.8695652173913043,1.414404125161755,0.4205501806957135,2,4.0,,-0.7888888888888886,0.84375,0.953125,0.8125,0.90625,0.890625,0.96875,0.8890625000000001
all_monthly_clob_systematic,static_m4_breakout_up_tight,fixed_15pct,23,132.72958203201827,0.3272958203201828,0.1006417286652883,0.1647058823529412,0.8695652173913043,1.4896001415253013,0.3254037142079354,2,4.0,,-0.7888888888888886,0.8125,0.953125,0.84375,0.96875,0.890625,0.96875,0.9015625000000002
all_monthly_clob_systematic,static_m4_breakout_up_tight,fixed_10pct,23,122.55620696991511,0.22556206969915116,0.10064172866528832,0.1647058823529412,0.8695652173913043,1.5718743466915477,0.22334438099578952,2,4.0,,-0.7888888888888886,0.78125,0.953125,0.9375,1.0,0.890625,0.96875,0.9203125000000001
all_monthly_clob_systematic,static_m2_drop10_down_liq,fixed_10pct,138,89.2350219941943,-0.10764978005805703,0.010149232902942952,0.18567125645438903,0.7681159420289855,0.9357971535639307,0.7365632090870443,3,2.0,,-1.0136986301369864,0.75,0.828125,0.6875,0.625,0.578125,0.796875,0.7156250000000001
all_monthly_clob_systematic,static_m2_sharpdrop_up_liq,fixed_10pct,38,83.97550225648168,-0.1602449774351833,0.11007571221187605,-1.0408333333333335,0.2894736842105263,0.9602476184305752,0.6612580049014823,9,2.0,,-1.0680952380952382,0.71875,0.203125,0.75,0.75,0.203125,0.1875,0.5234375000000001
