factor,family,entry_minute,formula,orientation,train_n,train_ic,train_auc,validation_n,validation_ic,validation_auc,test_n,test_ic,test_auc,latest72h_n,latest72h_ic,latest72h_auc,full_n,full_ic,full_auc
skill_trend_momentum_20,quantml_skill,2,zscore_20(btc_move_2m/50 + pm_prob_mom_2m/0.05) * sign(volume_ratio_5_60),1,10954,,0.5,5560,,0.5,5465,,0.5,779,,0.5,21979,,0.5
skill_mean_reversion_5,quantml_skill,2,"-zscore_20(short_move), disabled when realized_vol_first2m > past60 80pct",-1,10967,0.4020910942349305,0.7270145828424109,5570,0.39768997289686775,0.7253995887914138,5468,0.39934915141498534,0.7261058416937497,779,0.3476749009227563,0.6967583419196324,22005,0.40030326638663793,0.7264459680750185
skill_volume_imbalance,quantml_skill,2,size_imbalance_updown_2m * zscore_60(log1p(trade_volume_first2m)),1,0,,,0,,,0,,,0,,,0,,
skill_composite_20_5_60,quantml_skill,2,0.40*trend_momentum_20 + 0.35*mean_reversion_5 + 0.25*volume_imbalance,-1,10974,0.40196299298539423,0.7269166445548285,5570,0.39768997289686797,0.7253995887914138,5468,0.39934915141498545,0.7261058416937497,779,0.3476749009227563,0.6967583419196324,22012,0.400239790181654,0.7263973775258397
expr_btc_1m,alphaforge_primitive,1,btc_move_1m / 50,1,10974,0.29170155281927873,0.7071976632889346,5570,0.3325340463385105,0.7116728237075017,5468,0.31622172720013225,0.7007088691064952,779,0.2924480716415247,0.6692755805659032,22012,0.30105797967016035,0.7065528538883663
expr_btc_1m_tanh,alphaforge_unary,1,tanh(btc_move_1m / 50),1,10974,0.35865951555525266,0.7071976632889346,5570,0.36748334907090463,0.7116728237075017,5468,0.35053191988785964,0.7007088691064952,779,0.3010423562514572,0.6692755805659032,22012,0.3580179951791408,0.7065528538883663
expr_btc_1m_signed_log,alphaforge_unary,1,signed_log1p(btc_move_1m / 50),1,10974,0.3491428592352805,0.7071976632889346,5570,0.3623433517341771,0.7116728237075017,5468,0.3471543044576802,0.7007088691064952,779,0.30047519945510515,0.6692755805659032,22012,0.35016473870001347,0.7065528538883663
expr_btc_1m_rollz60,alphaforge_unary,1,past_zscore_60(btc_move_1m / 50),1,10954,0.33819579886959616,0.7069771394946426,5570,0.3329077882786655,0.7077171941118809,5468,0.3131263518848297,0.7029085631644979,779,0.2908445846047345,0.6612572983540725,21992,0.33027377787004286,0.7061117027058318
expr_btc_2m,alphaforge_primitive,2,btc_move_2m / 50,1,10974,0.4109524086204417,0.7864867837761886,5570,0.43505567199881334,0.7833754353474611,5468,0.4344188524455034,0.7778962660731947,779,0.4213837296389293,0.7492074185622573,22012,0.4152940217220398,0.7833796580076515
expr_btc_2m_tanh,alphaforge_unary,2,tanh(btc_move_2m / 50),1,10974,0.4960166171698366,0.7864867837761886,5570,0.4901375762020318,0.7833754353474611,5468,0.4815048238397293,0.7778962660731947,779,0.44003718024210875,0.7492074185622573,22012,0.490422359988836,0.7833796580076515
