factor,family,entry_minute,formula,orientation,train_n,train_ic,train_auc,validation_n,validation_ic,validation_auc,test_n,test_ic,test_auc,latest72h_n,latest72h_ic,latest72h_auc,full_n,full_ic,full_auc
expr_btc_2m_signed_log,alphaforge_unary,2,signed_log1p(btc_move_2m / 50),1,10974,0.48208811139237445,0.7864867837761886,5570,0.4795927936107468,0.7833754353474611,5468,0.4727437687786873,0.7778962660731947,779,0.4374485187961507,0.7492074185622573,22012,0.47751658220998305,0.7833796580076515
expr_btc_2m_rollz60,alphaforge_unary,2,past_zscore_60(btc_move_2m / 50),1,10954,0.44821396068505986,0.7852748438146437,5570,0.4344847392548172,0.7787584605322143,5468,0.4381166787873395,0.7772567236588007,779,0.41832027529205135,0.7445311880795752,21992,0.4422251640020225,0.7816670226326277
expr_btc_4m,alphaforge_primitive,4,btc_move_4m / 50,1,10974,0.5660083095412537,0.9103767913703467,5570,0.5931039051096193,0.9231284007642441,5468,0.5992114771413979,0.909450120642628,779,0.5968880366465867,0.8981962167446037,22012,0.5729174505802991,0.9129637861702351
expr_btc_4m_tanh,alphaforge_unary,4,tanh(btc_move_4m / 50),1,10974,0.716505193310115,0.9103767913703467,5570,0.7363339161760947,0.9231284007642441,5468,0.707542424848107,0.909450120642628,779,0.6808420310025629,0.8981962167446037,22012,0.7186620688786189,0.9129637861702351
expr_btc_4m_signed_log,alphaforge_unary,4,signed_log1p(btc_move_4m / 50),1,10974,0.680055819650927,0.9103767913703467,5570,0.7000612658617695,0.9231284007642441,5468,0.680783159056635,0.909450120642628,779,0.6592825137447298,0.8981962167446037,22012,0.6829029840154777,0.9129637861702351
expr_btc_4m_rollz60,alphaforge_unary,4,past_zscore_60(btc_move_4m / 50),1,10954,0.5939273358653239,0.9016592251723233,5570,0.6059491073389038,0.9129666080938753,5468,0.6010526425593388,0.9043896467857893,779,0.5946155649201578,0.8889263163456711,21992,0.5987277846394576,0.9051701096685342
expr_pm_mom_2m,alphaforge_primitive,2,mid_up_prob_change_2m / 0.05,1,10960,0.5034318092306962,0.7906545806717942,5560,0.4948273150332894,0.7855555840222268,5465,0.4859379337588376,0.7801551598818712,779,0.43174328129298073,0.74764867506803,21985,0.49691662933086106,0.786732001809726
expr_pm_mom_2m_tanh,alphaforge_unary,2,tanh(mid_up_prob_change_2m / 0.05),1,10960,0.4551690889852384,0.7906962979779413,5560,0.4448546108976578,0.7855898734216524,5465,0.4355869737408151,0.7801648717748811,779,0.371406088952967,0.7476288605320864,21985,0.44766043125043603,0.7867638802622974
expr_pm_mom_2m_signed_log,alphaforge_unary,2,signed_log1p(mid_up_prob_change_2m / 0.05),1,10974,0.4936101835434765,0.7904623134379059,5570,0.48393234626769793,0.7853069321278917,5468,0.4745757438514331,0.7800641134747218,779,0.41527827964025443,0.7476585823360016,22012,0.4864182581448955,0.7865509400231975
expr_pm_mom_2m_rollz60,alphaforge_unary,2,past_zscore_60(mid_up_prob_change_2m / 0.05),1,10942,0.4985396768152059,0.7887423464376095,5560,0.48787323926837645,0.7827131222037964,5465,0.484117798385051,0.7795794120728073,779,0.4284303910431076,0.7466975773427386,21967,0.49224585805101895,0.7849265499570721
expr_prior_up_2m,alphaforge_primitive,2,mid_up_prob_2m - 0.5,1,10960,0.5163673932432212,0.7976694664391516,5560,0.4977940574669928,0.7871627864005913,5465,0.49568151571818037,0.7858473338643394,779,0.44421087841945184,0.7544087342474439,21985,0.5065476721569081,0.7920837620556875
expr_prior_up_2m_tanh,alphaforge_unary,2,tanh(mid_up_prob_2m - 0.5),1,10960,0.5161751063879793,0.7976694664391516,5560,0.49776537822565114,0.7871627864005913,5465,0.49549781137873117,0.7858473338643394,779,0.44370869500996624,0.7544087342474439,21985,0.5063948117378315,0.7920837620556875
expr_prior_up_2m_signed_log,alphaforge_unary,2,signed_log1p(mid_up_prob_2m - 0.5),1,10974,0.5154326548903895,0.7974656394991105,5570,0.4971678807520479,0.786900052745166,5468,0.4950678794925525,0.7857670735545366,779,0.4431074089968139,0.7544087342474439,22012,0.5057642434791548,0.7918977616199192
expr_prior_up_2m_rollz60,alphaforge_unary,2,past_zscore_60(mid_up_prob_2m - 0.5),1,10942,0.5117287885701971,0.7954825372946747,5560,0.4901247710390669,0.7834753820227278,5465,0.4930478628785885,0.7846006616947133,779,0.43877362756896043,0.7518559615333809,21967,0.5016003926060649,0.789707675527828
expr_size_imbalance,alphaforge_primitive,2,buy_up_vs_down_size_imbalance_2m,-1,10959,0.03972566508535752,0.5229224594190027,5560,0.0073817523616008275,0.5040674991356483,5465,0.03566770349142619,0.52204137561128,779,0.047625996995923375,0.5297548281419249,21984,0.030232644401403223,0.5177258685503126
expr_size_imbalance_tanh,alphaforge_unary,2,tanh(buy_up_vs_down_size_imbalance_2m),-1,10959,0.039312697282221115,0.5229224594190027,5560,0.007756906908459767,0.5040674991356483,5465,0.033743529014980254,0.52204137561128,779,0.045962764194300954,0.5297548281419249,21984,0.029697053839092172,0.5177258685503126
expr_size_imbalance_signed_log,alphaforge_unary,2,signed_log1p(buy_up_vs_down_size_imbalance_2m),-1,10974,0.03913484099746184,0.5228918237936047,5570,0.00774807971473588,0.5040638661317113,5468,0.034107134739507834,0.5220247729520726,779,0.04649003541624907,0.5297548281419249,22012,0.02968892366549223,0.517702332207362
expr_size_imbalance_rollz60,alphaforge_unary,2,past_zscore_60(buy_up_vs_down_size_imbalance_2m),-1,10941,0.04047793676543823,0.5236813984405205,5560,0.0071533892441948575,0.503618760882032,5465,0.032669757660925725,0.5191570773444443,779,0.043373150167352124,0.5249134765263798,21966,0.03010207139546688,0.517543480363408
expr_sell_size_imbalance,alphaforge_primitive,2,sell_up_vs_down_size_imbalance_2m,1,10960,0.04435238676352414,0.5254079544527621,5560,-0.0007451548262662405,0.4995785638719642,5465,0.033258113428594985,0.5211864611121069,779,0.05627299190952398,0.5339621146072759,21985,0.029828698705614748,0.5175254514039374
expr_sell_size_imbalance_tanh,alphaforge_unary,2,tanh(sell_up_vs_down_size_imbalance_2m),1,10960,0.04427033950890751,0.5254079711063773,5560,-0.0008254506126395669,0.4995785638719642,5465,0.030919458798700478,0.5211864611121069,779,0.05492857424893044,0.5339621146072759,21985,0.029238201851516293,0.5175254596808301
expr_sell_size_imbalance_signed_log,alphaforge_unary,2,signed_log1p(sell_up_vs_down_size_imbalance_2m),1,10974,0.044133216043390516,0.525390082226803,5570,-0.0009431706546005963,0.4995762078688155,5468,0.03133820139972274,0.5211747482240805,779,0.05538429114510708,0.5339621146072759,22012,0.029235595071344656,0.5175089310955697
expr_sell_size_imbalance_rollz60,alphaforge_unary,2,past_zscore_60(sell_up_vs_down_size_imbalance_2m),1,10942,0.04526040821767632,0.5264490695224349,5560,-0.002101948466615986,0.499298167160434,5465,0.03117551420061737,0.5187769069670307,779,0.05179584712684698,0.5298737153575863,21967,0.02978264717474795,0.5176784410909034
expr_depth_imbalance,alphaforge_primitive,2,bid_depth_up_vs_down_imbalance_2m,1,10960,0.045617718457953954,0.4916682795693015,5560,0.23994145047578508,0.6180303237333367,5465,0.19968818281917208,0.5898092905709977,779,0.24532658088485484,0.6216942749200813,21985,0.13701660717907027,0.5487970835805435
expr_depth_imbalance_tanh,alphaforge_unary,2,tanh(bid_depth_up_vs_down_imbalance_2m),1,10960,0.04337113148009273,0.4916682795693015,5560,0.2415022650326725,0.6180303237333367,5465,0.19963269489257993,0.5898092905709977,779,0.24553243664439192,0.6216942749200813,21985,0.13595584560883694,0.5487970835805435
expr_depth_imbalance_signed_log,alphaforge_unary,2,signed_log1p(bid_depth_up_vs_down_imbalance_2m),1,10974,0.0398643859817876,0.49157943439916774,5570,0.24040024685472375,0.6178002880548765,5468,0.1978188250448541,0.589754448897624,779,0.2450431375750195,0.6216942749200813,22012,0.13332109607022063,0.5486876441591279
expr_depth_imbalance_rollz60,alphaforge_unary,2,past_zscore_60(bid_depth_up_vs_down_imbalance_2m),1,10942,0.013905011137887125,0.4828687553669381,5560,0.21474443641241814,0.6065306943176384,5465,0.18245326088116737,0.5847813430918435,779,0.20947898093769396,0.612592798076669,21967,0.10610143839950262,0.5388615359412425
expr_book_pressure_delta,alphaforge_primitive,2,book_pressure_up_2m - book_pressure_down_2m,1,10959,0.04523456728318046,0.4915153896743813,5560,0.24023154022006094,0.618076258589171,5465,0.19917687087150937,0.5896997136264155,779,0.24966745909315186,0.6266148846794009,21984,0.1372173680432642,0.5487666349773888
expr_book_pressure_delta_tanh,alphaforge_unary,2,tanh(book_pressure_up_2m - book_pressure_down_2m),1,10959,0.03794078842134529,0.4915153896743813,5560,0.24277499919613363,0.618076258589171,5465,0.1974520202509349,0.5896997136264155,779,0.2497692111026067,0.6266148846794009,21984,0.13264403576909403,0.5487666349773888
expr_book_pressure_delta_signed_log,alphaforge_unary,2,signed_log1p(book_pressure_up_2m - book_pressure_down_2m),1,10974,0.035298546376109095,0.4914434245849334,5570,0.2395671940711567,0.6178344544420881,5468,0.19509243534858825,0.5896441898852878,779,0.24927246083887564,0.6266148846794009,22012,0.13021161074959386,0.5486584779438186
expr_book_pressure_delta_rollz60,alphaforge_unary,2,past_zscore_60(book_pressure_up_2m - book_pressure_down_2m),1,10941,0.012673528351202461,0.48261812406850757,5560,0.21419219482726287,0.6063985830843794,5465,0.18208109651067514,0.5849035120080524,779,0.21371733132676182,0.6173152624765528,21966,0.10544973359839575,0.5386527499544917
expr_btc_1mx_path_eff,alphaforge_interaction,2,(btc_move_1m / 50) * (path_efficiency_first2m),1,10974,0.3613908540584414,0.7299495571026773,5570,0.36362417484224085,0.7299412686250324,5468,0.3578514648575695,0.722113702733139,779,0.32910256683724237,0.6806293096615676,22012,0.3592426199488662,0.7278565387145696
expr_btc_1mx_uncertainty,alphaforge_interaction,2,(btc_move_1m / 50) * (1 - abs(mid_up_prob_2m - 0.5)*2),1,10974,0.167050215023636,0.6593450818482411,5570,0.22277453595209648,0.6699395487019932,5468,0.20632631245063657,0.65659449250881,779,0.16650530001637143,0.6309146389791551,22012,0.17968239909365388,0.6615836028817293
expr_btc_1mx_low_cost,alphaforge_interaction,2,(btc_move_1m / 50) * (1 - overround/0.08),1,10974,0.29170155281927873,0.7071976632889346,5570,0.3325340463385105,0.7116728237075017,5468,0.31622172720013225,0.7007088691064952,779,0.2924480716415247,0.6692755805659032,22012,0.30105797967016035,0.7065528538883663
expr_btc_1mx_tight_spread,alphaforge_interaction,2,(btc_move_1m / 50) * (1 - min_spread/0.08),1,10974,0.2916753987180096,0.7070037313664644,5570,0.3325204768192949,0.7116578678549864,5468,0.31622172720013236,0.7007088691064952,779,0.29244807164152475,0.6692755805659032,22012,0.30107566283366427,0.7064487389626619
expr_btc_1mx_depth_z,alphaforge_interaction,2,(btc_move_1m / 50) * (past_zscore_60(log_depth)),1,10974,0.08308274978775909,0.5523390947254537,5570,0.09360184018875385,0.555969183723752,5468,0.07238318802388814,0.5301080698892271,779,0.10233746808372902,0.5487371535758633,22012,0.0826161884557573,0.547831494987952
expr_btc_2mx_path_eff,alphaforge_interaction,2,(btc_move_2m / 50) * (path_efficiency_first2m),1,10974,0.40147575303001803,0.7888735334303253,5570,0.4024889600061664,0.7848075871555529,5468,0.4106024992127893,0.780503878333997,779,0.4036172950214,0.7425167102586457,22012,0.401184552600685,0.7857377743812222
expr_btc_2mx_uncertainty,alphaforge_interaction,2,(btc_move_2m / 50) * (1 - abs(mid_up_prob_2m - 0.5)*2),1,10974,0.2761102900932949,0.7448112206036996,5570,0.35289930175861056,0.7481268761697959,5468,0.37154849456503397,0.7446409971910714,779,0.3721724598568611,0.7214967900451772,22012,0.29568226885193616,0.745589737983767
expr_btc_2mx_low_cost,alphaforge_interaction,2,(btc_move_2m / 50) * (1 - overround/0.08),1,10974,0.4109524086204417,0.7864867837761886,5570,0.43505567199881334,0.7833754353474611,5468,0.4344188524455034,0.7778962660731947,779,0.4213837296389293,0.7492074185622573,22012,0.4152940217220398,0.7833796580076515
expr_btc_2mx_tight_spread,alphaforge_interaction,2,(btc_move_2m / 50) * (1 - min_spread/0.08),1,10974,0.4108159661745946,0.7863181003780999,5570,0.4350533691376927,0.7833711806652801,5468,0.4344188524455031,0.7778962660731947,779,0.4213837296389293,0.7492074185622573,22012,0.41524041669787093,0.7832901406385406
expr_btc_2mx_depth_z,alphaforge_interaction,2,(btc_move_2m / 50) * (past_zscore_60(log_depth)),1,10974,0.11471088628579146,0.5561128521334455,5570,0.1188966733762033,0.5626399451996935,5468,0.10091324737835786,0.5407270564911515,779,0.10413515629087518,0.5307356476711316,22012,0.11125345925378512,0.553956606616326
expr_btc_4mx_path_eff,alphaforge_interaction,4,(btc_move_4m / 50) * (path_efficiency_first2m),1,10974,0.4796424392291517,0.8974916222240036,5570,0.48833162241958905,0.9052704037474208,5468,0.5127141503726884,0.89866715052175,779,0.5060839781849454,0.881393490264458,22012,0.48565922466383893,0.899647383965938
expr_btc_4mx_low_cost,alphaforge_interaction,4,(btc_move_4m / 50) * (1 - overround/0.08),1,10974,0.5660083095412537,0.9103767913703467,5570,0.5931039051096193,0.9231284007642441,5468,0.5992114771413979,0.909450120642628,779,0.5968880366465867,0.8981962167446037,22012,0.5729174505802991,0.9129637861702351
expr_btc_4mx_tight_spread,alphaforge_interaction,4,(btc_move_4m / 50) * (1 - min_spread/0.08),1,10974,0.5660033392005233,0.9103707284023208,5570,0.5931097055876864,0.9231295611321116,5468,0.5992114771413983,0.909450120642628,779,0.596888036646587,0.8981962167446037,22012,0.5729617142064086,0.9129654085796644
expr_pm_mom_2mx_path_eff,alphaforge_interaction,2,(mid_up_prob_change_2m / 0.05) * (path_efficiency_first2m),1,10960,0.44734316844464717,0.7877691586437043,5560,0.4443256833023501,0.7808288873568643,5465,0.43633143881709074,0.7777310713865663,779,0.3850288642870902,0.7395049007952235,21985,0.4428501898970235,0.783392039678497
expr_pm_mom_2mx_uncertainty,alphaforge_interaction,2,(mid_up_prob_change_2m / 0.05) * (1 - abs(mid_up_prob_2m - 0.5)*2),1,10960,0.41179343287041353,0.7293424976179501,5560,0.418083656335065,0.7327319231461986,5465,0.40668373344029546,0.7246497489509146,779,0.35126413538151174,0.6994101873134132,21985,0.41211510917869915,0.7289303044739437
expr_pm_mom_2mx_low_cost,alphaforge_interaction,2,(mid_up_prob_change_2m / 0.05) * (1 - overround/0.08),1,10960,0.5034318092306962,0.7906545806717942,5560,0.4948273150332894,0.7855555840222268,5465,0.4859379337588376,0.7801551598818712,779,0.43174328129298073,0.74764867506803,21985,0.49691662933086106,0.786732001809726
expr_pm_mom_2mx_tight_spread,alphaforge_interaction,2,(mid_up_prob_change_2m / 0.05) * (1 - min_spread/0.08),1,10960,0.503568061448598,0.79072572491605,5560,0.49481529277514563,0.7855442620507183,5465,0.485937933758837,0.7801587097462129,779,0.43174328129298073,0.74764867506803,21985,0.4969798526136231,0.7867661150233499
expr_pm_mom_2mx_depth_z,alphaforge_interaction,2,(mid_up_prob_change_2m / 0.05) * (past_zscore_60(log_depth)),1,10960,0.12189008617307875,0.5516714883878837,5560,0.10269255037071516,0.5580503358032053,5465,0.07822972588729958,0.5327046992434369,779,0.08444909407887607,0.5303162399936594,21985,0.1061638253966607,0.5484966820337114
expr_prior_up_2mx_path_eff,alphaforge_interaction,2,(mid_up_prob_2m - 0.5) * (path_efficiency_first2m),1,10960,0.45511637665646437,0.7919435038760123,5560,0.4446404081847102,0.7810954389146643,5465,0.44119326951677335,0.7825996768417834,779,0.3874859192331239,0.745300652558717,21985,0.44808156199505095,0.7867897372753657
expr_prior_up_2mx_uncertainty,alphaforge_interaction,2,(mid_up_prob_2m - 0.5) * (1 - abs(mid_up_prob_2m - 0.5)*2),1,10960,0.4384044230217405,0.7404289425044259,5560,0.4288616098540008,0.7355802076928333,5465,0.42791546739760955,0.7330178508612238,779,0.3774751318196032,0.7091655438429632,21985,0.43332766001217876,0.7372941129126761
expr_prior_up_2mx_low_cost,alphaforge_interaction,2,(mid_up_prob_2m - 0.5) * (1 - overround/0.08),1,10960,0.5163673932432212,0.7976694664391516,5560,0.4977940574669928,0.7871627864005913,5465,0.49568151571818037,0.7858473338643394,779,0.44421087841945184,0.7544087342474439,21985,0.5065476721569081,0.7920837620556875
expr_prior_up_2mx_tight_spread,alphaforge_interaction,2,(mid_up_prob_2m - 0.5) * (1 - min_spread/0.08),1,10960,0.5164148302572718,0.7976915990937902,5560,0.49777312467557033,0.787148941246861,5465,0.49568151571818025,0.7858473338643394,779,0.4442108784194518,0.7544087342474439,21985,0.5065639115861424,0.7920913850739448
expr_prior_up_2mx_depth_z,alphaforge_interaction,2,(mid_up_prob_2m - 0.5) * (past_zscore_60(log_depth)),1,10960,0.12487731384242368,0.5511169729616233,5560,0.10668111466910905,0.5597621531983081,5465,0.07431275040803074,0.5293754623195965,779,0.08353957903340202,0.5314258540064991,21985,0.10765152733820915,0.5478133831496335
expr_size_imbalancex_path_eff,alphaforge_interaction,2,(buy_up_vs_down_size_imbalance_2m) * (path_efficiency_first2m),-1,10959,0.0389065601553429,0.5228587978578534,5560,-0.009753247108452469,0.5011318089689683,5465,0.01337573723624039,0.5130553293912424,779,0.018311100500660187,0.5166442101925973,21984,0.020350279906656592,0.5149925100215075
expr_size_imbalancex_uncertainty,alphaforge_interaction,2,(buy_up_vs_down_size_imbalance_2m) * (1 - abs(mid_up_prob_2m - 0.5)*2),-1,10959,0.04107630672163987,0.5258272388465178,5560,0.01943708943234504,0.5115616091225847,5465,0.04709281186461403,0.5250862884949298,779,0.07789610773346482,0.5405933793030567,21984,0.03688976015259709,0.5218312495582329
expr_size_imbalancex_low_cost,alphaforge_interaction,2,(buy_up_vs_down_size_imbalance_2m) * (1 - overround/0.08),-1,10959,0.03972566508535752,0.5229224594190027,5560,0.0073817523616008275,0.5040674991356483,5465,0.03566770349142619,0.52204137561128,779,0.047625996995923375,0.5297548281419249,21984,0.030232644401403223,0.5177258685503126
expr_size_imbalancex_tight_spread,alphaforge_interaction,2,(buy_up_vs_down_size_imbalance_2m) * (1 - min_spread/0.08),-1,10959,0.03940294969612652,0.5226997438946365,5560,0.0074011124076989905,0.5040884609571841,5465,0.0356677034914262,0.52204137561128,779,0.04762599699592338,0.5297548281419249,21984,0.03007665776590155,0.5176178039986832
expr_size_imbalancex_depth_z,alphaforge_interaction,2,(buy_up_vs_down_size_imbalance_2m) * (past_zscore_60(log_depth)),1,10959,0.03969415368878093,0.510086276572872,5560,0.04034006820983188,0.5241663923514712,5465,0.04950356329892815,0.5196251236089555,779,0.04882435332555029,0.5024702121476314,21984,0.04244934491615039,0.5163375142933063
expr_sell_size_imbalancex_path_eff,alphaforge_interaction,2,(sell_up_vs_down_size_imbalance_2m) * (path_efficiency_first2m),1,10960,0.0408827292825418,0.5268592670590725,5560,-0.01688365783057338,0.4941193033015127,5465,0.012472214711535323,0.5113501888929701,779,0.033004310325037534,0.526092441415022,21985,0.01955407810776407,0.5146766276753835
expr_sell_size_imbalancex_uncertainty,alphaforge_interaction,2,(sell_up_vs_down_size_imbalance_2m) * (1 - abs(mid_up_prob_2m - 0.5)*2),1,10960,0.04506136828035962,0.5284282208033564,5560,0.013263823443980508,0.5068345889723221,5465,0.04351665685724136,0.5228632696742189,779,0.07758253262529859,0.5431428495944626,21985,0.036340174353190535,0.5212896042905293
expr_sell_size_imbalancex_low_cost,alphaforge_interaction,2,(sell_up_vs_down_size_imbalance_2m) * (1 - overround/0.08),1,10960,0.04435238676352414,0.5254079544527621,5560,-0.0007451548262662405,0.4995785638719642,5465,0.033258113428594985,0.5211864611121069,779,0.05627299190952398,0.5339621146072759,21985,0.029828698705614748,0.5175254514039374
expr_sell_size_imbalancex_tight_spread,alphaforge_interaction,2,(sell_up_vs_down_size_imbalance_2m) * (1 - min_spread/0.08),1,10960,0.043905528671311665,0.5251407971572678,5560,-0.0007259132375598247,0.4996098772103076,5465,0.033258113428594985,0.5211864611121069,779,0.056272991909524,0.5339621146072759,21985,0.02960895956520501,0.5173937784550262
expr_sell_size_imbalancex_depth_z,alphaforge_interaction,2,(sell_up_vs_down_size_imbalance_2m) * (past_zscore_60(log_depth)),-1,10960,0.04090548485052348,0.5150174141858359,5560,0.03862817178095103,0.5210287182130798,5465,0.0471720266648797,0.5211511634044084,779,0.045430818221927946,0.5018097276161793,21985,0.0419389147555524,0.518213257056138
expr_depth_imbalancex_path_eff,alphaforge_interaction,2,(bid_depth_up_vs_down_imbalance_2m) * (path_efficiency_first2m),1,10960,0.04700576990973873,0.4843774600512245,5560,0.24586185418733295,0.6226940702371118,5465,0.1969041658423584,0.5921490530435465,779,0.23298605638267084,0.6193858814826556,21985,0.14496667789417053,0.5470803649705807
expr_depth_imbalancex_uncertainty,alphaforge_interaction,2,(bid_depth_up_vs_down_imbalance_2m) * (1 - abs(mid_up_prob_2m - 0.5)*2),-1,10960,0.011031222024747857,0.5177152998528387,5560,-0.09279468851898828,0.4431059933212014,5465,-0.05759512885614628,0.4573669330002623,779,-0.1536141037654087,0.4063895273572693,21985,-0.030724885307548938,0.4802133345940696
expr_depth_imbalancex_low_cost,alphaforge_interaction,2,(bid_depth_up_vs_down_imbalance_2m) * (1 - overround/0.08),1,10960,0.045617718457953954,0.4916682795693015,5560,0.23994145047578508,0.6180303237333367,5465,0.19968818281917208,0.5898092905709977,779,0.24532658088485484,0.6216942749200813,21985,0.13701660717907027,0.5487970835805435
expr_depth_imbalancex_tight_spread,alphaforge_interaction,2,(bid_depth_up_vs_down_imbalance_2m) * (1 - min_spread/0.08),1,10960,0.04545024512742153,0.4916643826233381,5560,0.23989957913614743,0.6180179019131673,5465,0.19968818281917194,0.5898092905709977,779,0.24532658088485484,0.6216942749200813,21985,0.13698409181278542,0.5488081166786293
expr_depth_imbalancex_depth_z,alphaforge_interaction,2,(bid_depth_up_vs_down_imbalance_2m) * (past_zscore_60(log_depth)),1,10960,0.07383366862470006,0.507146016333666,5560,0.09572629077465808,0.5329627231528237,5465,0.09160445946464839,0.5253197757986057,779,0.0861326442236962,0.5215912393331749,21985,0.08435001354627529,0.5186147980943878
expr_book_pressure_deltax_path_eff,alphaforge_interaction,2,(book_pressure_up_2m - book_pressure_down_2m) * (path_efficiency_first2m),1,10959,0.04666852858279439,0.48368488440013246,5560,0.2465835165582256,0.6222430028922138,5465,0.1957954586035378,0.5911986271000127,779,0.23279659368559677,0.6213078914691818,21984,0.14516092611976003,0.5463988913992479
expr_book_pressure_deltax_uncertainty,alphaforge_interaction,2,(book_pressure_up_2m - book_pressure_down_2m) * (1 - abs(mid_up_prob_2m - 0.5)*2),-1,10959,0.011420588549527502,0.5174915719222067,5560,-0.09274258756977168,0.4430304272485047,5465,-0.05728974686652001,0.45722855526951234,779,-0.1625121474612424,0.3981334707141158,21984,-0.030609032242826545,0.4799649024878215
expr_book_pressure_deltax_low_cost,alphaforge_interaction,2,(book_pressure_up_2m - book_pressure_down_2m) * (1 - overround/0.08),1,10959,0.04523456728318046,0.4915153896743813,5560,0.24023154022006094,0.618076258589171,5465,0.19917687087150937,0.5896997136264155,779,0.24966745909315186,0.6266148846794009,21984,0.1372173680432642,0.5487666349773888
expr_book_pressure_deltax_tight_spread,alphaforge_interaction,2,(book_pressure_up_2m - book_pressure_down_2m) * (1 - min_spread/0.08),1,10959,0.045063419759371885,0.491513324254815,5560,0.24019562434111535,0.6180634485871215,5465,0.19917687087150934,0.5896997136264155,779,0.2496674590931518,0.6266148846794009,21984,0.13718565570279295,0.5487768330262288
expr_book_pressure_deltax_depth_z,alphaforge_interaction,2,(book_pressure_up_2m - book_pressure_down_2m) * (past_zscore_60(log_depth)),1,10959,0.07361954935607185,0.5065396513585098,5560,0.09525569962847365,0.5319421929895387,5465,0.09187231652174194,0.5249822037932913,779,0.08742634841442896,0.5255409368312595,21984,0.08418220647557235,0.5179277766731271
expr_btc_2m__mul__expr_pm_mom_2m,alphaforge_pair,2,expr_btc_2m * expr_pm_mom_2m,-1,10960,0.009400209294605394,0.49696191428111125,5560,0.029217550790987517,0.5162775660892591,5465,-0.013896398915581925,0.49831930668068397,779,-0.055260992177502494,0.4726691500885049,21985,0.00964183575085098,0.5019093094897903
expr_btc_2m__mul__expr_size_imbalance,alphaforge_pair,2,expr_btc_2m * expr_size_imbalance,1,10959,0.00539344887494658,0.497700821577265,5560,-0.02002019358566345,0.4826901935940674,5465,-0.01670593273811929,0.49233162323642077,779,0.05801819576240411,0.5368814562362949,21984,-0.00469275157980334,0.4924981886253794
expr_btc_2m__mul__expr_book_pressure_delta,alphaforge_pair,2,expr_btc_2m * expr_book_pressure_delta,1,10959,0.014587552504693674,0.5119164048747367,5560,0.03394946304012359,0.5262176748008887,5465,0.024801652363611135,0.5116414117261263,779,0.07860111704847002,0.5241440120472378,21984,0.022150654172866397,0.5148852566783086
