strategy,factor,family,entry_minute,q_threshold,trades,ending_bankroll,total_return,max_drawdown,win_rate,avg_pnl,profit_factor,worst_144_return,median_144_return,positive_144_rate,active_144_rate,split,hi_value,lo_value
skill_mean_reversion_5__q70,skill_mean_reversion_5,quantml_skill,2,0.7,4552,0.17455228919692475,-0.9982544771080307,0.9989190663814916,0.7363796133567663,-0.02193001926862979,0.9054357425706869,-0.5445275664311664,-0.06089171158594903,0.3650898302291083,1.0,train,0.2947668890021589,-0.2987622421046055
skill_mean_reversion_5__q70,skill_mean_reversion_5,quantml_skill,2,0.7,2720,2.4499533358023555,-0.9755004666419764,0.9828809430649548,0.731985294117647,-0.03586398774419036,0.9213628723783804,-0.5439406697935606,-0.05908244847822913,0.38225483655770515,1.0,validation,0.2947668890021589,-0.2987622421046055
skill_mean_reversion_5__q70,skill_mean_reversion_5,quantml_skill,2,0.7,2526,1.8875969818501241,-0.9811240301814987,0.9833034688699749,0.7323832145684878,-0.03884101465484959,0.8809976528910257,-0.4523229584246379,-0.07930406826223352,0.3203802535023349,1.0,test,0.2947668890021589,-0.2987622421046055
skill_mean_reversion_5__q70,skill_mean_reversion_5,quantml_skill,2,0.7,322,41.09008199968187,-0.5890991800031813,0.625840876619571,0.7049689440993789,-0.18295005590160923,0.7643764677559632,-0.4087952281213256,-0.13491983805699326,0.1276005547850208,1.0,latest72h,0.2947668890021589,-0.2987622421046055
skill_mean_reversion_5__q70,skill_mean_reversion_5,quantml_skill,2,0.7,9798,8.07221341820749e-05,-0.9999991927786582,0.9999994029809331,0.7341294141661564,-0.010206156284738265,0.9054675300548854,-0.5445275664311664,-0.0653714885226156,0.35855317057184993,1.0,full,0.2947668890021589,-0.2987622421046055
skill_mean_reversion_5__q75,skill_mean_reversion_5,quantml_skill,2,0.75,3812,3.069167444343131,-0.9693083255565687,0.9831863751541878,0.7704616998950682,-0.02542781546580706,0.9175103317251335,-0.4287752229638586,-0.0321570511944283,0.4171748805010714,1.0,train,0.49911497517714715,-0.5054334215098896
skill_mean_reversion_5__q75,skill_mean_reversion_5,quantml_skill,2,0.75,2269,7.168495887217566,-0.9283150411278244,0.9449566478625359,0.7606875275451741,-0.04091295906248675,0.8996150882815177,-0.4509424814368703,-0.04793687411464265,0.385923949299533,1.0,validation,0.49911497517714715,-0.5054334215098896
skill_mean_reversion_5__q75,skill_mean_reversion_5,quantml_skill,2,0.75,2133,9.718417045278855,-0.9028158295472115,0.905731852331161,0.7646507266760432,-0.0423261054640042,0.9035394022519375,-0.34120731423215933,-0.051072670603403925,0.3604069379586391,1.0,test,0.49911497517714715,-0.5054334215098896
skill_mean_reversion_5__q75,skill_mean_reversion_5,quantml_skill,2,0.75,281,46.36664699398925,-0.5363335300601075,0.57185856804197,0.7295373665480427,-0.19086602493242305,0.7670461948608381,-0.29888808690231616,-0.11650542039245959,0.11095700416088766,1.0,latest72h,0.49911497517714715,-0.5054334215098896
skill_mean_reversion_5__q75,skill_mean_reversion_5,quantml_skill,2,0.75,8214,0.02138179469588248,-0.9997861820530412,0.9998611851377214,0.7662527392257122,-0.012171733407025051,0.9170651442460904,-0.4509424814368703,-0.04186953134204091,0.39447812551204325,1.0,full,0.49911497517714715,-0.5054334215098896
