system,split,first_quote_ts,first_quote_cst,market_id,candidate_id,slug,session_et,side,entry_minute,entry_second,trade_number_in_market,entry_price,market_p,q_model,edge,price_bucket,entry_size,stake_fraction,target_cost,event_cap_used_fraction,shares,exit_policy,max_trades_per_market,min_entry_gap_seconds,exit_reason,exit_ts,exit_price,pnl_usd,event_ret,bankroll_after,daily_halted_before,skipped_exit_liquidity_quotes,fold,fold_split
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T15:55:01+00:00,2026-05-16T23:55:01+08:00,25911485679_attempt1::btc-updown-5m-1778946900,25911485679_attempt1::btc-updown-5m-1778946900::250::buy_down,btc-updown-5m-1778946900,other,buy_down,4.166666666666667,250.0,1,0.3,0.295,0.33104380217812984,0.02104380217812985,0.25-0.75,108.37,0.007515643635046376,0.7515643635046376,0.007515643635046376,2.505214545015459,settle,1,4,settle,,,-0.7766165089547923,-0.007766165089547923,99.22338349104521,False,0,fold_1,test
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T16:05:01+00:00,2026-05-17T00:05:01+08:00,25911485679_attempt1::btc-updown-5m-1778947500,25911485679_attempt1::btc-updown-5m-1778947500::8::buy_down,btc-updown-5m-1778947500,other,buy_down,0.13333333333333333,8.0,1,0.73,0.725,0.8260950812270674,0.08609508122706745,0.25-0.75,362.14,0.01,0.9922338349104521,0.01,1.359224431384181,settle,1,4,settle,,,0.3533983521598871,0.0035616438356164386,99.5767818432051,False,0,fold_1,test
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T16:10:01+00:00,2026-05-17T00:10:01+08:00,25911485679_attempt1::btc-updown-5m-1778947800,25911485679_attempt1::btc-updown-5m-1778947800::13::buy_down,btc-updown-5m-1778947800,other,buy_down,0.21666666666666667,13.0,1,0.64,0.635,0.7533723830484121,0.10337238304841213,0.25-0.75,236.01,0.01,0.995767818432051,0.01,1.5558872163000796,settle,1,4,settle,,,0.5445605257050279,0.0054687500000000005,100.12134236891012,False,0,fold_1,test
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T16:15:01+00:00,2026-05-17T00:15:01+08:00,25911485679_attempt1::btc-updown-5m-1778948100,25911485679_attempt1::btc-updown-5m-1778948100::180::buy_down,btc-updown-5m-1778948100,other,buy_down,3.0,180.0,1,0.13,0.125,0.16853667438566552,0.02853667438566552,0.10-0.25,286.36,0.008200193788984345,0.8210144098383119,0.008200193788984345,6.315495460294707,settle,1,4,settle,,,-0.884169364441259,-0.008830977926598526,99.23717300446886,False,0,fold_1,test
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T16:20:01+00:00,2026-05-17T00:20:01+08:00,25911485679_attempt1::btc-updown-5m-1778948400,25911485679_attempt1::btc-updown-5m-1778948400::4::buy_down,btc-updown-5m-1778948400,other,buy_down,0.06666666666666667,4.0,1,0.54,0.535,0.588881341626733,0.038881341626732964,0.25-0.75,196.0,0.01,0.9923717300446886,0.01,1.8377254260086824,settle,1,4,settle,,,0.8269764417039069,0.008333333333333331,100.06414944617276,False,0,fold_1,test
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T16:25:02+00:00,2026-05-17T00:25:02+08:00,25911485679_attempt1::btc-updown-5m-1778948700,25911485679_attempt1::btc-updown-5m-1778948700::4::buy_up,btc-updown-5m-1778948700,other,buy_up,0.06666666666666667,4.0,1,0.5,0.495,0.5411408435242755,0.031140843524275492,0.25-0.75,65.9,0.01,1.0006414944617277,0.01,2.0012829889234554,settle,1,4,settle,,,-1.0206543243509623,-0.0102,99.0434951218218,False,0,fold_1,test
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T16:30:02+00:00,2026-05-17T00:30:02+08:00,25911485679_attempt1::btc-updown-5m-1778949000,25911485679_attempt1::btc-updown-5m-1778949000::278::buy_down,btc-updown-5m-1778949000,other,buy_down,4.633333333333334,278.0,1,0.44,0.435,0.4756127162223679,0.02561271622236789,0.25-0.75,298.83,0.01,0.9904349512182181,0.01,2.2509885254959503,settle,1,4,settle,,,-1.0129448364731777,-0.010227272727272729,98.03055028534862,False,0,fold_1,test
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T16:35:00+00:00,2026-05-17T00:35:00+08:00,25911485679_attempt1::btc-updown-5m-1778949300,25911485679_attempt1::btc-updown-5m-1778949300::5::buy_down,btc-updown-5m-1778949300,other,buy_down,0.08333333333333333,5.0,1,0.6,0.595,0.7330214439238805,0.1230214439238805,0.25-0.75,140.51,0.01,0.9803055028534863,0.01,1.6338425047558105,settle,1,4,settle,,,0.6371985768547661,0.006500000000000001,98.6677488622034,False,0,fold_1,test
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T16:40:01+00:00,2026-05-17T00:40:01+08:00,25911485679_attempt1::btc-updown-5m-1778949600,25911485679_attempt1::btc-updown-5m-1778949600::4::buy_down,btc-updown-5m-1778949600,other,buy_down,0.06666666666666667,4.0,1,0.37,0.365,0.6036811519527839,0.22368115195278393,0.25-0.75,1498.53,0.01,0.986677488622034,0.01,2.6666959151946865,settle,1,4,settle,,,1.6533514674207057,0.01675675675675676,100.3211003296241,False,0,fold_1,test
q_edge_ne0.02_be0.06_d50_cap0.01_mt1_gap4s__settle,test,2026-05-16T16:45:02+00:00,2026-05-17T00:45:02+08:00,25911485679_attempt1::btc-updown-5m-1778949900,25911485679_attempt1::btc-updown-5m-1778949900::26::buy_down,btc-updown-5m-1778949900,other,buy_down,0.43333333333333335,26.0,1,0.35,0.345,0.38267412110799925,0.022674121107999275,0.25-0.75,63.77,0.008720815810768952,0.8748818379083242,0.008720815810768952,2.4996623940237837,settle,1,4,settle,,,-0.8998784618485621,-0.008969981976790923,99.42122186777554,False,0,fold_1,test
