split,stage,count,share_of_candidates,retention_from_previous,executed_markets
train,候选,662478,1.0,1.0,
train,过 edge,160189,0.2418027466572475,0.2418027466572475,
train,过 depth,113432,0.17122379912993338,0.7081135408798357,
train,过 spread,113131,0.17076944441928638,0.9973464278157839,
train,过 overround,113033,0.1706215149786106,0.9991337476023371,
train,实际执行,892,0.0013464598069671747,0.007891500712181398,892
validation,候选,30499,1.0,1.0,
validation,过 edge,6735,0.22082691235778223,0.22082691235778223,
validation,过 depth,4935,0.16180858388799632,0.732739420935412,
validation,过 spread,4934,0.16177579592773533,0.9997973657548126,
validation,过 overround,4927,0.1615462802059084,0.9985812728009729,
validation,实际执行,162,0.0053116495622807305,0.032880048711183274,162
test,候选,68450,1.0,1.0,
test,过 edge,15724,0.22971512052593135,0.22971512052593135,
test,过 depth,11407,0.1666471877282688,0.7254515390485882,
test,过 spread,11391,0.1664134404674945,0.9985973525028491,
test,过 overround,11377,0.16620891161431703,0.998770959529453,
test,实际执行,559,0.00816654492330168,0.04913421815944449,559
