split,first_quote_cst,market_id,side,signal_entry_second,signal_price,q_model,edge,paper_delay_seconds,max_adverse_slippage,paper_check_ts,paper_price,paper_size,price_slippage,status,fill_cost,fill_ratio,paper_pnl_usd,original_backtest_pnl_usd,exit_reason,paper_bankroll_after
train,2026-05-03T23:45:01+08:00,25247789591_attempt1::btc-updown-5m-1777823100,buy_up,9.0,0.51,0.56343357844945,0.04343357844944996,4,0.01,2026-05-03T15:45:14+00:00,0.51,159.39,0.0,full_fill,1.0,1.0,-1.0196078431372548,-1.0196078431372548,settle,98.98039215686275
train,2026-05-03T23:50:00+08:00,25247789591_attempt1::btc-updown-5m-1777823400,buy_down,9.0,0.47,0.5651519611040718,0.08515196110407187,4,0.01,2026-05-03T15:50:13+00:00,0.48,299.05,0.010000000000000009,full_fill,0.9898039215686275,1.0,1.0516666666666667,1.095102211097205,settle,100.03205882352941
train,2026-05-03T23:55:02+08:00,25247789591_attempt1::btc-updown-5m-1777823700,buy_down,255.0,0.3,0.3393303559987774,0.02933035599877743,4,0.01,2026-05-03T15:59:21+00:00,0.33,31.52,0.030000000000000027,price_moved,0.0,0.0,0.0,-1.0341134418022528,,100.03205882352941
train,2026-05-04T00:00:02+08:00,25247789591_attempt1::btc-updown-5m-1777824000,buy_down,220.0,0.18,0.2221256226916891,0.032125622691689094,4,0.01,2026-05-03T16:03:47+00:00,0.13,95.88,-0.04999999999999999,full_fill,0.9797537130602301,1.0100026664421242,-1.0551193832956325,-1.0239423213999714,settle,98.97693944023378
train,2026-05-04T00:10:02+08:00,25247789591_attempt1::btc-updown-5m-1777824600,buy_up,35.0,0.29,0.3239771114011121,0.02397711140111209,4,0.01,2026-05-03T16:10:42+00:00,0.38,16.73,0.09000000000000002,price_moved,0.0,0.0,0.0,-0.856061818119697,,98.97693944023378
train,2026-05-04T08:00:02+08:00,25247789591_attempt1::btc-updown-5m-1777852800,buy_down,4.0,0.65,0.7536143226162878,0.09361432261628778,4,0.01,2026-05-04T00:00:10+00:00,0.73,7.67,0.07999999999999996,price_moved,0.0,0.0,0.0,0.508228740114722,,98.97693944023378
train,2026-05-04T08:05:01+08:00,25247789591_attempt1::btc-updown-5m-1777853100,buy_up,4.0,0.6,0.6993315984332703,0.08933159843327033,4,0.01,2026-05-04T00:05:09+00:00,0.67,379.44,0.07000000000000006,price_moved,0.0,0.0,0.0,-0.9929743228553196,,98.97693944023378
train,2026-05-04T08:10:01+08:00,25247789591_attempt1::btc-updown-5m-1777853400,buy_down,8.0,0.5,0.577008833882089,0.06700883388208902,4,0.01,2026-05-04T00:10:13+00:00,0.43,136.32,-0.07,full_fill,0.9897693944023378,1.0237938393972876,-1.0127872872954156,-0.9861016382797538,settle,97.96415215293837
train,2026-05-04T08:15:01+08:00,25247789591_attempt1::btc-updown-5m-1777853700,buy_down,16.0,0.54,0.6647057765212827,0.11470577652128268,4,0.01,2026-05-04T00:15:22+00:00,0.54,15.0,0.0,full_fill,0.9796415215293837,1.023760163076134,0.8163679346078196,0.7974210797134805,settle,98.7805200875462
train,2026-05-04T08:20:01+08:00,25247789591_attempt1::btc-updown-5m-1777854000,buy_down,4.0,0.49,0.8176915456934,0.31769154569339997,4,0.01,2026-05-04T00:20:09+00:00,0.5,712.62,0.010000000000000009,full_fill,0.987805200875462,1.023760163076134,0.9680490968579527,0.9845709249523589,settle,99.74856918440415
train,2026-05-04T08:25:00+08:00,25247789591_attempt1::btc-updown-5m-1777854300,buy_down,4.0,0.69,0.7237285071857826,0.023728507185782684,4,0.01,2026-05-04T00:25:08+00:00,0.7,38.23,0.010000000000000009,full_fill,0.9974856918440415,1.0233506590109034,-1.0117354874418134,-0.9888516681043257,settle,98.73683369696234
train,2026-05-04T08:35:01+08:00,25247789591_attempt1::btc-updown-5m-1777854900,buy_down,5.0,0.58,0.6401260950138441,0.05012609501384414,4,0.01,2026-05-04T00:35:11+00:00,0.56,85.77,-0.019999999999999907,full_fill,0.9873683369696233,1.02335279946407,0.7581578301731035,0.6820397355154048,settle,99.49499152713544
