split,dimension,bucket,sample,trades,total_pnl,avg_pnl,win_rate,profit_factor,avg_edge,avg_q,avg_entry_price,verdict
test,date,2026-06-01,selected_trades,260,221.2954210159858,0.8511362346768682,0.676923076923077,2.337321559945378,0.07880175379687826,0.5714171384122628,0.4826153846153846,strong
test,date,2026-06-02,selected_trades,227,676.9078703606455,2.9819729971834605,0.7577092511013216,3.155880733462506,0.10017153590174675,0.6184094213643018,0.5082378854625551,strong
test,date,2026-05-31,selected_trades,72,25.4302710799837,0.3531982094442179,0.5972222222222222,1.7809041359131248,0.04994956260710829,0.5046717848293305,0.44472222222222224,strong
test,depth_bucket,mid,selected_trades,207,346.9618129102817,1.676144023721168,0.6859903381642513,2.8884858968676665,0.08199286936297699,0.5753262026963103,0.48333333333333334,strong
test,depth_bucket,high,selected_trades,179,385.9309269928233,2.156038698283928,0.7430167597765364,3.4916664534777295,0.09529676229131212,0.59071575670472,0.4854189944134078,strong
test,depth_bucket,low,selected_trades,173,190.74082255351004,1.1025481072457226,0.6705202312138728,2.099939555525858,0.07394866321569682,0.5806538655278356,0.4967052023121387,strong
test,entry_second_bucket,<=60s,selected_trades,472,919.8727272974133,1.9488828968165532,0.7563559322033898,3.4481535620821755,0.0937487385622272,0.6181131453418882,0.514364406779661,strong
test,entry_second_bucket,<=180s,selected_trades,63,-0.12077763108949569,-0.0019171052553888363,0.42857142857142855,0.9986089757203817,0.027769266346502865,0.4201502187274552,0.3823809523809524,weak
test,entry_second_bucket,>180s,selected_trades,24,3.881612790291359,0.16173386626213992,0.2916666666666667,1.0784862076730717,0.03437061514148927,0.29437061514148927,0.25,weak
test,overround_bucket,low,selected_trades,511,796.6447425952863,1.5589916684839258,0.6908023483365949,2.684140660133873,0.08229008247309767,0.5761844073263267,0.483894324853229,strong
test,overround_bucket,high,selected_trades,48,126.98881986132889,2.645600413777686,0.7916666666666666,4.2564257842317,0.099448562517578,0.6427818958509113,0.5333333333333333,strong
test,price_bucket,0.25-0.75,selected_trades,511,891.1065803970558,1.7438484939277017,0.726027397260274,3.0182627233303796,0.08755024163308006,0.6022860537661525,0.5047358121330724,strong
test,price_bucket,0.10-0.25,selected_trades,39,21.63381657888155,0.5547132456123477,0.28205128205128205,1.3068529730278997,0.035579958885373346,0.24634918965460412,0.20076923076923076,weak
test,price_bucket,0.75-0.90,selected_trades,9,10.89316548067786,1.2103517200753178,1.0,,0.07755236372924243,0.8786634748403536,0.7911111111111111,thin
test,session,london,selected_trades,202,346.96231326605545,1.7176352141883935,0.7079207920792079,2.5657915574249257,0.08157416603595968,0.5801880274220983,0.4886138613861386,strong
