scenario,delay_seconds,max_adverse_slippage,split,signals,fills,fill_rate,ending_bankroll,total_return,avg_fill_ratio,total_pnl
delay4s_slip0.010,4,0.01,train,892,611,0.6849775784753364,598.183258326453,4.981832583264531,0.6308565190226035,498.18325832645394
delay4s_slip0.010,4,0.01,validation,162,101,0.6234567901234568,181.3514625898559,0.813514625898559,0.9299841674313366,81.35146258985593
delay4s_slip0.010,4,0.01,test,559,345,0.6171735241502684,575.3019870962906,4.753019870962906,0.8392163623685743,475.30198709629076
delay8s_slip0.010,8,0.01,train,892,504,0.5650224215246636,456.51601802440973,3.5651601802440975,0.5686346879939964,356.51601802440916
delay8s_slip0.010,8,0.01,validation,162,82,0.5061728395061729,139.99216667911475,0.3999216667911474,0.7964714099632086,39.99216667911475
delay8s_slip0.010,8,0.01,test,559,286,0.5116279069767442,432.9065523628867,3.3290655236288673,0.7369663179340087,332.9065523628867
delay12s_slip0.010,12,0.01,train,892,450,0.5044843049327354,409.2935701128563,3.092935701128563,0.5549851674111961,309.2935701128564
delay12s_slip0.010,12,0.01,validation,162,72,0.4444444444444444,145.99249111908819,0.45992491119088186,0.8015258077636841,45.99249111908818
delay12s_slip0.010,12,0.01,test,559,279,0.4991055456171735,469.12568310099147,3.6912568310099143,0.7623817662778278,369.1256831009916
delay4s_slip0.005,4,0.005,train,892,518,0.5807174887892377,456.551874320409,3.5655187432040902,0.5531255322667064,356.55187432040924
delay4s_slip0.005,4,0.005,validation,162,84,0.5185185185185185,160.08559389237578,0.6008559389237578,0.8881653374790548,60.08559389237577
delay4s_slip0.005,4,0.005,test,559,284,0.5080500894454383,415.4877852551599,3.154877852551599,0.728842253946323,315.4877852551601
