split,scenario,signals,displayed_rows,fills_displayed,ending_bankroll,total_return,display_fill_rate,avg_fill_ratio_displayed,display_total_pnl
train,delay4s_slip0.010,892,600,391,598.183258326453,4.981832583264531,0.6516666666666666,0.7336198155055407,309.5970839053111
validation,delay4s_slip0.010,162,0,0,181.3514625898559,0.813514625898559,,,0
test,delay4s_slip0.010,559,559,345,575.3019870962906,4.753019870962906,0.6171735241502684,0.8392163623685743,475.30198709629076
train,status::full_fill,27,27,27,,,,1.0150144959990721,9.121371144155784
train,status::price_moved,281,281,0,,,,0.0,0.0
train,status::partial_fill,584,584,584,,,,0.6130957906349929,489.06188718229834
validation,status::full_fill,20,20,20,,,,0.9985516890421735,19.295523330659673
validation,status::price_moved,61,61,0,,,,0.0,0.0
validation,status::partial_fill,81,81,81,,,,0.9130539151817473,62.055939259196286
test,status::full_fill,20,20,20,,,,0.9986073783506529,11.063623846106498
test,status::price_moved,214,214,0,,,,0.0,0.0
test,status::partial_fill,325,325,325,,,,0.8294076844619849,464.2383632501843
