split,group,trades,avg_logit_contribution,avg_abs_logit_contribution,positive_contribution_rate
test,boundary,559,-0.0009950525542607826,0.0009950525542607826,0.0
test,btc,559,0.349260875447759,0.3717847242891595,0.8998211091234347
test,interactions,559,0.12796919037916057,0.1732655021280394,0.8032200357781754
test,intercept,559,-0.16909787768527995,0.16909787768527995,0.0
test,liquidity_micro,559,0.011074926437453314,0.020939808306765218,0.6493738819320215
test,market_prior,559,0.04036492352942228,0.22737280073599653,0.6618962432915921
train,boundary,892,-0.0009806936184424818,0.0010027183114629794,0.0033632286995515697
train,btc,892,0.2990883918284169,0.34019156916483523,0.8542600896860987
train,interactions,892,0.10119027660983981,0.16278964104845195,0.7399103139013453
train,intercept,892,-0.16909787768527995,0.16909787768527995,0.0
train,liquidity_micro,892,0.01395142479166579,0.02150738229636508,0.726457399103139
train,market_prior,892,-0.018289483465831927,0.23972803202819423,0.6300448430493274
validation,boundary,162,-0.0009950525542607826,0.0009950525542607826,0.0
validation,btc,162,0.31998067732024843,0.3650861970625361,0.8518518518518519
validation,interactions,162,0.10458758316026122,0.1691139764229036,0.7222222222222222
validation,intercept,162,-0.16909787768527995,0.16909787768527995,0.0
validation,liquidity_micro,162,0.014700517959158088,0.023771926800512266,0.6666666666666666
validation,market_prior,162,-0.012736062161868667,0.251335916471168,0.5802469135802469
