split,rows,positive_rate,logloss_model,logloss_market_baseline,logloss_delta_vs_market,brier_model,brier_market_baseline,auc_model,auc_market_baseline,ece_model_10,fold
validation,104135,0.4807893599654295,0.4752165294191381,0.49051827096079126,-0.015301741541653147,0.15810915063200356,0.16454792896720602,0.8499874900931561,0.836814693685914,0.01783151710313952,fold_1
test,104640,0.48544533639143733,0.5232287039797987,0.5187868773426174,0.00444182663718129,0.17700221860781493,0.17605633491972478,0.8116788932125429,0.8121633968830254,0.02298448082951549,fold_1
validation,99694,0.4820249964892571,0.4766477265111606,0.492386965593687,-0.01573923908252639,0.15885724218401218,0.16555621088530906,0.84839231403399,0.8350161377106619,0.007431216447421986,fold_2
test,75653,0.4829286346873224,0.4888035334533078,0.5068437910876287,-0.018040257634320878,0.16407028796268447,0.17116179333271647,0.8388837798459452,0.8225777294503233,0.02082731119646639,fold_2
