split,price_bucket,trades,total_pnl,avg_pnl,win_rate,avg_edge,avg_q,avg_entry_price
test,0.10-0.25,39,21.63381657888155,0.5547132456123477,0.28205128205128205,0.035579958885373346,0.24634918965460412,0.20076923076923076
test,0.25-0.75,511,891.1065803970558,1.7438484939277017,0.726027397260274,0.08755024163308006,0.6022860537661525,0.5047358121330724
test,0.75-0.90,9,10.89316548067786,1.2103517200753178,1.0,0.07755236372924243,0.8786634748403536,0.7911111111111111
train,0.10-0.25,95,-130.7253075752388,-1.3760558692130402,0.18947368421052632,0.03727601155059018,0.24296022207690599,0.1956842105263158
train,0.25-0.75,786,1392.7546722211357,1.7719525091871942,0.6717557251908397,0.08099481800358851,0.5857658103700008,0.4947709923664122
train,0.75-0.90,8,12.785023995041772,1.5981279993802215,1.0,0.08583341024020907,0.8808334102402091,0.785
train,p<=0.10,3,6.819111659045404,2.2730372196818016,0.3333333333333333,0.06645169296799495,0.16645169296799495,0.09000000000000001
validation,0.10-0.25,14,25.551394022218236,1.8250995730155886,0.35714285714285715,0.036676816677989006,0.22739110239227472,0.18071428571428572
validation,0.25-0.75,145,81.95785871166346,0.5652266118045757,0.6896551724137931,0.07939845805896484,0.5765019063348269,0.48710344827586205
validation,0.75-0.90,3,1.7419745358525394,0.5806581786175131,1.0,0.15723274764517925,0.9272327476451793,0.76
