run_name,file_count,raw_row_count
24949259015_attempt1,48,39535
24952032748_attempt1,48,36019
24986940107_attempt1,48,40793
25044896828_attempt1,48,39723
25100490855_attempt1,48,40583
25157440693_attempt1,48,40774
25208977834_attempt1,48,40558
25247789591_attempt1,48,38790
25274678535_attempt1,48,39865
25311264469_attempt1,48,41955
25367630341_attempt1,48,39433
25427145257_attempt1,48,42213
25487949887_attempt1,48,38628
25545252940_attempt1,48,42129
25596809734_attempt1,48,41252
25624592440_attempt1,48,38959
25665168591_attempt1,48,39795
25726497649_attempt1,21,17380
25791429807_attempt1,48,41466
25852951350_attempt1,48,42646
25911485679_attempt1,48,43355
25957739510_attempt1,48,44234
25986690554_attempt1,48,41729
26029755017_attempt1,48,41183
26091905404_attempt1,48,39368
26156603287_attempt1,48,43682
26221008452_attempt1,48,42392
26282408844_attempt1,22,19934
26328797356_attempt1,13,12169
26357456273_attempt1,48,39586
26709070227_attempt1,48,39628
26709294970_attempt1,48,39828
26755468029_attempt1,12,9054
