feature,train_auc,train_corr_label,train_corr_pnl,validation_auc,validation_corr_label,validation_corr_pnl,test_auc,test_corr_label,test_corr_pnl,stable_corr_pnl_sign
logit_market_p,0.8223750966695794,0.5415297320914598,-0.009473481542512792,0.8144720899907664,0.5344027230004428,-0.025046359196267316,0.8378786790217186,0.565845583520842,-0.0006888038461340342,1
signed_btc_move_entry,0.8040443534344235,0.3972243134457308,0.03226405005197304,0.8112429000352235,0.4546294033886671,0.011534542210507079,0.8276587316866544,0.5120444479475027,0.023770118612653317,1
signed_btc_move_2m,0.7747265518512246,0.3659810662757735,0.11793756217381668,0.7759435154607833,0.40591197289063735,0.08012059636767131,0.8025535444960721,0.48279694402790224,0.15537256445096903,1
abs_btc_move_entry,0.472838811322807,-0.052726341077451125,0.0007495168122260642,0.4739670741953121,-0.06593477812121994,-0.0006155474703307037,0.4630553297756908,-0.0883586360730364,-0.000827282477652415,0
btc_move_entry_x_uncertainty,0.7226949249671463,0.19878295728550907,0.04674897847734812,0.7401625935498233,0.36708548353025416,0.04109375593712451,0.7448793086887924,0.37248827875613794,0.040905035146387096,1
btc_move_2m_x_uncertainty,0.7155766181487507,0.23712676414924225,0.15578664868811756,0.7272091483665174,0.28718472478429496,0.15027615079254003,0.7415598957109252,0.35270512241803825,0.23173074958392834,1
btc_move_entry_x_depth,0.8030192973376444,0.3694854499010758,0.02540071242913302,0.8107475271259877,0.38935012563292604,0.009657856907704132,0.8273599860586913,0.4558462474320581,0.017612835376234766,1
signed_market_momentum_2m,0.8088861843724996,0.5361259015065399,-0.012841974566115244,0.8001029738543319,0.5190531399926566,-0.03913820033173298,0.8248895271611066,0.5628963304769794,0.0013577877193458475,0
market_momentum_x_uncertainty,0.7189320493789176,0.3720633275927696,-0.014100018652614123,0.7123568289425235,0.36234223415328604,-0.03997422720016949,0.7341380501345408,0.40185798967990827,0.005420618447850631,0
path_efficiency_first2m,0.49452039340626386,-0.006544750940902241,0.0002296274664593493,0.49166953020835014,-0.01389380308711057,1.903858102441387e-05,0.4915368910749474,-0.011702908547615342,0.00012595519201005187,1
realized_vol_first2m,0.49200959882594547,0.0009467392301356158,0.0013183603113260441,0.4950127452572655,-0.019112400840962482,-0.0005402928532027711,0.4934038790641305,-0.01270750712669457,-0.0010933772979782393,0
spread_side,0.4670154017361258,-0.17967945339357705,0.0006953788403094101,0.4685127935397122,-0.17741639561803796,-0.0023287073852948587,0.4545223263364221,-0.21043115875720927,-0.001780275642917404,0
overround_median_first2m,0.49995864860739714,-6.023215240988435e-05,-0.010818969787967212,0.5008310857200083,-8.256860988522898e-05,-0.012743354166255893,0.495712393674898,-1.5786761425402524e-05,-0.011264062805575578,1
log_depth_side,0.45132576052635326,-0.09095145459750116,-0.014841732743017436,0.4618936084578724,-0.06605390187113316,-0.004148387349811622,0.44315305197890303,-0.1136282990781825,-0.02045873295314887,1
signed_size_imbalance_2m,0.4857248829756998,-0.023657313883497216,-0.02597128213208958,0.4970021361711014,-0.0053913039668902814,-0.0050460668691333695,0.48999036163696724,-0.016430752643726943,-0.030244950221868096,1
book_pressure_side_2m,0.5059745362967253,0.14805962787439694,-0.007986450609108912,0.520567220254879,0.200350642244685,0.01864422630521587,0.6512135078414099,0.28892344919860097,-0.0026780430804869792,0
entry_minute_1,0.5108268425198039,0.023351049776047957,-0.0001562304375494276,0.5108898484192905,0.022372110954243678,3.9573713115684195e-05,0.5117907577213101,0.0322629698639379,0.0001360840905663051,0
entry_minute_2,0.5100760633592674,0.021650995975906605,0.00017571338561341265,0.5099293437017305,0.020141497115169334,0.0004124349585092216,0.5114480711873751,0.031164618762124407,0.0005096703211587486,1
entry_minute_4,0.47891683629141396,-0.04391213969312074,-1.95919925514324e-05,0.4803400342963787,-0.04140831011871934,-0.00044073509509417785,0.46837067357652,-0.06238434142604413,-0.0006360628680299897,1
entry_progress,0.47291749929488947,-0.04770248185800588,8.193132021032787e-05,0.4740941643052349,-0.04558171512127415,-0.00038711308484158045,0.4627487068175887,-0.06589648020634029,-0.0006028650448676958,0
seconds_to_close_norm,0.5270832533320129,0.047702915859984096,-8.23010135959402e-05,0.5258954697771858,0.045553529281413006,0.00038900161237505603,0.5372208841384444,0.06589520933779008,0.0006014582843164026,0
session_asia,0.501604986413798,0.003761142711614726,1.6842671622404266e-05,0.5004131171147567,0.0010159371861243197,4.5869454414771015e-06,0.49490599702683535,-0.003917888339143372,0.0006162146936599925,1
session_london,0.49991236717188076,-1.798700630925051e-05,0.0005238805899060877,0.5016971478022808,0.0023631475286438226,1.7130740077098997e-05,0.4967885009693227,-0.002195548789398567,3.9277841772522594e-05,1
session_us_open,0.4984432157523635,-0.005988277918251867,-0.0004359071626797313,0.5006432852547612,,,0.4962226379596496,0.0013233462831066312,-0.0007473408944143203,1
session_us_afternoon,0.499302126088851,-0.002953164265989381,-0.000128970035483316,0.5006432852547612,,,0.4959659193039644,0.0012006059442575528,-0.00019409670997606532,1
boundary_price_flag,0.48040019520669774,-0.04618770494523924,0.0005957180322118689,0.4814469748188788,-0.04530483659714691,-0.0019743338209268916,0.47144727108266643,-0.06309629485945817,0.0008951076654405632,0
