split,first_quote_cst,slug,side,entry_second,entry_price,market_p,q_model,raw_logit,calibrated_logit,edge,pnl_usd,exit_reason,dominant_group,market_prior_contrib,btc_contrib,interaction_contrib,liquidity_micro_contrib,market_path_contrib,timing_contrib,boundary_contrib,intercept_contrib
train,2026-05-03T23:45:01+08:00,btc-updown-5m-1777823100,buy_up,9.0,0.51,0.505,0.56343357844945,0.2495929022991502,0.2551089211241762,0.04343357844944996,-1.0196078431372548,settle,btc,0.0949807529284627,0.17287813001882718,0.12361451761450389,0.028212431976897216,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
train,2026-05-03T23:50:00+08:00,btc-updown-5m-1777823400,buy_down,9.0,0.47,0.465,0.5651519611040718,0.25653955726639044,0.2620980185048578,0.08515196110407187,1.095102211097205,settle,btc,0.010832661965491977,0.3081794216340993,0.09612305694111817,0.011497346965221696,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
train,2026-05-03T23:55:02+08:00,btc-updown-5m-1777823700,buy_down,255.0,0.3,0.295,0.3393303559987774,-0.6662005366655024,-0.6662797984390856,0.02933035599877743,-1.0341134418022528,settle,market_prior,-0.3730634325834561,0.0003408253118632413,-0.13679362634209363,0.013408627187724986,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
train,2026-05-04T00:00:02+08:00,btc-updown-5m-1777824000,buy_down,220.0,0.18,0.165,0.2221256226916891,-1.2496777832815684,-1.2533219525755763,0.032125622691689094,-1.0239423213999714,settle,market_prior,-0.7670799320358461,-0.07398979244727093,-0.19602595883911456,-0.04248916971979605,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
train,2026-05-04T00:10:02+08:00,btc-updown-5m-1777824600,buy_up,35.0,0.29,0.285,0.3239771114011121,-0.735054124016982,-0.7355540648706511,0.02397711140111209,-0.856061818119697,settle,market_prior,-0.39857145011641004,-0.01761391592590532,-0.1708343344187052,0.02205850668357939,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
train,2026-05-04T08:00:02+08:00,btc-updown-5m-1777852800,buy_down,4.0,0.65,0.645,0.7536143226162878,1.10722666858311,1.1179826262076824,0.09361432261628778,0.508228740114722,settle,btc,0.39807344390496124,0.5763138978470592,0.28811322031925635,0.014819036751373782,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
train,2026-05-04T08:05:01+08:00,btc-updown-5m-1777853100,buy_up,4.0,0.6,0.595,0.6993315984332703,0.8350241530909871,0.8441170179382759,0.08933159843327033,-0.9929743228553196,settle,btc,0.28649664736570424,0.4717660885325891,0.2170915662469368,0.029762781185297682,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
train,2026-05-04T08:10:01+08:00,btc-updown-5m-1777853400,buy_down,8.0,0.5,0.495,0.577008833882089,0.30465385329574324,0.3105062814656544,0.06700883388208902,-0.9861016382797538,settle,btc,0.07397322828062054,0.2589390356754398,0.14208485523262884,-0.0002503356534051968,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
train,2026-05-04T08:15:01+08:00,btc-updown-5m-1777853700,buy_down,16.0,0.54,0.535,0.6647057765212827,0.6762135065418872,0.6843360760237786,0.11470577652128268,0.7974210797134805,settle,btc,0.1581213192435915,0.40877308923901345,0.23602070274769968,0.04339132555112338,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
train,2026-05-04T08:20:01+08:00,btc-updown-5m-1777854000,buy_down,4.0,0.49,0.485,0.8176915456934,1.487704538460814,1.5007851255847346,0.31769154569339997,0.9845709249523589,settle,btc,0.052957295858109765,1.072853379603205,0.5047449232265807,0.027241870012459143,0.0,0.0,-0.0009950525542607826,-0.16909787768527995
