split,bucket,rows,avg_q,win_rate,avg_market_p,avg_edge
train,0.0-0.1,78857,0.04239932111084947,0.038360576740175255,0.057306865592147815,-0.02880868832395023
train,0.1-0.2,62258,0.1506305621379361,0.13974107745189374,0.1639775209611616,-0.029533721970130326
train,0.2-0.3,66164,0.24980116010232187,0.2493803276706366,0.2771176848437217,-0.043899825327821426
train,0.3-0.4,66361,0.3502161469414948,0.36262262473440726,0.3798633685447778,-0.046387656497271945
train,0.4-0.5,68749,0.45012382988682115,0.44899562175449825,0.4626312164540575,-0.028975109734118813
train,0.5-0.6,68886,0.5499033267334728,0.5497053102226868,0.5364267993496501,-0.003038374047527752
train,0.6-0.7,67042,0.6497657494597467,0.638122371050983,0.6197828152501417,0.013323742956360834
train,0.7-0.8,67250,0.7502158149022363,0.7523717472118959,0.7240613382899628,0.009624484047217757
train,0.8-0.9,62358,0.849358053263917,0.8627922640238622,0.8388999486834087,-0.0057113363893753315
train,0.9-1.0,54553,0.9459960589874932,0.9488020823786043,0.9245539841988525,0.00596957098500019
validation,0.0-0.1,3465,0.042420033974890005,0.03838383838383838,0.04833621933621934,-0.019574194019337993
validation,0.1-0.2,2863,0.1516584140073042,0.16136919315403422,0.15417743625567587,-0.017747803247323803
validation,0.2-0.3,3120,0.2509967227541894,0.25544871794871793,0.26453365384615385,-0.028823790066323452
validation,0.3-0.4,3261,0.34921693344625465,0.3471327813554124,0.36495246856792396,-0.031074388234211475
validation,0.4-0.5,3031,0.44954491550652864,0.4160343121082151,0.4586407126360937,-0.024417473144081738
validation,0.5-0.6,3053,0.5503385090184961,0.5859810022928267,0.5412872584343269,-0.006353269559951278
validation,0.6-0.7,3291,0.6509981007266471,0.6545123062898814,0.6354132482528106,0.00023541461300381221
validation,0.7-0.8,3172,0.7493774447512376,0.7436948297604036,0.7375662042875157,-0.0034914077077787807
validation,0.8-0.9,2840,0.8486222881905127,0.8390845070422536,0.8489066901408451,-0.015476303358783089
validation,0.9-1.0,2403,0.9469201041759832,0.9496462754889721,0.9375509779442364,-0.005784847967171274
test,0.0-0.1,9780,0.041315402369119014,0.02770961145194274,0.04832832310838446,-0.02058797186400982
test,0.1-0.2,6503,0.14949514943417763,0.13439950791942182,0.16875442103644472,-0.03492127375511963
test,0.2-0.3,6742,0.2504280386667166,0.2472560071195491,0.2868184514980718,-0.05233523632586719
test,0.3-0.4,6402,0.35000806245056915,0.3527022805373321,0.38028662917838174,-0.04625716716517595
test,0.4-0.5,6387,0.4499493136623984,0.47205260685767964,0.4618208861750431,-0.028016867643379007
test,0.5-0.6,6384,0.5502495818262654,0.5281954887218046,0.5370739348370928,-0.002898914414336163
test,0.6-0.7,6540,0.650350009708315,0.6469418960244648,0.6198792048929663,0.014524321634920546
test,0.7-0.8,6824,0.7500248010483739,0.7549824150058617,0.7159327373974209,0.018103640438760754
test,0.8-0.9,6513,0.8508324424342895,0.8687240902809765,0.8353132197144173,-0.00014406608712920667
test,0.9-1.0,6375,0.945051354681445,0.9614117647058823,0.9344720784313726,-0.004731547279339388
