split,rows,positive_rate,logloss_model,logloss_market_baseline,logloss_delta_vs_market,brier_model,brier_market_baseline,auc_model,auc_market_baseline,ece_model_10
train,662478,0.48298056690184427,0.49943767723199817,0.5078490319733774,-0.008411354741379218,0.16577291726201232,0.1713227533038833,0.8348665907072064,0.8223753897562662,0.005819339072735003
validation,30499,0.4836879897701564,0.50441819224091,0.5168937076862565,-0.01247551544534653,0.1694888626076007,0.17563906931374798,0.8272273730960289,0.8144720899907664,0.011019705159112261
test,68450,0.476654492330168,0.4672757506043591,0.48780161604584593,-0.020525865441486824,0.15511015324643562,0.16386990887874361,0.8554879752726543,0.837878833026218,0.012107795680198366
