slug,market_url,window_text,first_quote_ts,last_quote_ts,close_ts_utc,quote_count,source_files,target_price,final_price_first,final_price_last,mid_up_open,mid_up_last,mid_up_low,mid_up_high,spread_up_median,spread_down_median,overround_median,can_resolve_outcome,outcome_up,price_move_usd,mid_up_range
btc-updown-5m-1777006800,https://polymarket.com/zh/event/btc-updown-5m-1777006800,13:00-13:05,2026-04-24 05:00:01+00:00,2026-04-24 05:04:56+00:00,2026-04-24 05:00:00+00:00,119,part1_chunk5_btc-updown-5m_quotes.csv,77682.91,77679.25,77684.01,50.5,61.5,40.5,73.5,1.0,1.0,0.0,True,1.0,1.0999999999912689,33.0
btc-updown-5m-1777007100,https://polymarket.com/zh/event/btc-updown-5m-1777007100,13:05-13:10,2026-04-24 05:05:03+00:00,2026-04-24 05:10:00+00:00,2026-04-24 05:05:00+00:00,119,part1_chunk5_btc-updown-5m_quotes.csv,,77684.0,77635.02,50.5,2.5,1.5,50.5,1.0,1.0,0.0,False,,,49.0
btc-updown-5m-1777007400,https://polymarket.com/zh/event/btc-updown-5m-1777007400,13:10-13:15,2026-04-24 05:10:03+00:00,2026-04-24 05:14:59+00:00,2026-04-24 05:10:00+00:00,118,part1_chunk5_btc-updown-5m_quotes.csv,,77635.02,77576.17,54.5,2.5,1.5,54.5,1.0,1.0,0.0,False,,,53.0
btc-updown-5m-1777007700,https://polymarket.com/zh/event/btc-updown-5m-1777007700,13:15-13:20,2026-04-24 05:15:02+00:00,2026-04-24 05:19:59+00:00,2026-04-24 05:15:00+00:00,118,"part1_chunk5_btc-updown-5m_quotes.csv, part1_chunk6_btc-updown-5m_quotes.csv",,77568.46,77530.96,51.0,1.5,1.5,69.5,1.0,1.0,0.0,False,,,68.0
btc-updown-5m-1777008000,https://polymarket.com/zh/event/btc-updown-5m-1777008000,13:20-13:25,2026-04-24 05:20:02+00:00,2026-04-24 05:24:59+00:00,2026-04-24 05:20:00+00:00,118,part1_chunk6_btc-updown-5m_quotes.csv,77530.97,77530.97,77592.99,55.5,98.5,39.5,98.5,1.0,1.0,0.0,True,1.0,62.020000000004075,59.0
btc-updown-5m-1777008300,https://polymarket.com/zh/event/btc-updown-5m-1777008300,13:25-13:30,2026-04-24 05:25:02+00:00,2026-04-24 05:29:58+00:00,2026-04-24 05:25:00+00:00,118,part1_chunk6_btc-updown-5m_quotes.csv,77593.0,77593.0,77654.71,52.5,98.5,44.5,98.5,1.0,1.0,0.0,True,1.0,61.7100000000064,54.0
btc-updown-5m-1777008600,https://polymarket.com/zh/event/btc-updown-5m-1777008600,13:30-13:35,2026-04-24 05:30:01+00:00,2026-04-24 05:35:00+00:00,2026-04-24 05:30:00+00:00,119,part1_chunk6_btc-updown-5m_quotes.csv,77654.71,77676.69,77700.2,52.5,98.5,52.5,98.5,1.0,1.0,0.0,True,1.0,45.48999999999069,46.0
btc-updown-5m-1777008900,https://polymarket.com/zh/event/btc-updown-5m-1777008900,13:35-13:40,2026-04-24 05:35:03+00:00,2026-04-24 05:39:58+00:00,2026-04-24 05:35:00+00:00,117,part1_chunk6_btc-updown-5m_quotes.csv,,77710.85,77739.29,49.5,98.5,15.5,98.5,1.0,1.0,0.0,False,,,83.0
btc-updown-5m-1777009200,https://polymarket.com/zh/event/btc-updown-5m-1777009200,13:40-13:45,2026-04-24 05:40:02+00:00,2026-04-24 05:44:59+00:00,2026-04-24 05:40:00+00:00,117,part1_chunk6_btc-updown-5m_quotes.csv,77741.92,77741.92,77725.88,46.5,1.5,1.5,72.5,1.0,1.0,0.0,True,0.0,-16.039999999993597,71.0
btc-updown-5m-1777009500,https://polymarket.com/zh/event/btc-updown-5m-1777009500,13:45-13:50,2026-04-24 05:45:02+00:00,2026-04-24 05:49:58+00:00,2026-04-24 05:45:00+00:00,116,"part1_chunk6_btc-updown-5m_quotes.csv, part1_chunk7_btc-updown-5m_quotes.csv",77728.65,77731.0,77805.01,48.5,98.5,48.5,98.5,1.0,1.0,0.0,True,1.0,76.36000000000058,50.0
btc-updown-5m-1777009800,https://polymarket.com/zh/event/btc-updown-5m-1777009800,13:50-13:55,2026-04-24 05:50:01+00:00,2026-04-24 05:54:59+00:00,2026-04-24 05:50:00+00:00,118,part1_chunk7_btc-updown-5m_quotes.csv,77813.09,77812.86,77804.67,45.5,45.5,39.5,94.5,1.0,1.0,0.0,True,0.0,-8.419999999998254,55.0
btc-updown-5m-1777010100,https://polymarket.com/zh/event/btc-updown-5m-1777010100,13:55-14:00,2026-04-24 05:55:02+00:00,2026-04-24 05:59:58+00:00,2026-04-24 05:55:00+00:00,119,part1_chunk7_btc-updown-5m_quotes.csv,77803.58,77803.58,77971.83,48.5,99.7,48.5,99.85,1.0,1.0,0.0,True,1.0,168.25,51.349999999999994
btc-updown-5m-1777010400,https://polymarket.com/zh/event/btc-updown-5m-1777010400,14:00-14:05,2026-04-24 06:00:01+00:00,2026-04-24 06:04:58+00:00,2026-04-24 06:00:00+00:00,113,part1_chunk7_btc-updown-5m_quotes.csv,77974.29,77986.6,77952.61,45.5,2.5,2.5,59.5,1.0,1.0,0.0,True,0.0,-21.679999999993015,57.0
btc-updown-5m-1777010700,https://polymarket.com/zh/event/btc-updown-5m-1777010700,14:05-14:10,2026-04-24 06:05:01+00:00,2026-04-24 06:09:58+00:00,2026-04-24 06:05:00+00:00,117,part1_chunk7_btc-updown-5m_quotes.csv,77944.46,77940.0,77958.8,45.5,54.0,18.5,79.5,1.0,1.0,0.0,True,1.0,14.339999999996508,61.0
btc-updown-5m-1777011000,https://polymarket.com/zh/event/btc-updown-5m-1777011000,14:10-14:15,2026-04-24 06:10:01+00:00,2026-04-24 06:14:58+00:00,2026-04-24 06:10:00+00:00,119,part1_chunk7_btc-updown-5m_quotes.csv,77958.8,77958.8,77963.27,49.5,98.5,5.0,98.5,1.0,1.0,0.0,True,1.0,4.470000000001164,93.5
btc-updown-5m-1777011300,https://polymarket.com/zh/event/btc-updown-5m-1777011300,14:15-14:20,2026-04-24 06:15:01+00:00,2026-04-24 06:19:59+00:00,2026-04-24 06:15:00+00:00,117,"part1_chunk7_btc-updown-5m_quotes.csv, part1_chunk8_btc-updown-5m_quotes.csv",77968.38,77968.38,77972.7,47.5,98.5,16.5,98.5,1.0,1.0,0.0,True,1.0,4.319999999992433,82.0
btc-updown-5m-1777011600,https://polymarket.com/zh/event/btc-updown-5m-1777011600,14:20-14:25,2026-04-24 06:20:02+00:00,2026-04-24 06:24:59+00:00,2026-04-24 06:20:00+00:00,118,part1_chunk8_btc-updown-5m_quotes.csv,77986.69,77986.69,77916.0,49.5,1.5,1.5,58.5,1.0,1.0,0.0,True,0.0,-70.69000000000233,57.0
btc-updown-5m-1777011900,https://polymarket.com/zh/event/btc-updown-5m-1777011900,14:25-14:30,2026-04-24 06:25:02+00:00,2026-04-24 06:29:58+00:00,2026-04-24 06:25:00+00:00,117,part1_chunk8_btc-updown-5m_quotes.csv,77906.11,77906.11,77855.95,39.5,1.5,1.5,39.5,1.0,1.0,0.0,True,0.0,-50.16000000000349,38.0
btc-updown-5m-1777012200,https://polymarket.com/zh/event/btc-updown-5m-1777012200,14:30-14:35,2026-04-24 06:30:01+00:00,2026-04-24 06:34:58+00:00,2026-04-24 06:30:00+00:00,117,part1_chunk8_btc-updown-5m_quotes.csv,77855.96,77876.32,77879.01,54.0,42.0,1.5,60.5,1.0,1.0,0.0,True,1.0,23.04999999998836,59.0
btc-updown-5m-1777012500,https://polymarket.com/zh/event/btc-updown-5m-1777012500,14:35-14:40,2026-04-24 06:35:01+00:00,2026-04-24 06:39:59+00:00,2026-04-24 06:35:00+00:00,116,part1_chunk8_btc-updown-5m_quotes.csv,77875.09,77859.6,77853.4,39.5,2.5,2.5,39.5,1.0,1.0,0.0,True,0.0,-21.69000000000233,37.0
btc-updown-5m-1777012800,https://polymarket.com/zh/event/btc-updown-5m-1777012800,14:40-14:45,2026-04-24 06:40:02+00:00,2026-04-24 06:44:57+00:00,2026-04-24 06:40:00+00:00,116,part1_chunk8_btc-updown-5m_quotes.csv,77863.04,77863.04,77835.0,61.5,1.5,1.5,89.5,1.0,1.0,0.0,True,0.0,-28.039999999993597,88.0
btc-updown-5m-1777013100,https://polymarket.com/zh/event/btc-updown-5m-1777013100,14:45-14:50,2026-04-24 06:45:01+00:00,2026-04-24 06:49:58+00:00,2026-04-24 06:45:00+00:00,117,"part1_chunk8_btc-updown-5m_quotes.csv, part1_chunk9_btc-updown-5m_quotes.csv",77834.81,77831.7,77875.09,49.5,89.0,31.5,89.0,1.0,1.0,0.0,True,1.0,40.279999999998836,57.5
btc-updown-5m-1777013400,https://polymarket.com/zh/event/btc-updown-5m-1777013400,14:50-14:55,2026-04-24 06:50:01+00:00,2026-04-24 06:54:58+00:00,2026-04-24 06:50:00+00:00,118,part1_chunk9_btc-updown-5m_quotes.csv,77875.1,77875.1,77893.69,52.5,93.5,43.5,93.5,1.0,1.0,0.0,True,1.0,18.589999999996508,50.0
btc-updown-5m-1777013700,https://polymarket.com/zh/event/btc-updown-5m-1777013700,14:55-15:00,2026-04-24 06:55:01+00:00,2026-04-24 07:00:00+00:00,2026-04-24 06:55:00+00:00,120,part1_chunk9_btc-updown-5m_quotes.csv,77893.7,77893.7,77813.12,49.5,1.5,1.5,53.5,1.0,1.0,0.0,True,0.0,-80.58000000000175,52.0
btc-updown-5m-1777014000,https://polymarket.com/zh/event/btc-updown-5m-1777014000,15:00-15:05,2026-04-24 07:00:03+00:00,2026-04-24 07:05:00+00:00,2026-04-24 07:00:00+00:00,117,part1_chunk9_btc-updown-5m_quotes.csv,,77804.68,77804.98,42.5,3.5,3.5,72.5,1.0,1.0,0.0,False,,,69.0
btc-updown-5m-1777014300,https://polymarket.com/zh/event/btc-updown-5m-1777014300,15:05-15:10,2026-04-24 07:05:03+00:00,2026-04-24 07:09:58+00:00,2026-04-24 07:05:00+00:00,117,part1_chunk9_btc-updown-5m_quotes.csv,,77812.25,77829.16,53.5,98.5,53.5,98.5,1.0,1.0,0.0,False,,,45.0
btc-updown-5m-1777014600,https://polymarket.com/zh/event/btc-updown-5m-1777014600,15:10-15:15,2026-04-24 07:10:01+00:00,2026-04-24 07:15:00+00:00,2026-04-24 07:10:00+00:00,119,part1_chunk9_btc-updown-5m_quotes.csv,77837.9,77841.0,77785.2,50.5,1.5,1.5,70.5,1.0,1.0,0.0,True,0.0,-52.69999999999709,69.0
btc-updown-5m-1777014900,https://polymarket.com/zh/event/btc-updown-5m-1777014900,15:15-15:20,2026-04-24 07:15:03+00:00,2026-04-24 07:19:58+00:00,2026-04-24 07:15:00+00:00,117,"part1_chunk10_btc-updown-5m_quotes.csv, part1_chunk9_btc-updown-5m_quotes.csv",,77785.19,77726.29,49.5,1.5,1.5,62.5,1.0,1.0,0.0,False,,,61.0
btc-updown-5m-1777015200,https://polymarket.com/zh/event/btc-updown-5m-1777015200,15:20-15:25,2026-04-24 07:20:02+00:00,2026-04-24 07:24:58+00:00,2026-04-24 07:20:00+00:00,118,part1_chunk10_btc-updown-5m_quotes.csv,77719.3,77719.3,77683.33,53.5,1.5,1.5,59.5,1.0,1.0,0.0,True,0.0,-35.970000000001164,58.0
btc-updown-5m-1777015500,https://polymarket.com/zh/event/btc-updown-5m-1777015500,15:25-15:30,2026-04-24 07:25:01+00:00,2026-04-24 07:29:58+00:00,2026-04-24 07:25:00+00:00,118,part1_chunk10_btc-updown-5m_quotes.csv,77683.33,77683.33,77737.62,53.5,98.5,32.5,98.5,1.0,1.0,0.0,True,1.0,54.2899999999936,66.0
btc-updown-5m-1777015800,https://polymarket.com/zh/event/btc-updown-5m-1777015800,15:30-15:35,2026-04-24 07:30:01+00:00,2026-04-24 07:34:59+00:00,2026-04-24 07:30:00+00:00,118,part1_chunk10_btc-updown-5m_quotes.csv,77744.89,77744.89,77684.33,50.5,1.5,1.5,61.0,1.0,1.0,0.0,True,0.0,-60.55999999999767,59.5
btc-updown-5m-1777016100,https://polymarket.com/zh/event/btc-updown-5m-1777016100,15:35-15:40,2026-04-24 07:35:02+00:00,2026-04-24 07:39:59+00:00,2026-04-24 07:35:00+00:00,118,part1_chunk10_btc-updown-5m_quotes.csv,77681.06,77681.06,77691.63,50.5,89.5,20.5,89.5,1.0,1.0,0.0,True,1.0,10.570000000006985,69.0
btc-updown-5m-1777016400,https://polymarket.com/zh/event/btc-updown-5m-1777016400,15:40-15:45,2026-04-24 07:40:03+00:00,2026-04-24 07:45:00+00:00,2026-04-24 07:40:00+00:00,118,part1_chunk10_btc-updown-5m_quotes.csv,,77676.0,77678.02,44.5,1.5,1.5,54.5,1.0,1.0,0.0,False,,,53.0
btc-updown-5m-1777016700,https://polymarket.com/zh/event/btc-updown-5m-1777016700,15:45-15:50,2026-04-24 07:45:03+00:00,2026-04-24 07:49:58+00:00,2026-04-24 07:45:00+00:00,111,"part1_chunk10_btc-updown-5m_quotes.csv, part2_chunk1_btc-updown-5m_quotes.csv",,77689.85,77735.61,54.0,98.5,54.0,98.5,1.0,1.0,0.0,False,,,44.5
btc-updown-5m-1777017000,https://polymarket.com/zh/event/btc-updown-5m-1777017000,15:50-15:55,2026-04-24 07:50:01+00:00,2026-04-24 07:54:58+00:00,2026-04-24 07:50:00+00:00,124,part2_chunk1_btc-updown-5m_quotes.csv,77736.55,77736.55,77697.07,48.5,3.0,3.0,69.5,1.0,1.0,0.0,True,0.0,-39.479999999995925,66.5
btc-updown-5m-1777017300,https://polymarket.com/zh/event/btc-updown-5m-1777017300,15:55-16:00,2026-04-24 07:55:07+00:00,2026-04-24 07:59:58+00:00,2026-04-24 07:55:00+00:00,121,part2_chunk1_btc-updown-5m_quotes.csv,,77698.81,77676.96,61.5,15.5,3.5,62.5,1.0,1.0,0.0,False,,,59.0
btc-updown-5m-1777017600,https://polymarket.com/zh/event/btc-updown-5m-1777017600,16:00-16:05,2026-04-24 08:00:01+00:00,2026-04-24 08:05:00+00:00,2026-04-24 08:00:00+00:00,122,part2_chunk1_btc-updown-5m_quotes.csv,77676.96,77676.96,77603.38,50.5,1.5,1.5,66.5,1.0,1.0,0.0,True,0.0,-73.58000000000175,65.0
btc-updown-5m-1777017900,https://polymarket.com/zh/event/btc-updown-5m-1777017900,16:05-16:10,2026-04-24 08:05:02+00:00,2026-04-24 08:09:58+00:00,2026-04-24 08:05:00+00:00,123,part2_chunk1_btc-updown-5m_quotes.csv,,77604.79,77683.67,51.5,99.5,39.5,99.65,1.0,1.0,0.0,False,,,60.150000000000006
btc-updown-5m-1777018200,https://polymarket.com/zh/event/btc-updown-5m-1777018200,16:10-16:15,2026-04-24 08:10:00+00:00,2026-04-24 08:14:58+00:00,2026-04-24 08:10:00+00:00,123,part2_chunk1_btc-updown-5m_quotes.csv,77663.84,77663.84,77713.52,50.5,98.5,33.5,98.5,1.0,1.0,0.0,True,1.0,49.68000000000757,65.0
btc-updown-5m-1777018500,https://polymarket.com/zh/event/btc-updown-5m-1777018500,16:15-16:20,2026-04-24 08:15:01+00:00,2026-04-24 08:19:59+00:00,2026-04-24 08:15:00+00:00,120,"part2_chunk1_btc-updown-5m_quotes.csv, part2_chunk2_btc-updown-5m_quotes.csv",77713.52,77722.88,77858.54,52.5,99.7,52.5,99.85,1.0,1.0,0.0,True,1.0,145.01999999998952,47.349999999999994
btc-updown-5m-1777018800,https://polymarket.com/zh/event/btc-updown-5m-1777018800,16:20-16:25,2026-04-24 08:20:02+00:00,2026-04-24 08:24:59+00:00,2026-04-24 08:20:00+00:00,121,part2_chunk2_btc-updown-5m_quotes.csv,77858.54,77858.54,77942.78,47.5,98.5,28.5,98.5,1.0,1.0,0.0,True,1.0,84.24000000000524,70.0
btc-updown-5m-1777019100,https://polymarket.com/zh/event/btc-updown-5m-1777019100,16:25-16:30,2026-04-24 08:25:01+00:00,2026-04-24 08:29:58+00:00,2026-04-24 08:25:00+00:00,124,part2_chunk2_btc-updown-5m_quotes.csv,77942.78,77942.78,77878.7,45.5,1.5,1.5,45.5,1.0,1.0,0.0,True,0.0,-64.08000000000175,44.0
btc-updown-5m-1777019400,https://polymarket.com/zh/event/btc-updown-5m-1777019400,16:30-16:35,2026-04-24 08:30:01+00:00,2026-04-24 08:35:00+00:00,2026-04-24 08:30:00+00:00,124,part2_chunk2_btc-updown-5m_quotes.csv,77884.25,77884.25,77801.61,48.5,1.5,1.5,49.5,1.0,1.0,0.0,True,0.0,-82.63999999999942,48.0
btc-updown-5m-1777019700,https://polymarket.com/zh/event/btc-updown-5m-1777019700,16:35-16:40,2026-04-24 08:35:02+00:00,2026-04-24 08:39:58+00:00,2026-04-24 08:35:00+00:00,121,part2_chunk2_btc-updown-5m_quotes.csv,,77801.6,77834.58,49.5,98.5,32.5,98.5,1.0,1.0,0.0,False,,,66.0
btc-updown-5m-1777020000,https://polymarket.com/zh/event/btc-updown-5m-1777020000,16:40-16:45,2026-04-24 08:40:01+00:00,2026-04-24 08:44:58+00:00,2026-04-24 08:40:00+00:00,122,part2_chunk2_btc-updown-5m_quotes.csv,77837.28,77837.28,77768.81,50.5,1.5,1.5,62.5,1.0,1.0,0.0,True,0.0,-68.47000000000116,61.0
