slug,market_url,window_text,first_quote_ts,last_quote_ts,close_ts_utc,quote_count,source_files,target_price,final_price_first,final_price_last,mid_up_open,mid_up_last,mid_up_low,mid_up_high,spread_up_median,spread_down_median,overround_median,can_resolve_outcome,outcome_up,price_move_usd,mid_up_range
btc-updown-5m-1776998700,https://polymarket.com/zh/event/btc-updown-5m-1776998700,10:45-10:50,2026-04-24 02:47:14+00:00,2026-04-24 02:49:59+00:00,2026-04-24 02:45:00+00:00,64,part1_chunk1_btc-updown-5m_quotes.csv,,78420.38,78398.0,33.5,0.5,0.5,33.5,1.0,1.0,0.0,False,,,33.0
btc-updown-5m-1776999000,https://polymarket.com/zh/event/btc-updown-5m-1776999000,10:50-10:55,2026-04-24 02:50:02+00:00,2026-04-24 02:54:59+00:00,2026-04-24 02:50:00+00:00,118,part1_chunk1_btc-updown-5m_quotes.csv,78397.56,78389.7,78166.51,49.5,1.5,1.5,57.5,1.0,1.0,0.0,True,0.0,-231.0500000000029,56.0
btc-updown-5m-1776999300,https://polymarket.com/zh/event/btc-updown-5m-1776999300,10:55-11:00,2026-04-24 02:55:02+00:00,2026-04-24 02:59:59+00:00,2026-04-24 02:55:00+00:00,116,part1_chunk1_btc-updown-5m_quotes.csv,78169.52,78172.63,78154.1,56.5,1.5,1.5,57.5,1.0,1.0,0.0,True,0.0,-15.419999999998254,56.0
btc-updown-5m-1776999600,https://polymarket.com/zh/event/btc-updown-5m-1776999600,11:00-11:05,2026-04-24 03:00:02+00:00,2026-04-24 03:05:00+00:00,2026-04-24 03:00:00+00:00,117,part1_chunk1_btc-updown-5m_quotes.csv,78158.83,78162.0,78161.76,59.5,98.5,16.5,98.5,1.0,1.0,0.0,True,1.0,2.929999999993015,82.0
btc-updown-5m-1776999900,https://polymarket.com/zh/event/btc-updown-5m-1776999900,11:05-11:10,2026-04-24 03:05:03+00:00,2026-04-24 03:10:00+00:00,2026-04-24 03:05:00+00:00,114,part1_chunk1_btc-updown-5m_quotes.csv,,78146.01,78162.32,37.5,65.0,11.5,76.5,1.0,1.0,0.0,False,,,65.0
btc-updown-5m-1777000200,https://polymarket.com/zh/event/btc-updown-5m-1777000200,11:10-11:15,2026-04-24 03:10:03+00:00,2026-04-24 03:14:58+00:00,2026-04-24 03:10:00+00:00,116,part1_chunk1_btc-updown-5m_quotes.csv,,78162.32,78157.21,51.5,9.5,9.5,82.5,1.0,1.0,0.0,False,,,73.0
btc-updown-5m-1777000500,https://polymarket.com/zh/event/btc-updown-5m-1777000500,11:15-11:20,2026-04-24 03:15:01+00:00,2026-04-24 03:19:58+00:00,2026-04-24 03:15:00+00:00,116,"part1_chunk1_btc-updown-5m_quotes.csv, part1_chunk2_btc-updown-5m_quotes.csv",78157.21,78157.2,78075.69,50.5,1.5,1.5,51.5,1.0,1.0,0.0,True,0.0,-81.52000000000407,50.0
btc-updown-5m-1777000800,https://polymarket.com/zh/event/btc-updown-5m-1777000800,11:20-11:25,2026-04-24 03:20:01+00:00,2026-04-24 03:24:59+00:00,2026-04-24 03:20:00+00:00,117,part1_chunk2_btc-updown-5m_quotes.csv,78075.68,78075.74,77731.71,52.5,1.5,1.5,52.5,1.0,1.0,0.0,True,0.0,-343.9699999999866,51.0
btc-updown-5m-1777001100,https://polymarket.com/zh/event/btc-updown-5m-1777001100,11:25-11:30,2026-04-24 03:25:02+00:00,2026-04-24 03:29:58+00:00,2026-04-24 03:25:00+00:00,117,part1_chunk2_btc-updown-5m_quotes.csv,77775.9,77775.9,77802.74,67.5,98.5,59.0,98.5,1.0,1.0,0.0,True,1.0,26.84000000001106,39.5
btc-updown-5m-1777001400,https://polymarket.com/zh/event/btc-updown-5m-1777001400,11:30-11:35,2026-04-24 03:30:01+00:00,2026-04-24 03:34:59+00:00,2026-04-24 03:30:00+00:00,117,part1_chunk2_btc-updown-5m_quotes.csv,77780.74,77780.74,77628.72,54.5,0.25,0.15,54.5,1.0,1.0,0.0,True,0.0,-152.02000000000407,54.35
btc-updown-5m-1777001700,https://polymarket.com/zh/event/btc-updown-5m-1777001700,11:35-11:40,2026-04-24 03:35:02+00:00,2026-04-24 03:39:58+00:00,2026-04-24 03:35:00+00:00,117,part1_chunk2_btc-updown-5m_quotes.csv,77631.5,77626.01,77705.38,54.5,98.5,54.5,98.5,1.0,1.0,0.0,True,1.0,73.88000000000466,44.0
btc-updown-5m-1777002000,https://polymarket.com/zh/event/btc-updown-5m-1777002000,11:40-11:45,2026-04-24 03:40:01+00:00,2026-04-24 03:44:59+00:00,2026-04-24 03:40:00+00:00,118,part1_chunk2_btc-updown-5m_quotes.csv,77705.37,77702.63,77669.44,50.5,3.5,1.5,57.5,1.0,1.0,0.0,True,0.0,-35.929999999993015,56.0
btc-updown-5m-1777002300,https://polymarket.com/zh/event/btc-updown-5m-1777002300,11:45-11:50,2026-04-24 03:45:02+00:00,2026-04-24 03:49:58+00:00,2026-04-24 03:45:00+00:00,117,"part1_chunk2_btc-updown-5m_quotes.csv, part1_chunk3_btc-updown-5m_quotes.csv",77669.44,77664.31,77704.76,50.5,98.5,43.5,98.5,1.0,1.0,0.0,True,1.0,35.31999999999243,55.0
btc-updown-5m-1777002600,https://polymarket.com/zh/event/btc-updown-5m-1777002600,11:50-11:55,2026-04-24 03:50:01+00:00,2026-04-24 03:54:59+00:00,2026-04-24 03:50:00+00:00,118,part1_chunk3_btc-updown-5m_quotes.csv,77707.74,77707.73,77749.43,52.5,98.5,42.5,98.5,1.0,1.0,0.0,True,1.0,41.689999999987776,56.0
btc-updown-5m-1777002900,https://polymarket.com/zh/event/btc-updown-5m-1777002900,11:55-12:00,2026-04-24 03:55:03+00:00,2026-04-24 03:59:59+00:00,2026-04-24 03:55:00+00:00,116,part1_chunk3_btc-updown-5m_quotes.csv,,77749.41,77755.4,51.5,98.5,33.5,98.5,1.0,1.0,0.0,False,,,65.0
btc-updown-5m-1777003200,https://polymarket.com/zh/event/btc-updown-5m-1777003200,12:00-12:05,2026-04-24 04:00:02+00:00,2026-04-24 04:05:00+00:00,2026-04-24 04:00:00+00:00,119,part1_chunk3_btc-updown-5m_quotes.csv,77754.2,77751.11,77709.92,50.5,1.5,1.5,50.5,1.0,1.0,0.0,True,0.0,-44.279999999998836,49.0
btc-updown-5m-1777003500,https://polymarket.com/zh/event/btc-updown-5m-1777003500,12:05-12:10,2026-04-24 04:05:03+00:00,2026-04-24 04:09:58+00:00,2026-04-24 04:05:00+00:00,117,part1_chunk3_btc-updown-5m_quotes.csv,,77721.99,77713.7,62.5,44.5,26.0,82.5,1.0,1.0,0.0,False,,,56.5
btc-updown-5m-1777003800,https://polymarket.com/zh/event/btc-updown-5m-1777003800,12:10-12:15,2026-04-24 04:10:01+00:00,2026-04-24 04:15:00+00:00,2026-04-24 04:10:00+00:00,120,part1_chunk3_btc-updown-5m_quotes.csv,77707.7,77707.7,77750.03,61.5,98.5,51.5,98.5,1.0,1.0,0.0,True,1.0,42.330000000001746,47.0
btc-updown-5m-1777004100,https://polymarket.com/zh/event/btc-updown-5m-1777004100,12:15-12:20,2026-04-24 04:15:03+00:00,2026-04-24 04:19:59+00:00,2026-04-24 04:15:00+00:00,117,"part1_chunk3_btc-updown-5m_quotes.csv, part1_chunk4_btc-updown-5m_quotes.csv",,77748.85,77775.28,60.5,96.5,25.5,96.5,1.0,1.0,0.0,False,,,71.0
btc-updown-5m-1777004400,https://polymarket.com/zh/event/btc-updown-5m-1777004400,12:20-12:25,2026-04-24 04:20:02+00:00,2026-04-24 04:24:58+00:00,2026-04-24 04:20:00+00:00,117,part1_chunk4_btc-updown-5m_quotes.csv,,77770.89,77855.01,60.5,98.5,60.5,98.5,1.0,1.0,0.0,False,,,38.0
btc-updown-5m-1777004700,https://polymarket.com/zh/event/btc-updown-5m-1777004700,12:25-12:30,2026-04-24 04:25:01+00:00,2026-04-24 04:29:58+00:00,2026-04-24 04:25:00+00:00,117,part1_chunk4_btc-updown-5m_quotes.csv,77847.2,77841.01,77635.0,50.5,1.5,1.5,50.5,1.0,1.0,0.0,True,0.0,-212.1999999999971,49.0
btc-updown-5m-1777005000,https://polymarket.com/zh/event/btc-updown-5m-1777005000,12:30-12:35,2026-04-24 04:30:01+00:00,2026-04-24 04:34:58+00:00,2026-04-24 04:30:00+00:00,117,part1_chunk4_btc-updown-5m_quotes.csv,77632.01,77632.01,77642.6,51.5,47.5,14.5,76.5,1.0,1.0,0.0,True,1.0,10.59000000001106,62.0
btc-updown-5m-1777005300,https://polymarket.com/zh/event/btc-updown-5m-1777005300,12:35-12:40,2026-04-24 04:35:01+00:00,2026-04-24 04:39:59+00:00,2026-04-24 04:35:00+00:00,117,part1_chunk4_btc-updown-5m_quotes.csv,77615.99,77615.99,77592.37,55.5,9.5,1.5,91.5,1.0,1.0,0.0,True,0.0,-23.620000000009895,90.0
btc-updown-5m-1777005600,https://polymarket.com/zh/event/btc-updown-5m-1777005600,12:40-12:45,2026-04-24 04:40:02+00:00,2026-04-24 04:44:59+00:00,2026-04-24 04:40:00+00:00,116,part1_chunk4_btc-updown-5m_quotes.csv,,77575.08,77655.0,53.5,98.5,42.5,98.5,1.0,1.0,0.0,False,,,56.0
btc-updown-5m-1777005900,https://polymarket.com/zh/event/btc-updown-5m-1777005900,12:45-12:50,2026-04-24 04:45:02+00:00,2026-04-24 04:50:00+00:00,2026-04-24 04:45:00+00:00,118,"part1_chunk4_btc-updown-5m_quotes.csv, part1_chunk5_btc-updown-5m_quotes.csv",77664.29,77673.98,77743.79,60.5,98.5,28.5,98.5,1.0,1.0,0.0,True,1.0,79.5,70.0
btc-updown-5m-1777006200,https://polymarket.com/zh/event/btc-updown-5m-1777006200,12:50-12:55,2026-04-24 04:50:03+00:00,2026-04-24 04:54:59+00:00,2026-04-24 04:50:00+00:00,117,part1_chunk5_btc-updown-5m_quotes.csv,,77754.19,77696.96,61.5,8.5,1.5,61.5,1.0,1.0,0.0,False,,,60.0
btc-updown-5m-1777006500,https://polymarket.com/zh/event/btc-updown-5m-1777006500,12:55-13:00,2026-04-24 04:55:02+00:00,2026-04-24 04:59:58+00:00,2026-04-24 04:55:00+00:00,118,part1_chunk5_btc-updown-5m_quotes.csv,77695.32,77695.32,77682.91,47.5,3.5,3.5,64.5,1.0,1.0,0.0,True,0.0,-12.410000000003492,61.0
