strategy,entry_name,family,prior_label,mode,exit_policy,exit_mode,trades,ending_bankroll,total_return,win_rate,profit_factor,max_drawdown,avg_cost,first_trade_ts,last_trade_ts,take_profit_exits,stop_exits,trail_exits,settle_exits,worst_48_return,median_48_return,positive_48_rate,active_48_rate,num_48_windows,worst_144_return,median_144_return,positive_144_rate,active_144_rate,num_144_windows,worst_864_return,median_864_return,positive_864_rate,active_864_rate,num_864_windows,research_score
v1_conservative_mix__tp08_sl04_buf5s,v1_conservative_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,tp08_sl04_buf5s,intraday,115,79.5802292781876,-0.20419770721812402,0.41739130434782606,0.7197409491254182,0.26382929151503015,6.214476288125155,2026-05-04T02:05:02+00:00,2026-06-02T12:45:01+00:00,47,67,0,1,-0.06552443622309523,0.0,0.23561090541905083,0.5747223157186132,5942,-0.08979224595454838,-0.00521739130434784,0.32637700992131374,0.8992473486144372,5846,-0.14442742580283963,-0.04163690063456843,0.37475614514241123,1.0,5126,0.6177927979531828
v1_conservative_mix__tp06_sl03_buf3s,v1_conservative_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,tp06_sl03_buf3s,intraday,115,78.07412633261765,-0.21925873667382345,0.4,0.6259938691981933,0.25162730479977546,6.10349133076491,2026-05-04T02:05:02+00:00,2026-06-02T12:45:01+00:00,45,69,0,1,-0.044848484848484915,0.0,0.22332547963648602,0.5861662739818243,5942,-0.07576085343927852,-0.00783273615023472,0.28053369825521723,0.9180636332535067,5846,-0.1541356389012275,-0.0233725926197077,0.2298088177916504,1.0,5126,0.6143525413373047
v1_conservative_mix__tp05_sl03_buf5s,v1_conservative_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,tp05_sl03_buf5s,intraday,115,76.54007052441938,-0.2345992947558062,0.45217391304347826,0.6245659951814468,0.2721365328974098,6.120839272331278,2026-05-04T02:05:02+00:00,2026-06-02T12:45:01+00:00,51,63,0,1,-0.06303030303030299,0.0,0.23426455738808483,0.584988219454729,5942,-0.09335423820883537,-0.005555555555555536,0.3297981525829627,0.9168662333219295,5846,-0.1576687809976265,-0.030409108752057046,0.24795161919625439,1.0,5126,0.5823824798564173
v1_conservative_mix__tp04_sl02_buf3s,v1_conservative_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,tp04_sl02_buf3s,intraday,114,73.53501137726482,-0.26464988622735175,0.37719298245614036,0.507133278214917,0.2831165491690842,5.838503647976131,2026-05-04T02:05:02+00:00,2026-06-02T12:45:01+00:00,42,71,0,1,-0.044848484848484804,0.0,0.20077415011780544,0.5851565129585998,5942,-0.06640146967663818,-0.007465746281499652,0.28327061238453644,0.9168662333219295,5846,-0.14974526325524185,-0.03111852275006266,0.07101053452984783,1.0,5126,0.5628052086913353
v1_conservative_mix__tp12_sl06_buf5s,v1_conservative_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,tp12_sl06_buf5s,intraday,117,66.0821869010572,-0.33917813098942806,0.41025641025641024,0.602721553795862,0.4149346790150247,5.1727334090255646,2026-05-04T02:05:02+00:00,2026-06-02T12:55:02+00:00,42,69,0,6,-0.07808623852423868,0.0,0.20750589027263547,0.5659710535173342,5942,-0.11671236154976994,-0.008955223880596996,0.2673622990078686,0.8889839206294903,5846,-0.22912572433404488,-0.06351936623770871,0.3595396020288724,1.0,5126,0.47940963073280635
v1_conservative_mix__trail08_gap03_buf5s,v1_conservative_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,trail08_gap03_buf5s,intraday,116,65.5454507358842,-0.34454549264115797,0.3793103448275862,0.517779890514389,0.37834177466632324,5.425393407987233,2026-05-04T02:05:02+00:00,2026-06-02T12:45:01+00:00,0,66,40,10,-0.07108004135570067,0.0,0.18226186469202288,0.5696735106024907,5942,-0.08435981227950218,-0.008769634230503809,0.24290112897707836,0.8872733492986657,5846,-0.17259602182279732,-0.07286901558866099,0.2543893874365977,1.0,5126,0.4912578760453661
v1_conservative_mix__settle,v1_conservative_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,settle,settle,116,56.718570670451406,-0.43281429329548593,0.6379310344827587,0.7949609840243179,0.5927405889456403,4.920363037582399,2026-05-04T02:05:02+00:00,2026-06-02T12:55:02+00:00,0,0,0,116,-0.17211978499759262,0.0,0.30090878492090206,0.5647929989902389,5942,-0.27155049401508036,0.0,0.4156688333903524,0.8862470065001711,5846,-0.43454637840402677,-0.04844596366529663,0.43776824034334766,1.0,5126,0.4079986252720816
v1_balanced_mix__tp06_sl03_buf3s,v1_balanced_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,tp06_sl03_buf3s,intraday,115,75.42816514431483,-0.2457183485568517,0.41739130434782606,0.6573962221838133,0.28537065307162757,7.722822734388875,2026-05-04T02:05:02+00:00,2026-06-02T12:45:01+00:00,47,67,0,1,-0.05606060606060603,0.0,0.2182766745203635,0.5797711208347358,5942,-0.09512871017699953,-0.0071641791044776415,0.27745466985973316,0.9091686623332192,5846,-0.17852249207377202,-0.023729872759928328,0.33437378072571206,1.0,5126,0.5824370871042883
v1_balanced_mix__tp08_sl04_buf5s,v1_balanced_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,tp08_sl04_buf5s,intraday,115,74.08618018066109,-0.2591381981933891,0.43478260869565216,0.7155077504517015,0.33039185489096484,7.630800604565893,2026-05-04T02:05:02+00:00,2026-06-02T12:45:01+00:00,49,65,0,1,-0.0870043908957232,0.0,0.24032312352743185,0.5683271625715247,5942,-0.11229669471496884,-0.0071641791044776415,0.308587068080739,0.8903523776941499,5846,-0.1790789396028868,-0.061885915942820335,0.38236441669918064,1.0,5126,0.5630748081108947
v1_balanced_mix__tp04_sl02_buf3s,v1_balanced_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,tp04_sl02_buf3s,intraday,114,69.41739954520958,-0.3058260045479042,0.39473684210526316,0.5297823053498012,0.3274908784716576,7.275466352935658,2026-05-04T02:05:02+00:00,2026-06-02T12:45:01+00:00,44,69,0,1,-0.05606060606060603,0.0,0.20043756311006394,0.5812857623695725,5942,-0.0828592689590606,-0.00927536231884063,0.26907287033869315,0.9091686623332192,5846,-0.17364935444411478,-0.03872259190741878,0.185524775653531,1.0,5126,0.5305097949364188
v1_balanced_mix__tp05_sl03_buf5s,v1_balanced_mix,previous_v1_mix,prior_mixed_candidate,full_refresh,tp05_sl03_buf5s,intraday,115,68.91254228678345,-0.3108745771321655,0.45217391304347826,0.6038843227290197,0.35350604267139235,7.456685386277413,2026-05-04T02:05:02+00:00,2026-06-02T12:45:01+00:00,51,63,0,1,-0.07878787878787874,0.0,0.2285425782564793,0.5797711208347358,5942,-0.11691533834288259,-0.00666666666666671,0.31474512487170714,0.9091686623332192,5846,-0.19342206272698348,-0.03858967844485395,0.22083495903238393,1.0,5126,0.5102852560430748
