strategy,entry_name,family,exit_policy,first_quote_ts,first_quote_cst,run_name,slug,market_id,session_et,component,side,entry_minute,entry_ts,exit_ts,exit_reason,fraction,target_cost,entry_price,exit_price,pnl_usd,event_ret,bankroll_after,skipped_exit_liquidity_quotes
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-04T02:05:02+00:00,2026-05-04T10:05:02+08:00,25247789591_attempt1,btc-updown-5m-1777860300,25247789591_attempt1::btc-updown-5m-1777860300,asia,asia_breakout,buy_up,4,2026-05-04T02:09:01+00:00,2026-05-04T02:09:08+00:00,take_profit,0.09020650000000147,9.020650000000147,0.59,0.83,3.516524576271244,0.03516524576271244,103.51652457627124,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-04T07:10:01+00:00,2026-05-04T15:10:01+08:00,25274678535_attempt1,btc-updown-5m-1777878600,25274678535_attempt1::btc-updown-5m-1777878600,london,london_milddrop,buy_down,2,2026-05-04T07:11:59+00:00,2026-05-04T07:12:04+00:00,stop,0.07974140301859142,8.254552905320368,0.74,0.7,-0.5577400611702955,-0.005387932636391315,102.95878451510094,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-04T09:55:01+00:00,2026-05-04T17:55:01+08:00,25274678535_attempt1,btc-updown-5m-1777888500,25274678535_attempt1::btc-updown-5m-1777888500,london,london_milddrop,buy_down,2,2026-05-04T09:56:59+00:00,2026-05-04T09:57:25+00:00,take_profit,0.08097724518924615,8.33731873806609,0.71,0.86,1.6439783427172574,0.01596734412182319,104.6027628578182,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-04T13:25:00+00:00,2026-05-04T21:25:00+08:00,25274678535_attempt1,btc-updown-5m-1777901100,25274678535_attempt1::btc-updown-5m-1777901100,london,london_milddrop,buy_down,2,2026-05-04T13:27:00+00:00,2026-05-04T13:28:03+00:00,take_profit,0.08116402518281679,8.48998127878417,0.45,0.58,2.2639950076757778,0.021643740048751137,106.86675786549398,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-04T16:00:00+00:00,2026-05-05T00:00:00+08:00,25274678535_attempt1,btc-updown-5m-1777910400,25274678535_attempt1::btc-updown-5m-1777910400,us_afternoon,us_afternoon_milddrop,buy_down,2,2026-05-04T16:01:59+00:00,2026-05-04T16:02:20+00:00,take_profit,0.09474425589953006,10.125011454361479,0.61,0.71,1.4938541490041524,0.01397866070648804,108.36061201449813,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-04T16:40:02+00:00,2026-05-05T00:40:02+08:00,25274678535_attempt1,btc-updown-5m-1777912800,25274678535_attempt1::btc-updown-5m-1777912800,us_afternoon,us_afternoon_milddrop,buy_down,2,2026-05-04T16:42:02+00:00,2026-05-04T16:42:11+00:00,stop,0.09450249198932079,10.240347868858008,0.59,0.51,-1.562086963046136,-0.014415634371252317,106.79852505145199,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-04T18:30:00+00:00,2026-05-05T02:30:00+08:00,25274678535_attempt1,btc-updown-5m-1777919400,25274678535_attempt1::btc-updown-5m-1777919400,us_afternoon,us_afternoon_milddrop,buy_down,2,2026-05-04T18:31:59+00:00,2026-05-04T18:32:05+00:00,stop,0.09264811931515882,9.894682491649903,0.61,0.46,-2.5953265551868596,-0.024301146049877723,104.20319849626513,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-05T01:40:00+00:00,2026-05-05T09:40:00+08:00,25274678535_attempt1,btc-updown-5m-1777945200,25274678535_attempt1::btc-updown-5m-1777945200,asia,asia_breakout,buy_up,4,2026-05-05T01:44:00+00:00,2026-05-05T01:44:16+00:00,stop,0.09493424999999674,9.892452496843719,0.86,0.82,-0.575142587025798,-0.005519433139534699,103.62805590923934,1
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-05T08:20:02+00:00,2026-05-05T16:20:02+08:00,25311264469_attempt1,btc-updown-5m-1777969200,25311264469_attempt1::btc-updown-5m-1777969200,london,london_milddrop,buy_down,2,2026-05-05T08:22:02+00:00,2026-05-05T08:22:10+00:00,stop,0.08113184169546639,8.407535027237346,0.6,0.35,-3.6432651784695165,-0.035157131401368766,99.98479073076982,1
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-05T10:35:01+00:00,2026-05-05T18:35:01+08:00,25311264469_attempt1,btc-updown-5m-1777977300,25311264469_attempt1::btc-updown-5m-1777977300,london,london_milddrop,buy_down,2,2026-05-05T10:37:00+00:00,2026-05-05T10:37:10+00:00,take_profit,0.0847379164603842,8.472502844252968,0.75,0.85,1.016700341310356,0.0101685499752461,101.00149107208017,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-05T11:55:00+00:00,2026-05-05T19:55:00+08:00,25311264469_attempt1,btc-updown-5m-1777982100,25311264469_attempt1::btc-updown-5m-1777982100,london,london_milddrop,buy_down,2,2026-05-05T11:56:59+00:00,2026-05-05T11:57:07+00:00,stop,0.07943169598523478,8.022719732892877,0.55,0.46,-1.4586763150714326,-0.014442126542769964,99.54281475700874,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-05T16:40:01+00:00,2026-05-06T00:40:01+08:00,25311264469_attempt1,btc-updown-5m-1777999200,25311264469_attempt1::btc-updown-5m-1777999200,us_afternoon,us_afternoon_milddrop,buy_down,2,2026-05-05T16:42:00+00:00,2026-05-05T16:42:10+00:00,stop,0.09440621417529084,9.397460289561469,0.6,0.4,-3.2891111013465135,-0.03304217496135179,96.25370365566224,2
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-05T19:00:02+00:00,2026-05-06T03:00:02+08:00,25311264469_attempt1,btc-updown-5m-1778007600,25311264469_attempt1::btc-updown-5m-1778007600,us_afternoon,us_afternoon_milddrop,buy_down,2,2026-05-05T19:02:02+00:00,2026-05-05T19:03:09+00:00,take_profit,0.09415043652252475,9.062328216090336,0.72,0.84,1.3845223663471347,0.01438409446871906,97.63822602200938,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-05T19:10:01+00:00,2026-05-06T03:10:01+08:00,25311264469_attempt1,btc-updown-5m-1778008200,25311264469_attempt1::btc-updown-5m-1778008200,us_afternoon,us_afternoon_milddrop,buy_down,2,2026-05-05T19:12:01+00:00,2026-05-05T19:12:07+00:00,stop,0.09464537981597138,9.241006986410737,0.76,0.65,-1.4591063662753792,-0.014944007339363897,96.179119655734,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-06T00:05:01+00:00,2026-05-06T08:05:01+08:00,25311264469_attempt1,btc-updown-5m-1778025900,25311264469_attempt1::btc-updown-5m-1778025900,asia,asia_breakout,buy_up,4,2026-05-06T00:08:59+00:00,2026-05-06T00:09:50+00:00,take_profit,0.09496250000000146,9.133409650307781,0.84,0.94,0.9785796053901192,0.010174553571428727,97.15769926112412,3
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-06T03:10:01+00:00,2026-05-06T11:10:01+08:00,25311264469_attempt1,btc-updown-5m-1778037000,25311264469_attempt1::btc-updown-5m-1778037000,asia,asia_breakout,buy_up,4,2026-05-06T03:14:00+00:00,2026-05-06T03:14:08+00:00,take_profit,0.09810625000000073,9.53177753313673,0.68,0.9,2.943637179351048,0.03029751838235316,100.10133644047517,1
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-06T04:35:00+00:00,2026-05-06T12:35:00+08:00,25311264469_attempt1,btc-updown-5m-1778042100,25311264469_attempt1::btc-updown-5m-1778042100,asia,asia_breakout,buy_up,4,2026-05-06T04:39:00+00:00,2026-05-06T04:39:13+00:00,take_profit,0.094268749999992,9.436427859572243,0.62,0.73,1.522004493479394,0.015204637096772902,101.62334093395457,3
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-06T08:25:01+00:00,2026-05-06T16:25:01+08:00,25367630341_attempt1,btc-updown-5m-1778055900,25367630341_attempt1::btc-updown-5m-1778055900,london,london_milddrop,buy_down,2,2026-05-06T08:27:01+00:00,2026-05-06T08:27:29+00:00,stop,0.08429752146188507,8.566595763408499,0.69,0.64,-0.744921370731173,-0.007330219257555216,100.87841956322339,1
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-07T12:20:01+00:00,2026-05-07T20:20:01+08:00,25427145257_attempt1,btc-updown-5m-1778156400,25427145257_attempt1::btc-updown-5m-1778156400,london,london_milddrop,buy_down,2,2026-05-07T12:22:00+00:00,2026-05-07T12:22:06+00:00,stop,0.08465276524644028,8.539637169717457,0.66,0.57,-1.293884419654161,-0.012826176552490959,99.58453514356923,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-07T16:30:02+00:00,2026-05-08T00:30:02+08:00,25427145257_attempt1,btc-updown-5m-1778171400,25427145257_attempt1::btc-updown-5m-1778171400,us_afternoon,us_afternoon_milddrop,buy_down,2,2026-05-07T16:31:58+00:00,2026-05-07T16:32:04+00:00,stop,0.09442812408971406,9.403580841953445,0.7,0.64,-0.9403580841953437,-0.009442812408971397,98.64417705937389,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-08T03:20:01+00:00,2026-05-08T11:20:01+08:00,25427145257_attempt1,btc-updown-5m-1778210400,25427145257_attempt1::btc-updown-5m-1778210400,asia,asia_breakout,buy_up,4,2026-05-08T03:24:01+00:00,2026-05-08T03:24:07+00:00,stop,0.09712500000000546,9.580815696892227,0.51,0.47,-0.9392956565580622,-0.009522058823529954,97.70488140281583,0
v1_adaptive_mix__tp08_sl04_buf5s,v1_adaptive_mix,previous_v1_mix,tp08_sl04_buf5s,2026-05-08T08:50:00+00:00,2026-05-08T16:50:00+08:00,25487949887_attempt1,btc-updown-5m-1778230200,25487949887_attempt1::btc-updown-5m-1778230200,london,london_milddrop,buy_down,2,2026-05-08T08:51:58+00:00,2026-05-08T08:52:29+00:00,take_profit,0.08373328926183071,8.181151096794842,0.68,0.8,1.3234215009521069,0.013545090910002028,99.02830290376794,0
