strategy,entry_name,family,prior_label,mode,exit_policy,exit_mode,trades,ending_bankroll,total_return,win_rate,profit_factor,max_drawdown,avg_cost,first_trade_ts,last_trade_ts,take_profit_exits,stop_exits,trail_exits,settle_exits,worst_48_return,median_48_return,positive_48_rate,active_48_rate,num_48_windows,worst_144_return,median_144_return,positive_144_rate,active_144_rate,num_144_windows,worst_864_return,median_864_return,positive_864_rate,active_864_rate,num_864_windows,research_score
session_breakout_london_fixed_10pct__tp06_sl03_buf3s,session_breakout_london_fixed_10pct,session_single,,robust,tp06_sl03_buf3s,intraday,52,123.34526301911009,0.23345263019110085,0.6346153846153846,1.8234392530152297,0.04300120075840991,10.610760539052869,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,31,19,0,2,-0.026000000000000023,0.0,0.18512285425782565,0.282059912487378,5942,-0.026000000000000023,0.0,0.42559014710913445,0.6414642490591858,5846,-0.04195290848030897,0.008184275765380056,0.6170503316426064,1.0,5126,0.9157093214190247
session_breakout_london_fixed_12pct__tp04_sl02_buf3s,session_breakout_london_fixed_12pct,session_single,,robust,tp04_sl02_buf3s,intraday,52,121.22569349172866,0.2122569349172867,0.6346153846153846,1.7747481978232356,0.04149606686525871,12.228338038607612,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,31,19,0,2,-0.031200000000000006,0.0,0.1736788959946146,0.282059912487378,5942,-0.031200000000000006,0.0,0.379746835443038,0.6414642490591858,5846,-0.03441797400725577,0.004610694397124027,0.6033944596176356,1.0,5126,0.9088047504486959
session_breakout_london_fixed_12pct__tp06_sl03_buf3s,session_breakout_london_fixed_12pct,session_single,,robust,tp06_sl03_buf3s,intraday,52,125.3993078296683,0.25399307829668305,0.6346153846153846,1.7319583273197598,0.0585963844209726,12.612279850882382,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,31,19,0,2,-0.03540383928056723,0.0,0.18343991921911815,0.282059912487378,5942,-0.03540383928056723,0.0,0.4074580910023948,0.6414642490591858,5846,-0.057482661652995315,0.009973873712266546,0.6529457666796723,1.0,5126,0.896683850765647
session_breakout_london_fixed_4pct__trail08_gap03_buf5s,session_breakout_london_fixed_4pct,session_single,,robust,trail08_gap03_buf5s,intraday,51,112.31930548547126,0.12319305485471266,0.49019607843137253,1.580056291580661,0.040921186677911586,4.124318647258699,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,0,24,13,14,-0.034222222222222265,0.0,0.139683608212723,0.282059912487378,5942,-0.034222222222222265,0.0,0.3108108108108108,0.6414642490591858,5846,-0.03548352003133559,0.0076321077229484224,0.7243464689816621,1.0,5126,0.8943743078626799
session_breakout_london_fixed_10pct__tp05_sl03_buf5s,session_breakout_london_fixed_10pct,session_single,,robust,tp05_sl03_buf5s,intraday,52,117.64536024653144,0.1764536024653145,0.6346153846153846,1.5761638575831614,0.06981570819189176,10.425512453936431,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,31,19,0,2,-0.03204048458765396,0.0,0.17283742847526085,0.282059912487378,5942,-0.03204048458765396,0.0,0.38111529250769755,0.6414642490591858,5846,-0.05029131729280645,0.006147445257926876,0.5901287553648069,1.0,5126,0.8904964295261006
session_breakout_us_afternoon_fixed_4pct__trail08_gap03_buf5s,session_breakout_us_afternoon_fixed_4pct,session_single,,robust,trail08_gap03_buf5s,intraday,33,106.74952002481008,0.06749520024810085,0.696969696969697,1.9131793900194385,0.034984359858572685,4.25182262471618,2026-05-04T17:10:00+00:00,2026-06-01T17:35:01+00:00,0,8,12,13,-0.016174055158324818,0.0,0.08919555705149781,0.14321777179400874,5942,-0.016174055158324818,0.0,0.23845364351693465,0.37547040711597673,5846,-0.021558731034482803,0.0055172413793103114,0.6320717908700741,1.0,5126,0.8856654064994081
session_breakout_us_afternoon_fixed_6pct__trail08_gap03_buf5s,session_breakout_us_afternoon_fixed_6pct,session_single,,robust,trail08_gap03_buf5s,intraday,33,110.16744931413923,0.10167449314139243,0.696969696969697,1.900315549132664,0.05220629631558633,6.5036794865211,2026-05-04T17:10:00+00:00,2026-06-01T17:35:01+00:00,0,8,12,13,-0.022217160367722144,0.0,0.08919555705149781,0.14321777179400874,5942,-0.022217160367722144,0.0,0.23845364351693465,0.37547040711597673,5846,-0.03231060229885052,0.008275862068965578,0.6320717908700741,1.0,5126,0.8753835872761294
session_breakout_london_fixed_4pct__tp08_sl04_buf5s,session_breakout_london_fixed_4pct,session_single,,robust,tp08_sl04_buf5s,intraday,52,103.19459379158695,0.03194593791586953,0.5576923076923077,1.1827238100495745,0.034222222222222196,3.9178199034847627,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,27,23,0,2,-0.034222222222222265,0.0,0.15483002356109055,0.282059912487378,5942,-0.034222222222222265,0.0,0.3463906944919603,0.6414642490591858,5846,-0.02302805826472598,0.0026047402266320407,0.5136558720249708,1.0,5126,0.8746091572154122
session_breakout_london_fixed_12pct__tp05_sl03_buf5s,session_breakout_london_fixed_12pct,session_single,,robust,tp05_sl03_buf5s,intraday,52,119.00245352398572,0.1900245352398573,0.6346153846153846,1.5108586044779964,0.0888422595008684,12.368192711997146,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,31,19,0,2,-0.04474716106832699,0.0,0.17317401548300235,0.282059912487378,5942,-0.04474716106832699,0.0,0.3814574067738625,0.6414642490591858,5846,-0.06755560830730722,0.008566514796964686,0.6400702301989856,1.0,5126,0.8650670179860236
session_breakout_london_fixed_6pct__trail08_gap03_buf5s,session_breakout_london_fixed_6pct,session_single,,robust,trail08_gap03_buf5s,intraday,51,118.22694301623446,0.18226943016234465,0.49019607843137253,1.5601596883206577,0.0612444566220353,6.29052621878432,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,0,24,13,14,-0.05133333333333334,0.0,0.138337260181757,0.282059912487378,5942,-0.05133333333333334,0.0,0.3094423537461512,0.6414642490591858,5846,-0.05290413862455434,0.010982333813829293,0.721225126804526,1.0,5126,0.8646809485622637
session_breakout_london_fixed_4pct__tp12_sl06_buf5s,session_breakout_london_fixed_4pct,session_single,,robust,tp12_sl06_buf5s,intraday,52,104.10859851241932,0.04108598512419315,0.5,1.1839583301508105,0.045975259033011515,3.941986728695945,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,22,26,0,4,-0.039595257904761816,0.0,0.14776169639851902,0.282059912487378,5942,-0.039595257904761816,0.0,0.34519329456038317,0.6414642490591858,5846,-0.029143047083038165,0.00014697835096577627,0.5148263753413967,1.0,5126,0.8639385954863099
session_breakout_us_afternoon_fixed_4pct__tp08_sl04_buf5s,session_breakout_us_afternoon_fixed_4pct,session_single,,robust,tp08_sl04_buf5s,intraday,34,103.41203476125021,0.034120347612502044,0.7058823529411765,1.4515408751640917,0.035866861587096906,4.174384165362966,2026-05-04T17:10:00+00:00,2026-06-01T17:35:01+00:00,24,10,0,0,-0.022732894790602698,0.0,0.1011443958263211,0.14321777179400874,5942,-0.022732894790602698,0.0,0.26702018474170375,0.37547040711597673,5846,-0.022453510429970125,0.0056382853279242084,0.629730784237222,1.0,5126,0.8636468476725092
session_breakout_us_afternoon_fixed_4pct__tp06_sl03_buf3s,session_breakout_us_afternoon_fixed_4pct,session_single,,robust,tp06_sl03_buf3s,intraday,33,101.89440936033807,0.018944093603380674,0.7575757575757576,1.2926851470037686,0.039482995006785586,4.132989040739417,2026-05-04T17:10:00+00:00,2026-06-01T16:50:00+00:00,25,8,0,0,-0.015049759229534554,0.0,0.09323460114439583,0.14187142376304274,5942,-0.015049759229534554,0.0,0.24255901471091346,0.37410195005131713,5846,-0.028716966198382265,0.0034567901234567877,0.5827155676941085,1.0,5126,0.8629988162065148
session_breakout_us_afternoon_fixed_8pct__trail08_gap03_buf5s,session_breakout_us_afternoon_fixed_8pct,session_single,,robust,trail08_gap03_buf5s,intraday,33,112.5248430650413,0.1252484306504129,0.696969696969697,1.7905549827473695,0.06924822221815251,8.743717161639863,2026-05-04T17:10:00+00:00,2026-06-01T17:35:01+00:00,0,8,12,13,-0.032249233912155284,0.0,0.08919555705149781,0.14321777179400874,5942,-0.032249233912155284,0.0,0.23845364351693465,0.37547040711597673,5846,-0.04304313052362707,0.011034482758620623,0.5967616074912212,1.0,5126,0.8598090655668843
session_breakout_us_afternoon_fixed_4pct__tp05_sl03_buf5s,session_breakout_us_afternoon_fixed_4pct,session_single,,robust,tp05_sl03_buf5s,intraday,34,101.66886861627668,0.016688686162766864,0.7647058823529411,1.2423169198936006,0.038514366772670075,4.128356999594758,2026-05-04T17:10:00+00:00,2026-06-01T17:35:01+00:00,26,8,0,0,-0.01961348314606748,0.0,0.09895658027600135,0.14321777179400874,5942,-0.01961348314606748,0.0,0.2647964420116319,0.37547040711597673,5846,-0.025137848616432534,0.0034567901234567877,0.6199765899336714,1.0,5126,0.8588395005155228
session_breakout_us_afternoon_fixed_4pct__tp04_sl02_buf3s,session_breakout_us_afternoon_fixed_4pct,session_single,,robust,tp04_sl02_buf3s,intraday,33,100.1351006610555,0.0013510066105550944,0.6363636363636364,1.0236267693701147,0.02744576627422098,4.066074332892496,2026-05-04T17:10:00+00:00,2026-06-01T16:50:00+00:00,21,12,0,0,-0.015049759229534554,0.0,0.08566139347021205,0.14187142376304274,5942,-0.015049759229534554,0.0,0.21843995894628807,0.37410195005131713,5846,-0.016461028863345994,0.0006833280595430757,0.5827155676941085,1.0,5126,0.8550288310994004
session_breakout_us_afternoon_fixed_6pct__tp08_sl04_buf5s,session_breakout_us_afternoon_fixed_6pct,session_single,,robust,tp08_sl04_buf5s,intraday,34,105.54292092614571,0.055429209261457224,0.7058823529411765,1.4834373903497788,0.05350286772965516,6.3563142086199385,2026-05-04T17:10:00+00:00,2026-06-01T17:35:01+00:00,24,10,0,0,-0.03199498876404494,0.0,0.1011443958263211,0.14321777179400874,5942,-0.03199498876404494,0.0,0.26702018474170375,0.37547040711597673,5846,-0.033634390804597736,0.00845555633413242,0.629730784237222,1.0,5126,0.8549822430977203
session_breakout_us_afternoon_fixed_6pct__tp06_sl03_buf3s,session_breakout_us_afternoon_fixed_6pct,session_single,,robust,tp06_sl03_buf3s,intraday,33,102.6921494926223,0.02692149492622309,0.7575757575757576,1.2718609764309141,0.05881412412463643,6.238962054260599,2026-05-04T17:10:00+00:00,2026-06-01T16:50:00+00:00,25,8,0,0,-0.022537720706260034,0.0,0.09323460114439583,0.14187142376304274,5942,-0.022537720706260034,0.0,0.24255901471091346,0.37410195005131713,5846,-0.04290091034482746,0.005185185185185182,0.5827155676941085,1.0,5126,0.846764806965288
session_breakout_us_afternoon_fixed_6pct__tp05_sl03_buf5s,session_breakout_us_afternoon_fixed_6pct,session_single,,robust,tp05_sl03_buf5s,intraday,34,102.55778836358803,0.025577883635880205,0.7647058823529411,1.2475889379536875,0.057392581971862144,6.235926578963862,2026-05-04T17:10:00+00:00,2026-06-01T17:35:01+00:00,26,8,0,0,-0.02735280898876402,0.0,0.09895658027600135,0.14321777179400874,5942,-0.02735280898876402,0.0,0.2647964420116319,0.37547040711597673,5846,-0.037605756321838935,0.005185185185185182,0.6199765899336714,1.0,5126,0.8453774773742697
session_breakout_london_fixed_6pct__tp08_sl04_buf5s,session_breakout_london_fixed_6pct,session_single,,robust,tp08_sl04_buf5s,intraday,52,104.17021246833934,0.041702124683393516,0.5576923076923077,1.1584170456997245,0.051333333333333266,5.850868225158041,2026-05-04T09:25:02+00:00,2026-06-02T08:30:01+00:00,27,23,0,2,-0.05133333333333334,0.0,0.15651295859979805,0.282059912487378,5942,-0.05133333333333334,0.0,0.3645227505987,0.6414642490591858,5846,-0.03684671699352038,0.003844614790182499,0.5115099492781896,1.0,5126,0.844915797914996
timeseries_momentum_down__tp12_sl06_buf5s,timeseries_momentum_down,time_series,,full_refresh,tp12_sl06_buf5s,intraday,33,97.55580722775004,-0.024441927722499646,0.42424242424242425,0.79475983556531,0.04001922689343189,3.896472762860828,2026-05-03T18:20:01+00:00,2026-05-31T15:40:02+00:00,14,19,0,0,-0.014043076923076825,0.0,0.1008078088185796,0.2196230225513295,5942,-0.014043076923076825,0.0,0.21912418747861787,0.4921313718782073,5846,-0.023158522359501776,-0.002006738911311756,0.388802184939524,1.0,5126,0.8430041623706418
session_breakout_us_afternoon_fixed_6pct__tp04_sl02_buf3s,session_breakout_us_afternoon_fixed_6pct,session_single,,robust,tp04_sl02_buf3s,intraday,33,100.0606125818633,0.0006061258186329521,0.6363636363636364,1.0070020609373482,0.041066452276785764,6.090806106886069,2026-05-04T17:10:00+00:00,2026-06-01T16:50:00+00:00,21,12,0,0,-0.022537720706260034,0.0,0.08566139347021205,0.14187142376304274,5942,-0.022537720706260034,0.0,0.21843995894628807,0.37410195005131713,5846,-0.02465804137931027,0.0009379141919154677,0.5827155676941085,1.0,5126,0.8412578760453658
session_breakout_us_afternoon_fixed_4pct__tp12_sl06_buf5s,session_breakout_us_afternoon_fixed_4pct,session_single,,robust,tp12_sl06_buf5s,intraday,34,100.65876458842469,0.006587645884246873,0.6470588235294118,1.05404153472768,0.0487508362431521,4.091486677829965,2026-05-04T17:10:00+00:00,2026-06-01T17:35:01+00:00,15,12,0,7,-0.027346506024096495,0.0,0.08566139347021205,0.14321777179400874,5942,-0.027346506024096495,0.0,0.21843995894628807,0.37547040711597673,5846,-0.027346506024096495,-0.0012068163069268723,0.4982442450253609,1.0,5126,0.8406934738610762
session_breakout_us_afternoon_fixed_10pct__trail08_gap03_buf5s,session_breakout_us_afternoon_fixed_10pct,session_single,,robust,trail08_gap03_buf5s,intraday,33,111.75018757937953,0.11750187579379534,0.696969696969697,1.5117184063583775,0.08611027523427052,10.81120548820493,2026-05-04T17:10:00+00:00,2026-06-01T17:35:01+00:00,0,8,12,13,-0.04024514811031665,0.0,0.08919555705149781,0.14321777179400874,5942,-0.04024514811031665,0.0,0.23845364351693465,0.37547040711597673,5846,-0.053755555555555556,0.007921706822279218,0.5967616074912212,1.0,5126,0.8387971130713713
session_breakout_us_afternoon_fixed_8pct__tp06_sl03_buf3s,session_breakout_us_afternoon_fixed_8pct,session_single,,robust,tp06_sl03_buf3s,intraday,33,103.78146550591711,0.03781465505917114,0.7575757575757576,1.2798863988847655,0.07787458420659911,8.342725843180208,2026-05-04T17:10:00+00:00,2026-06-01T16:50:00+00:00,25,8,0,0,-0.03000107009095765,0.0,0.09323460114439583,0.14187142376304274,5942,-0.03000107009095765,0.0,0.24255901471091346,0.37410195005131713,5846,-0.056968833035334066,0.006913580246913575,0.5827155676941085,1.0,5126,0.8335025012410737
session_breakout_us_open_fixed_4pct__tp05_sl03_buf5s,session_breakout_us_open_fixed_4pct,session_single,,robust,tp05_sl03_buf5s,intraday,21,99.19671072095683,-0.008032892790431734,0.6190476190476191,0.8636020435621117,0.034373885230434074,3.945374854578559,2026-05-04T13:55:01+00:00,2026-06-01T14:35:02+00:00,13,8,0,0,-0.018823529411764683,0.0,0.052675866711544936,0.10164927633793336,5942,-0.018823529411764683,0.0,0.13564830653438248,0.28395484091686624,5846,-0.02399424525720728,0.0,0.4500585251658213,0.9118220834959032,5126,0.831371672967503
