strategy,trades,ending_bankroll,total_return,avg_trade_return_on_cost,median_trade_return_on_cost,win_rate,profit_factor,max_drawdown,avg_fraction,worst_144_window_return,median_144_window_return,pct_positive_144_windows,pct_over_10pct_144_windows,active_144_window_rate,num_144_windows,score_end,score_dd,score_36h,score_36h_10,score_active,score_pf,v1_score,meets_dd_lt_30,meets_36h_gt_10_all,meets_v1_goal
v1_balanced_mix,11,158.47131506277174,0.5847131506277174,0.4580028301039192,0.4999999999999999,0.9090909090909091,7.994537616235634,0.08103896103896101,0.08909090909090908,0.2285552680037899,0.2673153215295432,1.0,1.0,1.0,146,1.0,0.4,1.0,0.7,0.7,0.8,0.77,True,True,True
v1_conservative_mix,10,143.63696669499342,0.4363696669499342,0.48452600468057605,0.5115384615384615,0.9,8.01363008321012,0.06077922077922085,0.072,0.1705871010556208,0.19828550006651424,1.0,1.0,1.0,146,0.6,0.8,0.4,0.7,0.7,1.0,0.6599999999999999,True,True,True
v1_adaptive_mix,10,151.8233059134334,0.5182330591343338,0.48452600468057616,0.5115384615384615,0.9,6.932144294666143,0.08466801862370266,0.08820180899872343,0.19297853819634203,0.23091096888915974,1.0,1.0,1.0,146,0.8,0.2,0.8,0.7,0.7,0.6,0.6299999999999999,True,True,True
v1_active_fill_mix,14,142.63020189762946,0.4263020189762947,0.33542954975163836,0.38468309859154937,0.8571428571428571,5.245583339728287,0.07771242138450532,0.06285714285714285,0.18220586467213784,0.22602683520934796,1.0,1.0,1.0,146,0.4,0.6,0.6,0.7,0.7,0.4,0.58,True,True,True
v1_logit_overlay_mix,0,100.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,146,0.2,1.0,0.2,0.2,0.2,0.2,0.3600000000000001,True,False,False
