strategy,session_et,component,trades,avg_pnl_usd,total_pnl_usd,avg_fraction,win_rate
v1_active_fill_mix,asia,asia_breakout,2,11.82077064580433,23.64154129160866,0.08,1.0
v1_active_fill_mix,london,london_milddrop,7,0.09281368013079086,0.649695760915536,0.05142857142857143,0.7142857142857143
v1_active_fill_mix,us_afternoon,us_afternoon_milddrop,4,4.390717701375748,17.562870805502993,0.08,1.0
v1_active_fill_mix,us_open,us_open_breakout,1,0.7760940396022405,0.7760940396022405,0.04,1.0
v1_adaptive_mix,asia,asia_breakout,2,14.36610451225874,28.73220902451748,0.0937508749999971,1.0
v1_adaptive_mix,london,london_milddrop,4,0.6207163071542058,2.482865228616823,0.08158714409331147,0.75
v1_adaptive_mix,us_afternoon,us_afternoon_milddrop,4,5.152057915074776,20.608231660299104,0.09204194090349854,1.0
v1_balanced_mix,asia,asia_breakout,2,15.869891454908727,31.739782909817453,0.1,1.0
v1_balanced_mix,london,london_milddrop,4,0.6791154113041893,2.716461645216757,0.08,0.75
v1_balanced_mix,us_afternoon,us_afternoon_milddrop,4,5.7067561715747175,22.82702468629887,0.1,1.0
v1_balanced_mix,us_open,breakout_filler,1,1.1880458214386518,1.1880458214386518,0.06,1.0
v1_conservative_mix,asia,asia_breakout,2,11.904208344170984,23.808416688341968,0.08,1.0
v1_conservative_mix,london,london_milddrop,4,0.5354276264130235,2.141710505652094,0.06,0.75
v1_conservative_mix,us_afternoon,us_afternoon_milddrop,4,4.421709875249839,17.686839500999355,0.08,1.0
