strategy,trades,ending_bankroll,total_return,win_rate,profit_factor,max_drawdown,worst_144_window_return,median_144_window_return,pct_positive_144_windows,active_144_window_rate,num_144_windows,worst_864_window_return,median_864_window_return,pct_positive_864_windows,active_864_window_rate,num_864_windows,recent_72h_return,recent_72h_max_drawdown,recent_72h_trades,recent_72h_win_rate,score_end,score_dd,score_36,score_72,score_recent72,score_pf,refreshed_score,meets_dd_lt_30,meets_recent72_positive
classic_breakout_core,20,125.1023213566567,0.2510232135665671,0.9,3.134733836827753,0.09921955128205139,-0.09921955128205129,0.008235294117647118,0.5805739514348786,0.6724061810154526,2265,-0.07405214149232198,0.049499492330029815,0.7915857605177994,1.0,1545,0.17185404808441662,0.0,4,1.0,1.0,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.6470588235294118,1.0,0.8029411764705883,True,True
v1_logit_overlay_mix,0,100.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2265,0.0,0.0,0.0,0.0,1545,0.0,0.0,0,,0.7647058823529411,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.35294117647058826,0.11764705882352941,0.7264705882352941,True,False
microstructure_book_consensus_down,0,100.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2265,0.0,0.0,0.0,0.0,1545,0.0,0.0,0,,0.7647058823529411,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.35294117647058826,0.11764705882352941,0.7264705882352941,True,False
v2_logit_value_mix,0,100.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2265,0.0,0.0,0.0,0.0,1545,0.0,0.0,0,,0.7647058823529411,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.35294117647058826,0.11764705882352941,0.7264705882352941,True,False
v2_strict_session_mix,30,114.54639773281701,0.14546397732817007,0.7333333333333333,1.2961547440876513,0.32351100560037704,-0.23463611528148276,0.0,0.4520971302428256,0.6525386313465784,2265,-0.2651683066846493,-0.0026769977530527456,0.4893203883495146,1.0,1545,0.2825495790892065,0.0,6,1.0,0.9411764705882353,0.5882352941176471,0.4117647058823529,0.5294117647058824,0.9411764705882353,0.9411764705882353,0.7029411764705882,False,True
classic_milddrop_core,46,101.35778201261186,0.013577820126118745,0.717391304347826,1.0198914135940347,0.20011307002772516,-0.14474559082892413,0.0,0.4653421633554084,0.7501103752759382,2265,-0.20011307002772538,-0.051086275153200855,0.3825242718446602,1.0,1545,0.10991836501884489,0.05067567567567575,10,0.9,0.8823529411764706,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.5882352941176471,0.8823529411764706,0.6794117647058824,True,True
timeseries_momentum_up,12,98.51933884261828,-0.01480661157381713,0.6666666666666666,0.9127795183969711,0.1419022665204445,-0.0795004095004096,0.0,0.29094922737306844,0.5337748344370861,2265,-0.11686994511472126,-0.06574790954319332,0.3644012944983819,1.0,1545,0.006784065384615401,0.04062499999999999,3,0.6666666666666666,0.47058823529411764,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.47058823529411764,0.5882352941176471,0.638235294117647,True,True
v1_conservative_mix,19,98.86593239703011,-0.011340676029698904,0.6842105263157895,0.9784146791630352,0.34812729759219097,-0.22449232788896567,0.0,0.2269315673289183,0.3792494481236203,2265,-0.256746999876426,-0.01387067436639211,0.4407766990291262,1.0,1545,0.17315981310123685,0.0,4,1.0,0.5882352941176471,0.5294117647058824,0.5294117647058824,0.5882352941176471,0.7058823529411765,0.7058823529411765,0.6000000000000001,False,True
classic_early_drop_down,54,99.14859819037206,-0.008514018096279496,0.7592592592592593,0.9848202980390401,0.13294234052690887,-0.11777921229892097,0.0,0.3403973509933775,0.6070640176600441,2265,-0.13294234052690934,0.03551113472519685,0.6537216828478964,1.0,1545,-0.12416200979806791,0.13294234052690934,18,0.6666666666666666,0.6470588235294118,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.23529411764705882,0.8235294117647058,0.5970588235294118,True,False
v2_time_series_mix,54,91.34522865461093,-0.08654771345389067,0.5370370370370371,0.9048407332496421,0.36733484296299085,-0.2272008713374185,0.0,0.29403973509933773,0.6066225165562914,2265,-0.3296351987321281,-0.19238916180702048,0.1656957928802589,1.0,1545,0.2658126697853853,0.09377937418737937,18,0.5555555555555556,0.35294117647058826,0.47058823529411764,0.47058823529411764,0.29411764705882354,0.8823529411764706,0.47058823529411764,0.5294117647058824,False,True
