strategy,first_quote_ts,run_name,market_id,slug,session_et,component,entry_minute,side,fraction,target_cost,entry_price,pnl_usd,bankroll_after,event_ret,sim_max_drawdown
v1_active_fill_mix,2026-04-29 17:15:00+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777482900,btc-updown-5m-1777482900,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,19.12631180464846,0.69,-19.403504729353507,219.67539282875225,-0.08115942028985507,0.08249752628785838
v1_active_fill_mix,2026-04-29 17:35:01+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777484100,btc-updown-5m-1777484100,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,17.57403142630018,0.6,-17.86693195007185,201.8084608786804,-0.08133333333333334,0.15589178743961352
v1_active_fill_mix,2026-04-29 19:20:01+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777490400,btc-updown-5m-1777490400,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,16.144676870294433,0.63,-16.400941582521327,185.40751929615908,-0.08126984126984127,0.2244923278889655
v1_active_fill_mix,2026-04-30 00:25:02+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777508700,btc-updown-5m-1777508700,asia,asia_breakout,4,buy_up,0.08,14.832601543692727,0.78,3.9933927233018873,189.40091201946097,0.021538461538461534,0.2244923278889655
v1_active_fill_mix,2026-04-30 06:20:02+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777530000,btc-updown-5m-1777530000,london,london_milddrop,2,buy_down,0.06,11.364054721167658,0.63,6.493745554952947,195.8946575744139,0.03428571428571428,0.2244923278889655
v1_active_fill_mix,2026-04-30 06:40:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777531200,btc-updown-5m-1777531200,london,london_milddrop,2,buy_down,0.04,7.835786302976556,0.75,2.507451616952498,198.4021091913664,0.0128,0.2244923278889655
v1_active_fill_mix,2026-04-30 06:55:00+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777532100,btc-updown-5m-1777532100,london,london_milddrop,2,buy_down,0.06,11.904126551481983,0.66,5.95206327574099,204.3541724671074,0.02999999999999999,0.2244923278889655
v1_active_fill_mix,2026-04-30 07:45:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777535100,btc-updown-5m-1777535100,london,london_milddrop,2,buy_down,0.06,12.261250348026444,0.56,-12.480201247098345,191.87397122000905,-0.061071428571428575,0.2244923278889655
v1_active_fill_mix,2026-04-30 08:10:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777536600,btc-updown-5m-1777536600,london,london_milddrop,2,buy_down,0.06,11.512438273200543,0.55,9.209950618560432,201.0839218385695,0.04799999999999999,0.2244923278889655
v1_active_fill_mix,2026-04-30 08:20:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777537200,btc-updown-5m-1777537200,london,london_milddrop,2,buy_down,0.06,12.065035310314169,0.65,6.310941546933565,207.39486338550307,0.03138461538461538,0.2244923278889655
