strategy,first_quote_ts,run_name,market_id,slug,session_et,component,entry_minute,side,fraction,target_cost,entry_price,pnl_usd,bankroll_after,event_ret,sim_max_drawdown
v1_active_fill_mix,2026-04-30 08:55:00+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777539300,btc-updown-5m-1777539300,london,london_milddrop,2,buy_down,0.06,12.443691803130184,0.75,3.981981377001659,211.37684476250473,0.0192,0.2244923278889655
v1_active_fill_mix,2026-04-30 16:50:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777567800,btc-updown-5m-1777567800,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,16.91014758100038,0.75,5.411247225920121,216.78809198842487,0.0256,0.2244923278889655
v1_active_fill_mix,2026-04-30 17:05:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777568700,btc-updown-5m-1777568700,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,17.34304735907399,0.58,-17.642065416989055,199.1460265714358,-0.08137931034482758,0.2244923278889655
v1_active_fill_mix,2026-04-30 17:25:02+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777569900,btc-updown-5m-1777569900,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,15.931682125714865,0.54,-16.226713276191067,182.91931329524473,-0.08148148148148149,0.23489979599396466
v1_active_fill_mix,2026-04-30 18:05:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777572300,btc-updown-5m-1777572300,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,14.633545063619579,0.53,12.700812696726425,195.62012599197115,0.06943396226415094,0.23489979599396466
v1_active_fill_mix,2026-04-30 18:20:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777573200,btc-updown-5m-1777573200,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,15.649610079357693,0.66,7.8248050396788456,203.44493103165,0.04,0.23489979599396466
v1_active_fill_mix,2026-04-30 18:55:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777575300,btc-updown-5m-1777575300,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,16.275594482532,0.82,3.3742086122322448,206.81913964388224,0.01658536585365854,0.23489979599396466
v1_active_fill_mix,2026-04-30 19:45:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777578300,btc-updown-5m-1777578300,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,16.54553117151058,0.64,-16.804055096065433,190.0150845478168,-0.08125,0.23489979599396466
v1_active_fill_mix,2026-04-30 23:30:00+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777591800,btc-updown-5m-1777591800,asia,asia_breakout,4,buy_up,0.08,15.201206763825343,0.65,-15.43507148326881,174.58001306454798,-0.08123076923076923,0.26978075084139097
v1_active_fill_mix,2026-05-01 04:50:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777611000,btc-updown-5m-1777611000,asia,asia_breakout,4,buy_up,0.08,13.966401045163838,0.48,-14.25736773360475,160.32264533094323,-0.08166666666666667,0.3294153228560107
v1_active_fill_mix,2026-05-01 07:30:01+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777620600,btc-updown-5m-1777620600,london,london_milddrop,2,buy_down,0.04,6.412905813237729,0.55,-6.529504100751142,153.79314123019208,-0.04072727272727272,0.3567264078887842
v1_active_fill_mix,2026-05-01 09:00:01+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777626000,btc-updown-5m-1777626000,london,london_milddrop,2,buy_down,0.06,9.227588473811524,0.71,3.639048975587644,157.43219020577973,0.023661971830985916,0.3567264078887842
v1_active_fill_mix,2026-05-01 09:20:01+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777627200,btc-updown-5m-1777627200,london,london_milddrop,2,buy_down,0.06,9.445931412346784,0.77,-9.568605846273366,147.86358435950638,-0.06077922077922078,0.38152808186021686
v1_active_fill_mix,2026-05-01 09:25:02+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777627500,btc-updown-5m-1777627500,london,london_milddrop,2,buy_down,0.04,5.914543374380255,0.75,1.8926538798016814,149.75623823930806,0.012799999999999999,0.38152808186021686
v1_active_fill_mix,2026-05-01 09:35:01+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777628100,btc-updown-5m-1777628100,london,london_milddrop,2,buy_down,0.06,8.985374294358483,0.6,5.840493291333014,155.59673153064108,0.039,0.38152808186021686
v1_active_fill_mix,2026-05-01 11:35:01+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777635300,btc-updown-5m-1777635300,london,london_milddrop,2,buy_down,0.06,9.335803891838465,0.72,3.500926459439425,159.0976579900805,0.022500000000000003,0.38152808186021686
v1_active_fill_mix,2026-05-01 13:25:02+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777641900,btc-updown-5m-1777641900,london,london_milddrop,2,buy_down,0.04,6.36390631960322,0.73,2.2665967713655304,161.36425476144603,0.014246575342465753,0.38152808186021686
v1_active_fill_mix,2026-05-01 15:25:01+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777649100,btc-updown-5m-1777649100,us_open,us_open_breakout,4,buy_up,0.04,6.454570190457842,0.83,1.2442544945460903,162.60850925599212,0.007710843373493978,0.38152808186021686
v1_active_fill_mix,2026-05-01 16:10:01+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777651800,btc-updown-5m-1777651800,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,13.00868074047937,0.66,6.504340370239684,169.1128496262318,0.039999999999999994,0.38152808186021686
v1_active_fill_mix,2026-05-01 16:15:00+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777652100,btc-updown-5m-1777652100,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,13.529027970098543,0.59,9.172222352609182,178.28507197884096,0.054237288135593226,0.38152808186021686
v1_active_fill_mix,2026-05-01 17:20:02+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777656000,btc-updown-5m-1777656000,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,14.262805758307277,0.65,7.46054455049919,185.74561652934014,0.04184615384615384,0.38152808186021686
v1_active_fill_mix,2026-05-01 17:40:01+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777657200,btc-updown-5m-1777657200,us_afternoon,us_afternoon_milddrop,2,buy_down,0.08,14.859649322347211,0.74,5.020151798090274,190.7657683274304,0.02702702702702703,0.38152808186021686
v1_active_fill_mix,2026-05-02 02:15:02+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777688100,btc-updown-5m-1777688100,asia,asia_breakout,4,buy_up,0.08,15.261261466194433,0.35,27.90630668104125,218.67207500847167,0.1462857142857143,0.38152808186021686
v1_active_fill_mix,2026-05-02 03:55:01+00:00,25157440693_attempt1,25157440693_attempt1::btc-updown-5m-1777694100,btc-updown-5m-1777694100,asia,asia_breakout,4,buy_up,0.08,17.493766000677734,0.63,9.996437714672991,228.66851272314466,0.04571428571428572,0.38152808186021686
v1_active_fill_mix,2026-05-02 06:55:01+00:00,25208977834_attempt1,25208977834_attempt1::btc-updown-5m-1777704900,btc-updown-5m-1777704900,london,london_milddrop,2,buy_down,0.04,3.2,0.32,-3.3000000000000003,225.36851272314465,-0.014431370374089949,0.38152808186021686
v1_active_fill_mix,2026-05-02 08:55:02+00:00,25208977834_attempt1,25208977834_attempt1::btc-updown-5m-1777712100,btc-updown-5m-1777712100,london,london_milddrop,2,buy_down,0.04,9.014740508925787,0.93,0.5815961618661792,225.95010888501082,0.0025806451612903204,0.38152808186021686
v1_active_fill_mix,2026-05-02 10:45:01+00:00,25208977834_attempt1,25208977834_attempt1::btc-updown-5m-1777718700,btc-updown-5m-1777718700,london,london_milddrop,2,buy_down,0.04,9.038004355400433,0.46,-9.234482710952618,216.7156261740582,-0.04086956521739131,0.38152808186021686
v1_active_fill_mix,2026-05-02 11:10:01+00:00,25208977834_attempt1,25208977834_attempt1::btc-updown-5m-1777720200,btc-updown-5m-1777720200,london,london_milddrop,2,buy_down,0.06,13.00293757044349,0.84,2.3219531375791953,219.0375793116374,0.010714285714285716,0.38152808186021686
v1_active_fill_mix,2026-05-02 11:25:01+00:00,25208977834_attempt1,25208977834_attempt1::btc-updown-5m-1777721100,btc-updown-5m-1777721100,london,london_milddrop,2,buy_down,0.06,13.142254758698243,0.89,1.476657838055982,220.51423714969337,0.006741573033707864,0.38152808186021686
v1_active_fill_mix,2026-05-02 11:40:01+00:00,25208977834_attempt1,25208977834_attempt1::btc-updown-5m-1777722000,btc-updown-5m-1777722000,london,london_milddrop,2,buy_down,0.06,13.230854228981602,0.4,-13.561625584706142,206.95261156498722,-0.0615,0.38152808186021686
