slug,window_text,first_quote_ts,close_ts_utc,quote_count_total,quote_count_first2m,target_price,price_after_2m,final_price_last,btc_move_2m,btc_return_bps_2m,mid_up_prob_open,mid_up_prob_2m,mid_up_prob_change_2m,spread_up_median_first2m,spread_down_median_first2m,overround_median_first2m,trade_count_sum_first2m,trade_volume_sum_first2m,outcome_up,realized_pnl_buy_up_from_2m,realized_pnl_buy_down_from_2m
btc-updown-5m-1777009500,13:45-13:50,2026-04-24 05:45:02+00:00,2026-04-24 05:45:00+00:00,116,46,77728.65,77757.27,77805.01,28.620000000009895,3.6820400199939014,0.485,0.645,0.16000000000000003,1.0,1.0,0.0,,,1.0,0.345,-0.365
btc-updown-5m-1777009800,13:50-13:55,2026-04-24 05:50:01+00:00,2026-04-24 05:50:00+00:00,118,47,77813.09,77831.71,77804.67,18.620000000009895,2.392913583050088,0.455,0.535,0.08000000000000002,1.0,1.0,0.0,,,0.0,-0.545,0.525
btc-updown-5m-1777010100,13:55-14:00,2026-04-24 05:55:02+00:00,2026-04-24 05:55:00+00:00,119,49,77803.58,78008.79,77971.83,205.20999999999185,26.37539300890677,0.485,0.965,0.48,1.0,1.0,0.0,,,1.0,0.02500000000000003,-0.04500000000000003
btc-updown-5m-1777010400,14:00-14:05,2026-04-24 06:00:01+00:00,2026-04-24 06:00:00+00:00,113,43,77974.29,77946.94,77952.61,-27.34999999999127,-3.507566404258541,0.455,0.275,-0.18,1.0,1.0,0.0,,,0.0,-0.28500000000000003,0.265
btc-updown-5m-1777010700,14:05-14:10,2026-04-24 06:05:01+00:00,2026-04-24 06:05:00+00:00,117,46,77944.46,77952.57,77958.8,8.110000000000582,1.040484468043089,0.455,0.485,0.02999999999999997,1.0,1.0,0.0,,,1.0,0.505,-0.525
btc-updown-5m-1777011000,14:10-14:15,2026-04-24 06:10:01+00:00,2026-04-24 06:10:00+00:00,119,48,77958.8,77949.5,77963.27,-9.30000000000291,-1.1929378081759736,0.495,0.445,-0.04999999999999999,1.0,1.0,0.0,,,1.0,0.5449999999999999,-0.565
btc-updown-5m-1777011300,14:15-14:20,2026-04-24 06:15:01+00:00,2026-04-24 06:15:00+00:00,117,47,77968.38,77965.01,77972.7,-3.3700000000098953,-0.43222650002602275,0.475,0.475,0.0,1.0,1.0,0.0,,,1.0,0.515,-0.535
btc-updown-5m-1777011600,14:20-14:25,2026-04-24 06:20:02+00:00,2026-04-24 06:20:00+00:00,118,49,77986.69,77943.74,77916.0,-42.94999999999709,-5.507350036268636,0.495,0.225,-0.27,1.0,1.0,0.0,,,0.0,-0.23500000000000001,0.21499999999999997
btc-updown-5m-1777011900,14:25-14:30,2026-04-24 06:25:02+00:00,2026-04-24 06:25:00+00:00,117,49,77906.11,77862.7,77855.95,-43.41000000000349,-5.572091842347602,0.395,0.125,-0.27,1.0,1.0,0.0,,,0.0,-0.135,0.115
btc-updown-5m-1777012200,14:30-14:35,2026-04-24 06:30:01+00:00,2026-04-24 06:30:00+00:00,117,48,77855.96,77818.37,77879.01,-37.59000000001106,-4.828146746891447,0.54,0.245,-0.29500000000000004,1.0,1.0,0.0,,,1.0,0.745,-0.765
btc-updown-5m-1777012500,14:35-14:40,2026-04-24 06:35:01+00:00,2026-04-24 06:35:00+00:00,116,47,77875.09,77821.58,77853.4,-53.50999999999476,-6.8712601166810545,0.395,0.175,-0.22000000000000003,1.0,1.0,0.0,,,0.0,-0.185,0.16500000000000004
btc-updown-5m-1777012800,14:40-14:45,2026-04-24 06:40:02+00:00,2026-04-24 06:40:00+00:00,116,48,77863.04,77900.0,77835.0,36.9600000000064,4.746796426135739,0.615,0.675,0.06000000000000005,1.0,1.0,0.0,,,0.0,-0.685,0.665
btc-updown-5m-1777013100,14:45-14:50,2026-04-24 06:45:01+00:00,2026-04-24 06:45:00+00:00,117,48,77834.81,77819.39,77875.09,-15.419999999998254,-1.981118730809294,0.495,0.465,-0.02999999999999997,1.0,1.0,0.0,,,1.0,0.5249999999999999,-0.5449999999999999
btc-updown-5m-1777013400,14:50-14:55,2026-04-24 06:50:01+00:00,2026-04-24 06:50:00+00:00,118,49,77875.1,77923.47,77893.69,48.36999999999534,6.211227979160905,0.525,0.825,0.29999999999999993,1.0,1.0,0.0,,,1.0,0.16500000000000004,-0.18500000000000005
btc-updown-5m-1777013700,14:55-15:00,2026-04-24 06:55:01+00:00,2026-04-24 06:55:00+00:00,120,49,77893.7,77878.2,77813.12,-15.5,-1.9898913519321846,0.495,0.305,-0.19,1.0,1.0,0.0,,,0.0,-0.315,0.29499999999999993
btc-updown-5m-1777014000,15:00-15:05,2026-04-24 07:00:03+00:00,2026-04-24 07:00:00+00:00,117,49,,77810.01,77804.98,,,0.425,0.455,0.030000000000000027,1.0,1.0,0.0,,,,,
btc-updown-5m-1777014300,15:05-15:10,2026-04-24 07:05:03+00:00,2026-04-24 07:05:00+00:00,117,49,,77834.66,77829.16,,,0.535,0.685,0.15000000000000002,1.0,1.0,0.0,,,,,
btc-updown-5m-1777014600,15:10-15:15,2026-04-24 07:10:01+00:00,2026-04-24 07:10:00+00:00,119,48,77837.9,77856.51,77785.2,18.610000000000582,2.390866146183361,0.505,0.635,0.13,1.0,1.0,0.0,,,0.0,-0.645,0.625
btc-updown-5m-1777014900,15:15-15:20,2026-04-24 07:15:03+00:00,2026-04-24 07:15:00+00:00,117,49,,77772.82,77726.29,,,0.495,0.405,-0.08999999999999997,1.0,1.0,0.0,,,,,
btc-updown-5m-1777015200,15:20-15:25,2026-04-24 07:20:02+00:00,2026-04-24 07:20:00+00:00,118,49,77719.3,77710.8,77683.33,-8.5,-1.0936794335512543,0.535,0.385,-0.15000000000000002,1.0,1.0,0.0,,,0.0,-0.395,0.375
btc-updown-5m-1777015500,15:25-15:30,2026-04-24 07:25:01+00:00,2026-04-24 07:25:00+00:00,118,49,77683.33,77723.2,77737.62,39.86999999999534,5.1323752470440365,0.535,0.735,0.19999999999999996,1.0,1.0,0.0,,,1.0,0.255,-0.275
btc-updown-5m-1777015800,15:30-15:35,2026-04-24 07:30:01+00:00,2026-04-24 07:30:00+00:00,118,49,77744.89,77712.6,77684.33,-32.2899999999936,-4.153327633493802,0.505,0.235,-0.27,1.0,1.0,0.0,,,0.0,-0.245,0.22499999999999998
btc-updown-5m-1777016100,15:35-15:40,2026-04-24 07:35:02+00:00,2026-04-24 07:35:00+00:00,118,49,77681.06,77677.69,77691.63,-3.3699999999953434,-0.43382518209655524,0.505,0.445,-0.06,1.0,1.0,0.0,,,1.0,0.5449999999999999,-0.565
btc-updown-5m-1777016400,15:40-15:45,2026-04-24 07:40:03+00:00,2026-04-24 07:40:00+00:00,118,49,,77682.91,77678.02,,,0.445,0.335,-0.10999999999999999,1.0,1.0,0.0,,,,,
btc-updown-5m-1777016700,15:45-15:50,2026-04-24 07:45:03+00:00,2026-04-24 07:45:00+00:00,111,49,,77735.99,77735.61,,,0.54,0.895,0.355,1.0,1.0,0.0,,,,,
btc-updown-5m-1777017000,15:50-15:55,2026-04-24 07:50:01+00:00,2026-04-24 07:50:00+00:00,124,50,77736.55,77741.84,77697.07,5.289999999993597,0.6805035726429326,0.485,0.515,0.030000000000000027,1.0,1.0,0.0,,,0.0,-0.525,0.505
btc-updown-5m-1777017300,15:55-16:00,2026-04-24 07:55:07+00:00,2026-04-24 07:55:00+00:00,121,50,,77598.0,77676.96,,,0.615,0.075,-0.54,1.0,1.0,0.0,,,,,
btc-updown-5m-1777017600,16:00-16:05,2026-04-24 08:00:01+00:00,2026-04-24 08:00:00+00:00,122,48,77676.96,77634.31,77603.38,-42.65000000000873,-5.49068861603347,0.505,0.235,-0.27,1.0,1.0,0.0,,,0.0,-0.245,0.22499999999999998
btc-updown-5m-1777017900,16:05-16:10,2026-04-24 08:05:02+00:00,2026-04-24 08:05:00+00:00,123,50,,77593.2,77683.67,,,0.515,0.405,-0.10999999999999999,1.0,1.0,0.0,,,,,
btc-updown-5m-1777018200,16:10-16:15,2026-04-24 08:10:00+00:00,2026-04-24 08:10:00+00:00,123,50,77663.84,77663.85,77713.52,0.010000000009313226,0.0012876005112949895,0.505,0.385,-0.12,1.0,1.0,0.0,,,1.0,0.605,-0.625
btc-updown-5m-1777018500,16:15-16:20,2026-04-24 08:15:01+00:00,2026-04-24 08:15:00+00:00,120,49,77713.52,77848.99,77858.54,135.47000000000116,17.43197322679518,0.525,0.965,0.43999999999999995,1.0,1.0,0.0,,,1.0,0.02500000000000003,-0.04500000000000003
btc-updown-5m-1777018800,16:20-16:25,2026-04-24 08:20:02+00:00,2026-04-24 08:20:00+00:00,121,48,77858.54,77949.2,77942.78,90.66000000000349,11.644194715185193,0.475,0.855,0.38,1.0,1.0,0.0,,,1.0,0.135,-0.15500000000000003
btc-updown-5m-1777019100,16:25-16:30,2026-04-24 08:25:01+00:00,2026-04-24 08:25:00+00:00,124,50,77942.78,77903.18,77878.7,-39.60000000000582,-5.080650189793824,0.455,0.225,-0.23,1.0,1.0,0.0,,,0.0,-0.23500000000000001,0.21499999999999997
btc-updown-5m-1777019400,16:30-16:35,2026-04-24 08:30:01+00:00,2026-04-24 08:30:00+00:00,124,49,77884.25,77849.19,77801.61,-35.05999999999767,-4.501551982589249,0.485,0.265,-0.21999999999999997,1.0,1.0,0.0,,,0.0,-0.275,0.255
btc-updown-5m-1777019700,16:35-16:40,2026-04-24 08:35:02+00:00,2026-04-24 08:35:00+00:00,121,48,,77788.48,77834.58,,,0.495,0.365,-0.13,1.0,1.0,0.0,,,,,
btc-updown-5m-1777020000,16:40-16:45,2026-04-24 08:40:01+00:00,2026-04-24 08:40:00+00:00,122,48,77837.28,77808.19,77768.81,-29.089999999996508,-3.7372837283107154,0.505,0.24,-0.265,1.0,1.0,0.0,,,0.0,-0.25,0.22999999999999998
btc-updown-5m-1777020300,16:45-16:50,2026-04-24 08:45:01+00:00,2026-04-24 08:45:00+00:00,119,48,77768.84,77818.34,77870.49,49.5,6.365017145684569,0.525,0.87,0.345,1.0,1.0,0.0,,,1.0,0.12000000000000001,-0.14
btc-updown-5m-1777020600,16:50-16:55,2026-04-24 08:50:01+00:00,2026-04-24 08:50:00+00:00,122,48,77869.45,77896.01,77881.6,26.55999999999767,3.4108369842085278,0.505,0.645,0.14,1.0,1.0,0.0,,,1.0,0.345,-0.365
btc-updown-5m-1777020900,16:55-17:00,2026-04-24 08:55:01+00:00,2026-04-24 08:55:00+00:00,122,47,77891.83,77867.21,77808.72,-24.619999999995343,-3.1607936288048877,0.485,0.295,-0.19,1.0,1.0,0.0,,,0.0,-0.305,0.2849999999999999
btc-updown-5m-1777021200,17:00-17:05,2026-04-24 09:00:02+00:00,2026-04-24 09:00:00+00:00,123,49,,77752.78,77720.21,,,0.485,0.095,-0.39,1.0,1.0,0.0,,,,,
btc-updown-5m-1777021500,17:05-17:10,2026-04-24 09:05:02+00:00,2026-04-24 09:05:00+00:00,122,49,,77647.44,77462.28,,,0.415,0.065,-0.35,1.0,1.0,0.0,,,,,
btc-updown-5m-1777021800,17:10-17:15,2026-04-24 09:10:01+00:00,2026-04-24 09:10:00+00:00,123,51,77468.17,77484.2,77539.98,16.029999999998836,2.069236952415274,0.545,0.575,0.029999999999999916,1.0,1.0,0.0,,,1.0,0.41500000000000004,-0.43500000000000005
btc-updown-5m-1777022100,17:15-17:20,2026-04-24 09:15:02+00:00,2026-04-24 09:15:00+00:00,121,50,,77623.51,77583.55,,,0.575,0.945,0.37,1.0,1.0,0.0,,,,,
btc-updown-5m-1777022400,17:20-17:25,2026-04-24 09:20:01+00:00,2026-04-24 09:20:00+00:00,122,50,77585.12,77573.56,77511.99,-11.559999999997672,-1.489976428469489,0.54,0.455,-0.08500000000000002,1.0,1.0,0.0,,,0.0,-0.465,0.44500000000000006
btc-updown-5m-1777022700,17:25-17:30,2026-04-24 09:25:01+00:00,2026-04-24 09:25:00+00:00,123,50,77511.98,77503.12,77506.18,-8.860000000000582,-1.1430491131823213,0.535,0.385,-0.15000000000000002,1.0,1.0,0.0,,,0.0,-0.395,0.375
btc-updown-5m-1777023000,17:30-17:35,2026-04-24 09:30:02+00:00,2026-04-24 09:30:00+00:00,122,51,77508.29,77546.84,77513.52,38.55000000000291,4.973661527044774,0.535,0.705,0.16999999999999993,1.0,1.0,0.0,,,1.0,0.28500000000000003,-0.30500000000000005
btc-updown-5m-1777023300,17:35-17:40,2026-04-24 09:35:01+00:00,2026-04-24 09:35:00+00:00,122,50,77513.52,77519.6,77552.33,6.080000000001746,0.7843792927997265,0.515,0.565,0.04999999999999993,1.0,1.0,0.0,,,1.0,0.42500000000000004,-0.44500000000000006
btc-updown-5m-1777023600,17:40-17:45,2026-04-24 09:40:01+00:00,2026-04-24 09:40:00+00:00,123,51,77556.01,77577.64,77604.17,21.630000000004657,2.7889521392352004,0.515,0.685,0.17000000000000004,1.0,1.0,0.0,,,1.0,0.30499999999999994,-0.32499999999999996
btc-updown-5m-1777023900,17:45-17:50,2026-04-24 09:45:01+00:00,2026-04-24 09:45:00+00:00,122,51,77604.17,77554.32,77528.0,-49.84999999999127,-6.423623885158655,0.495,0.155,-0.33999999999999997,1.0,1.0,0.0,,,0.0,-0.165,0.14500000000000002
btc-updown-5m-1777024200,17:50-17:55,2026-04-24 09:50:02+00:00,2026-04-24 09:50:00+00:00,123,51,,77507.98,77587.57,,,0.515,0.375,-0.14,1.0,1.0,0.0,,,,,
btc-updown-5m-1777024500,17:55-18:00,2026-04-24 09:55:01+00:00,2026-04-24 09:55:00+00:00,121,51,77588.39,77550.03,77551.89,-38.36000000000058,-4.944038663516615,0.495,0.175,-0.32,1.0,1.0,0.0,,,0.0,-0.185,0.16500000000000004
btc-updown-5m-1777024800,18:00-18:05,2026-04-24 10:00:01+00:00,2026-04-24 10:00:00+00:00,119,51,77551.89,77483.45,77519.48,-68.44000000000233,-8.82505893795784,0.495,0.105,-0.39,1.0,1.0,0.0,,,0.0,-0.11499999999999999,0.09499999999999999
btc-updown-5m-1777025100,18:05-18:10,2026-04-24 10:05:02+00:00,2026-04-24 10:05:00+00:00,122,51,77519.47,77466.68,77529.35,-52.79000000000815,-6.809902080084932,0.505,0.185,-0.32,1.0,1.0,0.0,,,1.0,0.8049999999999999,-0.825
btc-updown-5m-1777025400,18:10-18:15,2026-04-24 10:10:01+00:00,2026-04-24 10:10:00+00:00,123,50,77529.34,77506.66,77527.85,-22.679999999993015,-2.925344134232668,0.52,0.275,-0.245,1.0,1.0,0.0,,,0.0,-0.28500000000000003,0.265
btc-updown-5m-1777025700,18:15-18:20,2026-04-24 10:15:03+00:00,2026-04-24 10:15:00+00:00,121,51,,77565.45,77580.82,,,0.515,0.835,0.31999999999999995,1.0,1.0,0.0,,,,,
btc-updown-5m-1777026000,18:20-18:25,2026-04-24 10:20:01+00:00,2026-04-24 10:20:00+00:00,124,51,77580.82,77601.93,77670.0,21.10999999998603,2.7210333688128108,0.525,0.715,0.18999999999999995,1.0,1.0,0.0,,,1.0,0.275,-0.29500000000000004
btc-updown-5m-1777026300,18:25-18:30,2026-04-24 10:25:02+00:00,2026-04-24 10:25:00+00:00,122,51,77670.0,77707.87,77696.65,37.86999999999534,4.8757564053038935,0.495,0.785,0.29000000000000004,1.0,1.0,0.0,,,1.0,0.20499999999999996,-0.22499999999999998
btc-updown-5m-1777026600,18:30-18:35,2026-04-24 10:30:01+00:00,2026-04-24 10:30:00+00:00,123,50,77693.37,77695.37,77660.54,2.0,0.25742222277138965,0.465,0.475,0.009999999999999953,1.0,1.0,0.0,,,0.0,-0.485,0.46499999999999997
btc-updown-5m-1777026900,18:35-18:40,2026-04-24 10:35:03+00:00,2026-04-24 10:35:00+00:00,122,51,,77697.83,77661.59,,,0.515,0.805,0.29000000000000004,1.0,1.0,0.0,,,,,
btc-updown-5m-1777027200,18:40-18:45,2026-04-24 10:40:01+00:00,2026-04-24 10:40:00+00:00,123,51,77661.59,77663.94,77665.82,2.3500000000058208,0.3025948863531922,0.475,0.465,-0.009999999999999953,1.0,1.0,0.0,,,1.0,0.5249999999999999,-0.5449999999999999
btc-updown-5m-1777027500,18:45-18:50,2026-04-24 10:45:01+00:00,2026-04-24 10:45:00+00:00,119,50,77665.82,77698.01,77692.82,32.189999999987776,4.144680375484064,0.495,0.755,0.26,1.0,1.0,0.0,,,1.0,0.235,-0.255
btc-updown-5m-1777027800,18:50-18:55,2026-04-24 10:50:01+00:00,2026-04-24 10:50:00+00:00,123,51,77692.82,77692.82,77729.7,0.0,0.0,0.455,0.435,-0.020000000000000018,1.0,1.0,0.0,,,1.0,0.5549999999999999,-0.575
btc-updown-5m-1777028100,18:55-19:00,2026-04-24 10:55:03+00:00,2026-04-24 10:55:00+00:00,121,51,,77775.11,77762.44,,,0.585,0.785,0.20000000000000007,1.0,1.0,0.0,,,,,
btc-updown-5m-1777028400,19:00-19:05,2026-04-24 11:00:02+00:00,2026-04-24 11:00:00+00:00,124,51,77773.29,77953.96,78034.78,180.6700000000128,23.230340390642187,0.535,0.965,0.42999999999999994,1.0,1.0,0.0,,,1.0,0.02500000000000003,-0.04500000000000003
btc-updown-5m-1777028700,19:05-19:10,2026-04-24 11:05:06+00:00,2026-04-24 11:05:00+00:00,123,51,,78157.28,78142.72,,,0.465,0.945,0.4799999999999999,1.0,1.0,0.0,,,,,
btc-updown-5m-1777029000,19:10-19:15,2026-04-24 11:10:01+00:00,2026-04-24 11:10:00+00:00,125,51,78135.97,78168.96,78247.98,32.99000000000524,4.222127145795366,0.415,0.56,0.14500000000000007,1.0,1.0,0.0,,,1.0,0.42999999999999994,-0.44999999999999996
btc-updown-5m-1777029300,19:15-19:20,2026-04-24 11:15:00+00:00,2026-04-24 11:15:00+00:00,122,49,78237.84,78163.09,78137.63,-74.75,-9.554200371584901,0.385,0.095,-0.29000000000000004,1.0,1.0,0.0,,,0.0,-0.105,0.08499999999999998
btc-updown-5m-1777029600,19:20-19:25,2026-04-24 11:20:00+00:00,2026-04-24 11:20:00+00:00,124,49,78132.9,78188.8,78276.48,55.90000000000873,7.15447653933346,0.46,0.695,0.23499999999999993,1.0,1.0,0.0,,,1.0,0.29500000000000004,-0.31500000000000006
