slug,window_text,first_quote_ts,close_ts_utc,quote_count_total,quote_count_first2m,target_price,price_after_2m,final_price_last,btc_move_2m,btc_return_bps_2m,mid_up_prob_open,mid_up_prob_2m,mid_up_prob_change_2m,spread_up_median_first2m,spread_down_median_first2m,overround_median_first2m,trade_count_sum_first2m,trade_volume_sum_first2m,outcome_up,realized_pnl_buy_up_from_2m,realized_pnl_buy_down_from_2m
btc-updown-5m-1776998700,10:45-10:50,2026-04-24 02:47:14+00:00,2026-04-24 02:45:00+00:00,64,48,,78379.95,78398.0,,,0.335,0.015,-0.32,1.0,1.0,0.0,,,,,
btc-updown-5m-1776999000,10:50-10:55,2026-04-24 02:50:02+00:00,2026-04-24 02:50:00+00:00,118,48,78397.56,78306.87,78166.51,-90.69000000000233,-11.567962064125764,0.495,0.075,-0.42,1.0,1.0,0.0,,,0.0,-0.08499999999999999,0.06499999999999996
btc-updown-5m-1776999300,10:55-11:00,2026-04-24 02:55:02+00:00,2026-04-24 02:55:00+00:00,116,48,78169.52,78140.14,78154.1,-29.380000000004657,-3.7584981972519027,0.565,0.285,-0.27999999999999997,1.0,1.0,0.0,,,0.0,-0.295,0.2749999999999999
btc-updown-5m-1776999600,11:00-11:05,2026-04-24 03:00:02+00:00,2026-04-24 03:00:00+00:00,117,46,78158.83,78165.23,78161.76,6.399999999994179,0.8188454202799836,0.595,0.595,0.0,1.0,1.0,0.0,,,1.0,0.395,-0.41500000000000004
btc-updown-5m-1776999900,11:05-11:10,2026-04-24 03:05:03+00:00,2026-04-24 03:05:00+00:00,114,46,,78143.0,78162.32,,,0.375,0.375,0.0,1.0,1.0,0.0,,,,,
btc-updown-5m-1777000200,11:10-11:15,2026-04-24 03:10:03+00:00,2026-04-24 03:10:00+00:00,116,48,,78138.82,78157.21,,,0.515,0.285,-0.23000000000000004,1.0,1.0,0.0,,,,,
btc-updown-5m-1777000500,11:15-11:20,2026-04-24 03:15:01+00:00,2026-04-24 03:15:00+00:00,116,48,78157.21,78084.55,78075.69,-72.66000000000349,-9.296647103959248,0.505,0.105,-0.4,1.0,1.0,0.0,,,0.0,-0.11499999999999999,0.09499999999999999
btc-updown-5m-1777000800,11:20-11:25,2026-04-24 03:20:01+00:00,2026-04-24 03:20:00+00:00,117,48,78075.68,78029.87,77731.71,-45.80999999999767,-5.867384056084773,0.525,0.165,-0.36,1.0,1.0,0.0,,,0.0,-0.17500000000000002,0.15500000000000003
btc-updown-5m-1777001100,11:25-11:30,2026-04-24 03:25:02+00:00,2026-04-24 03:25:00+00:00,117,49,77775.9,77853.4,77802.74,77.5,9.964526286420343,0.675,0.905,0.22999999999999998,1.0,1.0,0.0,,,1.0,0.08499999999999998,-0.10499999999999997
btc-updown-5m-1777001400,11:30-11:35,2026-04-24 03:30:01+00:00,2026-04-24 03:30:00+00:00,117,48,77780.74,77690.05,77628.72,-90.69000000000233,-11.659698789186415,0.545,0.105,-0.44000000000000006,1.0,1.0,0.0,,,0.0,-0.11499999999999999,0.09499999999999999
btc-updown-5m-1777001700,11:35-11:40,2026-04-24 03:35:02+00:00,2026-04-24 03:35:00+00:00,117,48,77631.5,77705.47,77705.38,73.97000000000116,9.528348672897106,0.545,0.815,0.2699999999999999,1.0,1.0,0.0,,,1.0,0.17500000000000004,-0.19500000000000006
btc-updown-5m-1777002000,11:40-11:45,2026-04-24 03:40:01+00:00,2026-04-24 03:40:00+00:00,118,48,77705.37,77639.94,77669.44,-65.42999999999302,-8.42026747958256,0.505,0.155,-0.35,1.0,1.0,0.0,,,0.0,-0.165,0.14500000000000002
btc-updown-5m-1777002300,11:45-11:50,2026-04-24 03:45:02+00:00,2026-04-24 03:45:00+00:00,117,48,77669.44,77677.02,77704.76,7.580000000001746,0.9759308165478915,0.505,0.495,-0.010000000000000009,1.0,1.0,0.0,,,1.0,0.495,-0.515
btc-updown-5m-1777002600,11:50-11:55,2026-04-24 03:50:01+00:00,2026-04-24 03:50:00+00:00,118,47,77707.74,77757.3,77749.43,49.55999999999767,6.3777430665204875,0.525,0.855,0.32999999999999996,1.0,1.0,0.0,,,1.0,0.135,-0.15500000000000003
btc-updown-5m-1777002900,11:55-12:00,2026-04-24 03:55:03+00:00,2026-04-24 03:55:00+00:00,116,48,,77740.03,77755.4,,,0.515,0.475,-0.040000000000000036,1.0,1.0,0.0,,,,,
btc-updown-5m-1777003200,12:00-12:05,2026-04-24 04:00:02+00:00,2026-04-24 04:00:00+00:00,119,49,77754.2,77717.76,77709.92,-36.44000000000233,-4.686563555409525,0.505,0.245,-0.26,1.0,1.0,0.0,,,0.0,-0.255,0.235
btc-updown-5m-1777003500,12:05-12:10,2026-04-24 04:05:03+00:00,2026-04-24 04:05:00+00:00,117,48,,77707.99,77713.7,,,0.625,0.465,-0.15999999999999998,1.0,1.0,0.0,,,,,
btc-updown-5m-1777003800,12:10-12:15,2026-04-24 04:10:01+00:00,2026-04-24 04:10:00+00:00,120,48,77707.7,77702.57,77750.03,-5.129999999990105,-0.6601662383509105,0.615,0.515,-0.09999999999999998,1.0,1.0,0.0,,,1.0,0.475,-0.495
btc-updown-5m-1777004100,12:15-12:20,2026-04-24 04:15:03+00:00,2026-04-24 04:15:00+00:00,117,49,,77707.22,77775.28,,,0.605,0.285,-0.32,1.0,1.0,0.0,,,,,
btc-updown-5m-1777004400,12:20-12:25,2026-04-24 04:20:02+00:00,2026-04-24 04:20:00+00:00,117,49,,77828.6,77855.01,,,0.605,0.865,0.26,1.0,1.0,0.0,,,,,
btc-updown-5m-1777004700,12:25-12:30,2026-04-24 04:25:01+00:00,2026-04-24 04:25:00+00:00,117,46,77847.2,77775.91,77635.0,-71.2899999999936,-9.157683256429724,0.505,0.085,-0.42,1.0,1.0,0.0,,,0.0,-0.095,0.07499999999999997
btc-updown-5m-1777005000,12:30-12:35,2026-04-24 04:30:01+00:00,2026-04-24 04:30:00+00:00,117,49,77632.01,77679.68,77642.6,47.669999999998254,6.140508277448729,0.515,0.675,0.16000000000000003,1.0,1.0,0.0,,,1.0,0.31499999999999995,-0.33499999999999996
btc-updown-5m-1777005300,12:35-12:40,2026-04-24 04:35:01+00:00,2026-04-24 04:35:00+00:00,117,48,77615.99,77667.12,77592.37,51.129999999990105,6.5875601148668075,0.555,0.835,0.2799999999999999,1.0,1.0,0.0,,,0.0,-0.845,0.825
btc-updown-5m-1777005600,12:40-12:45,2026-04-24 04:40:02+00:00,2026-04-24 04:40:00+00:00,116,48,,77630.21,77655.0,,,0.535,0.675,0.14,1.0,1.0,0.0,,,,,
btc-updown-5m-1777005900,12:45-12:50,2026-04-24 04:45:02+00:00,2026-04-24 04:45:00+00:00,118,49,77664.29,77687.73,77743.79,23.44000000000233,3.018118108078028,0.605,0.725,0.12,1.0,1.0,0.0,,,1.0,0.265,-0.28500000000000003
btc-updown-5m-1777006200,12:50-12:55,2026-04-24 04:50:03+00:00,2026-04-24 04:50:00+00:00,117,49,,77726.93,77696.96,,,0.615,0.285,-0.33,1.0,1.0,0.0,,,,,
btc-updown-5m-1777006500,12:55-13:00,2026-04-24 04:55:02+00:00,2026-04-24 04:55:00+00:00,118,49,77695.32,77708.86,77682.91,13.539999999993597,1.7427047085968108,0.475,0.605,0.13,1.0,1.0,0.0,,,0.0,-0.615,0.595
btc-updown-5m-1777006800,13:00-13:05,2026-04-24 05:00:01+00:00,2026-04-24 05:00:00+00:00,119,49,77682.91,77692.83,77684.01,9.919999999998254,1.2769861479182814,0.505,0.495,-0.010000000000000009,1.0,1.0,0.0,,,1.0,0.495,-0.515
btc-updown-5m-1777007100,13:05-13:10,2026-04-24 05:05:03+00:00,2026-04-24 05:05:00+00:00,119,48,,77658.47,77635.02,,,0.505,0.255,-0.25,1.0,1.0,0.0,,,,,
btc-updown-5m-1777007400,13:10-13:15,2026-04-24 05:10:03+00:00,2026-04-24 05:10:00+00:00,118,47,,77612.42,77576.17,,,0.545,0.355,-0.19000000000000006,1.0,1.0,0.0,,,,,
btc-updown-5m-1777007700,13:15-13:20,2026-04-24 05:15:02+00:00,2026-04-24 05:15:00+00:00,118,48,,77538.48,77530.96,,,0.51,0.215,-0.29500000000000004,1.0,1.0,0.0,,,,,
btc-updown-5m-1777008000,13:20-13:25,2026-04-24 05:20:02+00:00,2026-04-24 05:20:00+00:00,118,47,77530.97,77588.76,77592.99,57.7899999999936,7.4537955606635125,0.555,0.875,0.31999999999999995,1.0,1.0,0.0,,,1.0,0.115,-0.135
btc-updown-5m-1777008300,13:25-13:30,2026-04-24 05:25:02+00:00,2026-04-24 05:25:00+00:00,118,47,77593.0,77609.99,77654.71,16.99000000000524,2.189630507907316,0.525,0.695,0.16999999999999993,1.0,1.0,0.0,,,1.0,0.29500000000000004,-0.31500000000000006
btc-updown-5m-1777008600,13:30-13:35,2026-04-24 05:30:01+00:00,2026-04-24 05:30:00+00:00,119,47,77654.71,77714.74,77700.2,60.029999999998836,7.730374628918044,0.525,0.725,0.19999999999999996,1.0,1.0,0.0,,,1.0,0.265,-0.28500000000000003
btc-updown-5m-1777008900,13:35-13:40,2026-04-24 05:35:03+00:00,2026-04-24 05:35:00+00:00,117,47,,77705.38,77739.29,,,0.495,0.355,-0.14,1.0,1.0,0.0,,,,,
btc-updown-5m-1777009200,13:40-13:45,2026-04-24 05:40:02+00:00,2026-04-24 05:40:00+00:00,117,47,77741.92,77735.88,77725.88,-6.039999999993597,-0.7769296153212575,0.465,0.425,-0.040000000000000036,1.0,1.0,0.0,,,0.0,-0.435,0.41500000000000004
