strategy,trades,ending_bankroll,total_return,max_drawdown,win_rate,profit_factor,worst_144_return,median_144_return,positive_144_rate,active_144_rate,worst_864_return,median_864_return,positive_864_rate,active_864_rate,split,family
v1_active_fill_mix,64,203.44493103165,1.0344493103165,0.23489979599396466,0.84375,1.818372694138904,-0.21562938306483959,0.11641245141915801,0.7962489343563512,1.0,0.4676792867163917,0.8639315520051125,1.0,1.0,train,previous_v1
v1_conservative_mix,52,152.14186531447018,0.5214186531447018,0.24456930884080239,0.8076923076923077,1.4908989915000899,-0.22449232788896567,0.1019240257056766,0.7766410912190963,1.0,0.279433222537921,0.5661749067490527,1.0,1.0,train,previous_v1
v1_balanced_mix,55,176.4542009452117,0.7645420094521171,0.29577107228244653,0.8181818181818182,1.489173371488149,-0.26237105743424594,0.13574947878291788,0.7800511508951407,1.0,0.41507204785250273,0.8380548183190422,1.0,1.0,train,previous_v1
v1_adaptive_mix,52,172.4119354264939,0.7241193542649389,0.25837692615018903,0.8076923076923077,1.5092425725110596,-0.2539084906730137,0.13684508052735134,0.7800511508951407,1.0,0.42774237790366754,0.7720632966262528,1.0,1.0,train,previous_v1
v1_logit_overlay_mix,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,previous_v1
classic_milddrop_down,62,104.07186423669752,0.0407186423669752,0.2516534371770502,0.6935483870967742,1.03771942661137,-0.24997237116980886,0.03599720047501731,0.6129582267689685,1.0,-0.04573697087340112,0.12639494825666753,0.9337748344370861,1.0,train,classic_quant
classic_breakout_up,28,110.1605766620911,0.10160576662091092,0.0810673049200502,0.8571428571428571,1.458951407003773,-0.05072266496867228,0.007558139534883823,0.7050298380221653,0.9258312020460358,0.012085780891538,0.06851596494129075,1.0,1.0,train,classic_quant
classic_early_drop_down,89,122.3370186062711,0.22337018606271108,0.15705661301915427,0.7865168539325843,1.2656171168721069,-0.10371205724554466,0.03072281554683154,0.6061381074168798,1.0,0.031265582548367865,0.11996854299752413,1.0,1.0,train,classic_quant
classic_sharpdrop_reversal_up,75,81.10404385031678,-0.18895956149683213,0.5718996900152574,0.24,0.9367095528015348,-0.24825372526315825,-0.06156526948388219,0.3410059676044331,1.0,-0.46520790931488265,0.09700242189256292,0.5562913907284768,1.0,train,classic_quant
classic_extremeup_fade_down,75,41.70120538495476,-0.5829879461504524,0.8260736111922964,0.13333333333333333,0.7591720287546239,-0.36892822275453263,-0.20884882931358018,0.32310315430520037,1.0,-0.7861836106498682,-0.569582442162641,0.0,1.0,train,classic_quant
micro_book_consensus_down,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,microstructure
micro_book_consensus_up,12,100.4405464748022,0.004405464748022059,0.10572334207948918,0.6666666666666666,1.0250534011810317,-0.04072727272727272,0.0,0.25234441602728047,0.5277067348678602,-0.10572334207948919,-0.04837936568054646,0.4282560706401766,1.0,train,microstructure
game_pm_overshoot_fade_up,56,45.35113514430129,-0.5464886485569871,0.5678836762918074,0.25,0.4636420490973108,-0.254668685970744,-0.0664697166070819,0.2796248934356351,1.0,-0.4587492115322045,-0.3240988778372602,0.0,1.0,train,game_theory
game_pm_squeeze_fade_down,60,85.55719816788377,-0.14442801832116237,0.4303256481119542,0.3333333333333333,0.8961135432170376,-0.2265770714041796,-0.05256167005671586,0.32310315430520037,0.9957374254049446,-0.3810096433655158,-0.30909438366113606,0.0,1.0,train,game_theory
timeseries_momentum_up,4,100.18761558407897,0.001876155840789595,0.040579710144927505,0.75,1.046233840362315,-0.028299130434782716,0.0,0.17647058823529413,0.23529411764705882,0.001876155840789373,0.03105409001956949,1.0,1.0,train,time_series
timeseries_momentum_down,4,94.90489933513427,-0.05095100664865726,0.0795352033050664,0.5,0.3786848779071262,-0.04063492063492058,0.0,0.0,0.20630861040068202,-0.07953520330506625,-0.04063492063492058,0.0,1.0,train,time_series
timeseries_reversion_down,75,41.2473657827583,-0.5875263421724171,0.8125877213151532,0.12,0.723322812292577,-0.3379582265982022,-0.19937588082015412,0.32310315430520037,1.0,-0.7749483322454054,-0.5804121103218134,0.0,1.0,train,time_series
ml_logit_edge_06,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,ml_value
ml_logit_edge_10,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,ml_value
portfolio_micro_ts_mix,74,49.13231669547721,-0.5086768330452279,0.5086768330452279,0.28378378378378377,0.5396644202877044,-0.2744551539713358,-0.03887129825716351,0.37681159420289856,1.0,-0.43493541877795894,-0.19174953376865622,0.0,1.0,train,portfolio
portfolio_conservative_v2,24,98.99775950146275,-0.010022404985372435,0.18869683177907684,0.75,0.9657527592740215,-0.13094496583850923,0.010614588235293931,0.5907928388746803,0.7953964194373402,-0.05738155213839524,0.03711318810103359,0.9624724061810155,1.0,train,portfolio
v1_active_fill_mix,24,100.18331524680097,0.0018331524680097466,0.2850585075728014,0.6666666666666666,1.0040643988157951,-0.2563882554825174,0.06841955134865518,0.512621359223301,0.9553398058252427,,,,,validation,previous_v1
v1_conservative_mix,17,108.09233682947237,0.08092336829472369,0.25470466104063827,0.7058823529411765,1.2322656909090208,-0.22481717307692306,0.11988863884569856,0.512621359223301,0.9553398058252427,,,,,validation,previous_v1
v1_balanced_mix,18,110.14758544925616,0.10147585449256158,0.312914980175048,0.7222222222222222,1.2300348987258816,-0.2751913060897435,0.16496324896936554,0.512621359223301,0.9553398058252427,,,,,validation,previous_v1
v1_adaptive_mix,17,107.30114650601188,0.0730114650601188,0.29815550258568385,0.7058823529411765,1.1700869555538822,-0.25686408376330183,0.13746782275538671,0.512621359223301,0.9553398058252427,,,,,validation,previous_v1
v1_logit_overlay_mix,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,validation,previous_v1
classic_milddrop_down,35,77.92423052079913,-0.22075769479200869,0.28001511003391627,0.6,0.6472121273102371,-0.13242228366434095,-0.03967540754334342,0.22330097087378642,1.0,,,,,validation,classic_quant
classic_breakout_up,12,117.55899025357827,0.17558990253578277,0.05084745762711863,0.8333333333333334,2.5482208832054662,-0.011370950439819838,0.06000000000000005,0.7165048543689321,0.7436893203883496,,,,,validation,classic_quant
classic_early_drop_down,42,97.78387786220694,-0.02216122137793064,0.20791191749758306,0.7619047619047619,0.9481274292645966,-0.14554690482864252,-0.0007309484126681864,0.47378640776699027,1.0,,,,,validation,classic_quant
classic_sharpdrop_reversal_up,31,106.92477295112003,0.0692477295112004,0.25100614820772527,0.25806451612903225,1.0715909111887536,-0.16372507523232327,0.07018683108780244,0.5514563106796116,1.0,,,,,validation,classic_quant
