strategy,first_quote_ts,run_name,market_id,session_et,component,side,entry_minute,fraction,target_cost,entry_price,pnl_usd,event_ret,bankroll_after,recent_tail_flag,split
v1_active_fill_mix,2026-04-27 17:45:01+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777311900,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,9.694311721108946,0.73,3.452768558203186,0.028493150684931506,124.63166507206502,False,train
v1_active_fill_mix,2026-04-27 19:20:02+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777317600,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,9.970533205765202,0.59,6.759683529332341,0.05423728813559323,131.39134860139737,False,train
v1_active_fill_mix,2026-04-27 23:00:02+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777330800,asia,asia_breakout,buy_up,4,0.08,10.511307888111789,0.6,6.832350127272663,0.052000000000000005,138.22369872867003,False,train
v1_active_fill_mix,2026-04-27 23:10:01+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777331400,asia,asia_breakout,buy_up,4,0.08,11.057895898293603,0.7,4.581128300721637,0.033142857142857154,142.80482702939167,False,train
v1_active_fill_mix,2026-04-28 04:40:02+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777351200,asia,asia_breakout,buy_up,4,0.08,11.424386162351334,0.85,1.8816636032108083,0.013176470588235296,144.68649063260247,False,train
v1_active_fill_mix,2026-04-28 06:20:02+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777357200,london,london_milddrop,buy_down,2,0.06,8.681189437956148,0.78,2.3372433102189625,0.01615384615384615,147.02373394282142,False,train
v1_active_fill_mix,2026-04-28 06:40:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777358400,london,london_milddrop,buy_down,2,0.06,8.821424036569285,0.64,4.824216269998827,0.032812499999999994,151.84795021282025,False,train
v1_active_fill_mix,2026-04-28 07:55:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777362900,london,london_milddrop,buy_down,2,0.06,9.110877012769215,0.65,4.765689514371589,0.03138461538461538,156.61363972719184,False,train
v1_active_fill_mix,2026-04-28 10:10:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777371000,london,london_milddrop,buy_down,2,0.06,9.39681838363151,0.62,5.607778712812353,0.035806451612903224,162.2214184400042,False,train
v1_active_fill_mix,2026-04-28 10:20:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777371600,london,london_milddrop,buy_down,2,0.06,9.73328510640025,0.69,4.231863089739241,0.026086956521739136,166.45328152974344,False,train
v1_active_fill_mix,2026-04-28 11:05:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777374300,london,london_milddrop,buy_down,2,0.04,6.658131261189737,0.5,6.5249686359659425,0.0392,172.97825016570937,False,train
v1_active_fill_mix,2026-04-28 11:10:02+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777374600,london,london_milddrop,buy_down,2,0.04,6.919130006628375,0.5,6.7807474064958075,0.0392,179.75899757220517,False,train
v1_active_fill_mix,2026-04-28 12:15:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777378500,london,london_milddrop,buy_down,2,0.04,7.190359902888207,0.56,5.521169211146301,0.030714285714285708,185.2801667833515,False,train
v1_active_fill_mix,2026-04-28 14:50:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777387800,us_open,us_open_breakout,buy_up,4,0.04,7.411206671334059,0.86,1.1202986828760788,0.006046511627906977,186.40046546622756,False,train
v1_active_fill_mix,2026-04-28 16:15:00+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777392900,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,14.912037237298206,0.63,8.521164135598974,0.045714285714285714,194.92162960182654,False,train
v1_active_fill_mix,2026-04-28 18:30:00+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777401000,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,15.593730368146124,0.75,4.98999371780676,0.0256,199.9116233196333,False,train
v1_active_fill_mix,2026-04-28 19:10:02+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777403400,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,15.992929865570664,0.57,11.784264111473124,0.05894736842105265,211.69588743110643,False,train
v1_active_fill_mix,2026-04-28 19:45:02+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777405500,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,16.935670994488515,0.61,10.550090127714157,0.049836065573770495,222.24597755882058,False,train
v1_active_fill_mix,2026-04-29 06:20:00+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777443600,london,london_milddrop,buy_down,2,0.06,13.334758653529235,0.6,8.667593124794003,0.039,230.91357068361458,False,train
v1_active_fill_mix,2026-04-29 10:10:02+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777457400,london,london_milddrop,buy_down,2,0.06,13.854814241016875,0.71,5.463870404908064,0.02366197183098592,236.37744108852263,False,train
v1_active_fill_mix,2026-04-29 13:35:02+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777469700,us_open,us_open_breakout,buy_up,4,0.04,9.455097643540906,0.77,2.701456469583116,0.011428571428571429,239.07889755810575,False,train
v1_active_fill_mix,2026-04-29 17:15:00+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777482900,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,19.12631180464846,0.69,-19.403504729353507,-0.08115942028985507,219.67539282875225,False,train
v1_active_fill_mix,2026-04-29 17:35:01+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777484100,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,17.57403142630018,0.6,-17.86693195007185,-0.08133333333333334,201.8084608786804,False,train
v1_active_fill_mix,2026-04-29 19:20:01+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777490400,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,16.144676870294433,0.63,-16.400941582521327,-0.08126984126984127,185.40751929615908,False,train
v1_active_fill_mix,2026-04-30 00:25:02+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777508700,asia,asia_breakout,buy_up,4,0.08,14.832601543692727,0.78,3.9933927233018873,0.021538461538461534,189.40091201946097,False,train
v1_active_fill_mix,2026-04-30 06:20:02+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777530000,london,london_milddrop,buy_down,2,0.06,11.364054721167658,0.63,6.493745554952947,0.03428571428571428,195.8946575744139,False,train
v1_active_fill_mix,2026-04-30 06:40:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777531200,london,london_milddrop,buy_down,2,0.04,7.835786302976556,0.75,2.507451616952498,0.0128,198.4021091913664,False,train
v1_active_fill_mix,2026-04-30 06:55:00+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777532100,london,london_milddrop,buy_down,2,0.06,11.904126551481983,0.66,5.95206327574099,0.02999999999999999,204.3541724671074,False,train
v1_active_fill_mix,2026-04-30 07:45:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777535100,london,london_milddrop,buy_down,2,0.06,12.261250348026444,0.56,-12.480201247098345,-0.061071428571428575,191.87397122000905,False,train
v1_active_fill_mix,2026-04-30 08:10:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777536600,london,london_milddrop,buy_down,2,0.06,11.512438273200543,0.55,9.209950618560432,0.04799999999999999,201.0839218385695,False,train
v1_active_fill_mix,2026-04-30 08:20:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777537200,london,london_milddrop,buy_down,2,0.06,12.065035310314169,0.65,6.310941546933565,0.03138461538461538,207.39486338550307,False,train
v1_active_fill_mix,2026-04-30 08:55:00+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777539300,london,london_milddrop,buy_down,2,0.06,12.443691803130184,0.75,3.981981377001659,0.0192,211.37684476250473,False,train
v1_active_fill_mix,2026-04-30 16:50:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777567800,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,16.91014758100038,0.75,5.411247225920121,0.0256,216.78809198842487,False,train
v1_active_fill_mix,2026-04-30 17:05:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777568700,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,17.34304735907399,0.58,-17.642065416989055,-0.08137931034482758,199.1460265714358,False,train
v1_active_fill_mix,2026-04-30 17:25:02+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777569900,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,15.931682125714865,0.54,-16.226713276191067,-0.08148148148148149,182.91931329524473,False,train
v1_active_fill_mix,2026-04-30 18:05:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777572300,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,14.633545063619579,0.53,12.700812696726425,0.06943396226415094,195.62012599197115,False,train
v1_active_fill_mix,2026-04-30 18:20:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777573200,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,15.649610079357693,0.66,7.8248050396788456,0.04,203.44493103165,False,train
v1_conservative_mix,2026-04-26 06:15:00+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777184100,london,london_milddrop,buy_down,2,0.06,6.0,0.7,2.4857142857142858,0.02485714285714286,102.48571428571428,False,train
v1_conservative_mix,2026-04-26 06:50:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777186200,london,london_milddrop,buy_down,2,0.06,6.149142857142857,0.76,-6.230052631578947,-0.060789473684210525,96.25566165413534,False,train
v1_conservative_mix,2026-04-26 07:25:02+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777188300,london,london_milddrop,buy_down,2,0.06,5.77533969924812,0.73,2.056970303841796,0.021369863013698625,98.31263195797713,False,train
