move_bucket,prob_bucket,count,avg_btc_move_2m,avg_entry_prob,realized_up_rate,avg_pnl_buy_up,avg_pnl_buy_down,edge,best_side,best_avg_pnl
<=-100,0.0~0.2,4.0,-145.26000000000568,0.07,0.0,-0.08,0.060000000000000026,-0.07,buy_down,0.060000000000000026
<=-100,0.2~0.4,0.0,,,,,,,buy_down,
<=-100,0.4~0.6,0.0,,,,,,,buy_down,
<=-100,0.6~0.8,0.0,,,,,,,buy_down,
<=-100,0.8~1.0,0.0,,,,,,,buy_down,
-100~-50,0.0~0.2,18.0,-74.02166666666663,0.1297222222222222,0.05555555555555555,-0.08416666666666667,0.06416666666666666,-0.07416666666666666,buy_down,0.06416666666666666
-100~-50,0.2~0.4,3.0,-69.08999999999651,0.25166666666666665,0.3333333333333333,0.07166666666666668,-0.09166666666666672,0.08166666666666667,buy_up,0.07166666666666668
-100~-50,0.4~0.6,0.0,,,,,,,buy_down,
-100~-50,0.6~0.8,0.0,,,,,,,buy_down,
-100~-50,0.8~1.0,0.0,,,,,,,buy_down,
-50~-30,0.0~0.2,9.0,-42.759999999999614,0.1611111111111111,0.1111111111111111,-0.060000000000000026,0.04000000000000002,-0.04999999999999999,buy_down,0.04000000000000002
-50~-30,0.2~0.4,18.0,-37.87722222222187,0.27,0.2222222222222222,-0.05777777777777778,0.03777777777777774,-0.04777777777777781,buy_down,0.03777777777777774
-50~-30,0.4~0.6,1.0,-31.860000000000582,0.485,0.0,-0.495,0.475,-0.485,buy_down,0.475
-50~-30,0.6~0.8,0.0,,,,,,,buy_down,
-50~-30,0.8~1.0,0.0,,,,,,,buy_down,
-30~-10,0.0~0.2,1.0,-19.480000000010477,0.175,0.0,-0.185,0.16500000000000004,-0.175,buy_down,0.16500000000000004
-30~-10,0.2~0.4,18.0,-22.28333333333204,0.30888888888888894,0.1111111111111111,-0.20777777777777778,0.18777777777777774,-0.19777777777777783,buy_down,0.18777777777777774
-30~-10,0.4~0.6,6.0,-17.641666666665213,0.44916666666666666,0.3333333333333333,-0.12583333333333335,0.10583333333333335,-0.11583333333333334,buy_down,0.10583333333333335
-30~-10,0.6~0.8,1.0,-11.580000000001746,0.635,0.0,-0.645,0.625,-0.635,buy_down,0.625
-30~-10,0.8~1.0,0.0,,,,,,,buy_down,
-10~10,0.0~0.2,0.0,,,,,,,buy_down,
-10~10,0.2~0.4,10.0,-5.666000000001804,0.3605,0.4,0.02949999999999999,-0.04950000000000001,0.039500000000000035,buy_up,0.02949999999999999
-10~10,0.4~0.6,39.0,0.990256410256664,0.5101282051282052,0.5384615384615384,0.018333333333333337,-0.038333333333333344,0.02833333333333321,buy_up,0.018333333333333337
-10~10,0.6~0.8,8.0,2.9399999999968713,0.6625000000000001,0.625,-0.0475,0.027499999999999983,-0.03750000000000009,buy_down,0.027499999999999983
-10~10,0.8~1.0,0.0,,,,,,,buy_down,
10~30,0.0~0.2,0.0,,,,,,,buy_down,
10~30,0.2~0.4,0.0,,,,,,,buy_down,
10~30,0.4~0.6,9.0,19.917777777777196,0.5733333333333334,0.6666666666666666,0.08333333333333336,-0.10333333333333337,0.09333333333333327,buy_up,0.08333333333333336
10~30,0.6~0.8,35.0,18.657714285712323,0.6677142857142857,0.6571428571428571,-0.020571428571428584,0.0005714285714285625,-0.010571428571428565,buy_down,0.0005714285714285625
10~30,0.8~1.0,3.0,23.126666666668218,0.855,0.6666666666666666,-0.19833333333333333,0.17833333333333332,-0.18833333333333335,buy_down,0.17833333333333332
30~50,0.0~0.2,0.0,,,,,,,buy_down,
30~50,0.2~0.4,0.0,,,,,,,buy_down,
30~50,0.4~0.6,2.0,31.8550000000032,0.5725,0.5,-0.08250000000000002,0.0625,-0.07250000000000001,buy_down,0.0625
30~50,0.6~0.8,18.0,39.10277777777568,0.7283333333333334,0.7777777777777778,0.03944444444444442,-0.059444444444444446,0.0494444444444444,buy_up,0.03944444444444442
30~50,0.8~1.0,5.0,45.54199999999837,0.85,1.0,0.14,-0.16000000000000003,0.15000000000000002,buy_up,0.14
50~100,0.0~0.2,0.0,,,,,,,buy_down,
50~100,0.2~0.4,0.0,,,,,,,buy_down,
50~100,0.4~0.6,0.0,,,,,,,buy_down,
50~100,0.6~0.8,3.0,68.97000000000116,0.715,0.6666666666666666,-0.05833333333333331,0.038333333333333296,-0.04833333333333334,buy_down,0.038333333333333296
50~100,0.8~1.0,17.0,70.93882352941215,0.8579411764705882,0.8235294117647058,-0.04441176470588235,0.024411764705882334,-0.034411764705882364,buy_down,0.024411764705882334
>=100,0.0~0.2,0.0,,,,,,,buy_down,
>=100,0.2~0.4,0.0,,,,,,,buy_down,
>=100,0.4~0.6,0.0,,,,,,,buy_down,
>=100,0.6~0.8,0.0,,,,,,,buy_down,
>=100,0.8~1.0,3.0,173.78333333333526,0.965,1.0,0.025000000000000033,-0.04500000000000003,0.03500000000000003,buy_up,0.025000000000000033
