feature,non_null,mean,median,p90
buy_up_size_2m,302,339.0659271523179,234.26999999999998,810.6300000000007
buy_down_size_2m,302,373.17874172185435,264.51,834.420000000001
sell_up_size_2m,302,371.8483443708609,245.505,847.1140000000003
sell_down_size_2m,302,365.22645695364236,225.31,817.3580000000004
size_imbalance_updown_2m,302,-0.02867988219532923,-0.011533421496338438,0.8198744031032285
depth_imbalance_updown_2m,302,0.0028978212148718743,0.0024440949501017785,0.08679173387335123
