strategy,threshold_usd,trades,win_rate,avg_entry_prob,avg_pnl,cum_pnl
momentum,10,95,0.7368421052631579,0.7286842105263156,-0.0018421052631578975,-0.17500000000000027
mean_reversion,10,95,0.2631578947368421,0.7286842105263156,-0.018157894736842116,-1.725000000000001
momentum,20,71,0.7887323943661971,0.7580281690140845,0.020704225352112676,1.47
mean_reversion,20,71,0.2112676056338028,0.7580281690140845,-0.0407042253521127,-2.8900000000000015
momentum,30,48,0.8125,0.7943749999999999,0.008124999999999995,0.3899999999999998
mean_reversion,30,48,0.1875,0.7943749999999999,-0.02812500000000001,-1.3500000000000005
momentum,40,35,0.8571428571428571,0.8242857142857142,0.022857142857142854,0.7999999999999999
mean_reversion,40,35,0.14285714285714285,0.8242857142857142,-0.04285714285714287,-1.5000000000000004
momentum,50,23,0.8260869565217391,0.8532608695652174,-0.03717391304347826,-0.8549999999999999
mean_reversion,50,23,0.17391304347826086,0.8532608695652174,0.017173913043478237,0.39499999999999946
momentum,75,12,0.9166666666666666,0.895,0.01166666666666666,0.13999999999999993
mean_reversion,75,12,0.08333333333333333,0.895,-0.031666666666666676,-0.3800000000000001
momentum,100,3,1.0,0.965,0.025000000000000033,0.0750000000000001
mean_reversion,100,3,0.0,0.965,-0.04500000000000003,-0.1350000000000001
