move_bucket,count,avg_btc_move_2m,avg_entry_prob,realized_up_rate,avg_pnl_buy_up,avg_pnl_buy_down,edge,best_side,best_avg_pnl
<=-100,4,-145.26000000000568,0.07,0.0,-0.08,0.06000000000000003,-0.07,buy_down,0.06000000000000003
-100~-50,21,-73.31714285714233,0.14714285714285713,0.09523809523809523,-0.06190476190476191,0.0419047619047619,-0.0519047619047619,buy_down,0.0419047619047619
-50~-30,28,-39.23178571428538,0.24267857142857144,0.17857142857142858,-0.07410714285714286,0.05410714285714285,-0.06410714285714286,buy_down,0.05410714285714285
-30~-10,26,-20.692692307691548,0.34865384615384615,0.15384615384615385,-0.2048076923076923,0.18480769230769228,-0.1948076923076923,buy_down,0.18480769230769228
-10~10,57,0.09614035087661091,0.5052631578947369,0.5263157894736842,0.011052631578947357,-0.031052631578947377,0.021052631578947323,buy_up,0.011052631578947357
10~30,47,19.18425531914746,0.661595744680851,0.6595744680851063,-0.012021276595744682,-0.007978723404255336,-0.002021276595744692,buy_down,-0.007978723404255336
30~50,25,39.810799999998416,0.7402,0.8,0.04979999999999998,-0.0698,0.059800000000000075,buy_up,0.04979999999999998
50~100,20,70.6435000000005,0.8365,0.8,-0.0465,0.02649999999999998,-0.03649999999999998,buy_down,0.02649999999999998
>=100,3,173.78333333333526,0.965,1.0,0.025000000000000033,-0.04500000000000003,0.03500000000000003,buy_up,0.025000000000000033
