strategy,sizing,first_quote_ts,slug,side,entry_price,qhat_for_side,target_cost,shares,best_price_max_cost,outcome_up,pnl_usd,bankroll_after
rule_drop10_down,full_kelly,2026-04-24 06:45:01+00:00,btc-updown-5m-1777013100,buy_down,0.54,0.55,2.173913043478263,4.025764895330116,69.8814,1.0,-2.2141706924315643,97.78582930756843
rule_drop10_down,full_kelly,2026-04-24 12:50:01+00:00,btc-updown-5m-1777035000,buy_down,0.52,0.55,6.1116143317230325,11.753104484082755,37.632400000000004,0.0,5.523959107518895,103.30978841508733
rule_drop10_down,full_kelly,2026-04-24 16:25:01+00:00,btc-updown-5m-1777047900,buy_down,0.54,0.55,2.245864965545379,4.159009195454405,18.900000000000002,0.0,1.871554137954482,105.1813425530418
rule_drop10_down,full_kelly,2026-04-24 19:50:02+00:00,btc-updown-5m-1777060200,buy_down,0.37,0.55,30.051812158011952,81.22111394057285,292.67,0.0,50.35709064315517,155.53843319619696
rule_drop10_down,full_kelly,2026-04-24 22:15:01+00:00,btc-updown-5m-1777068900,buy_down,0.53,0.55,6.6186567317530685,12.488031569345411,183.3694,0.0,5.744494521898889,161.28292771809586
rule_drop10_down,half_kelly,2026-04-24 06:45:01+00:00,btc-updown-5m-1777013100,buy_down,0.54,0.55,1.0869565217391315,2.012882447665058,69.8814,1.0,-1.1070853462157821,98.89291465378422
rule_drop10_down,half_kelly,2026-04-24 12:50:01+00:00,btc-updown-5m-1777035000,buy_down,0.52,0.55,3.0904035829307595,5.943083813328383,37.632400000000004,0.0,2.7932493922643395,101.68616404604856
rule_drop10_down,half_kelly,2026-04-24 16:25:01+00:00,btc-updown-5m-1777047900,buy_down,0.54,0.55,1.1052843918048767,2.0468229477868087,18.900000000000002,0.0,0.921070326504064,102.60723437255263
rule_drop10_down,half_kelly,2026-04-24 19:50:02+00:00,btc-updown-5m-1777060200,buy_down,0.37,0.55,14.658176338936094,39.616692807935394,292.67,0.0,24.562349540919946,127.16958391347256
rule_drop10_down,half_kelly,2026-04-24 22:15:01+00:00,btc-updown-5m-1777068900,buy_down,0.53,0.55,2.7057358279462274,5.105161939521183,183.3694,0.0,2.3483744921797443,129.5179584056523
rule_drop10_down,quarter_kelly,2026-04-24 06:45:01+00:00,btc-updown-5m-1777013100,buy_down,0.54,0.55,0.5434782608695657,1.006441223832529,69.8814,1.0,-0.5535426731078911,99.44645732689212
rule_drop10_down,quarter_kelly,2026-04-24 12:50:01+00:00,btc-updown-5m-1777035000,buy_down,0.52,0.55,1.5538508957326906,2.9881747994859436,37.632400000000004,0.0,1.4044421557583935,100.8508994826505
rule_drop10_down,quarter_kelly,2026-04-24 16:25:01+00:00,btc-updown-5m-1777047900,buy_down,0.54,0.55,0.5481027145796228,1.0150050269993014,18.900000000000002,0.0,0.4567522621496856,101.3076517448002
rule_drop10_down,quarter_kelly,2026-04-24 19:50:02+00:00,btc-updown-5m-1777060200,buy_down,0.37,0.55,7.236260838914302,19.557461726795413,292.67,0.0,12.125626270613157,113.43327801541335
rule_drop10_down,quarter_kelly,2026-04-24 22:15:01+00:00,btc-updown-5m-1777068900,buy_down,0.53,0.55,1.206737000163973,2.2768622644603265,183.3694,0.0,1.0473566416517501,114.4806346570651
rule_drop10_down,fixed_10pct,2026-04-24 02:50:02+00:00,btc-updown-5m-1776999000,buy_down,0.93,0.55,10.0,10.75268817204301,44.454,0.0,0.64516129032258,100.64516129032258
rule_drop10_down,fixed_10pct,2026-04-24 02:55:02+00:00,btc-updown-5m-1776999300,buy_down,0.72,0.55,10.064516129032258,13.978494623655914,269.5104,0.0,3.774193548387097,104.41935483870968
rule_drop10_down,fixed_10pct,2026-04-24 03:15:01+00:00,btc-updown-5m-1777000500,buy_down,0.9,0.55,10.441935483870969,11.60215053763441,683.028,0.0,1.0441935483870968,105.46354838709678
rule_drop10_down,fixed_10pct,2026-04-24 03:20:01+00:00,btc-updown-5m-1777000800,buy_down,0.84,0.55,10.546354838709679,12.555184331797237,29.316,0.0,1.8832776497695864,107.34682603686636
rule_drop10_down,fixed_10pct,2026-04-24 03:30:01+00:00,btc-updown-5m-1777001400,buy_down,0.88,0.55,10.734682603686636,12.198502958734814,60.8256,0.0,1.3418353254608295,108.6886613623272
rule_drop10_down,fixed_10pct,2026-04-24 03:40:01+00:00,btc-updown-5m-1777002000,buy_down,0.85,0.55,10.86886613623272,12.786901336744377,783.649,0.0,1.790166187144213,110.4788275494714
rule_drop10_down,fixed_10pct,2026-04-24 04:00:02+00:00,btc-updown-5m-1777003200,buy_down,0.76,0.55,11.04788275494714,14.536687835456764,181.0092,0.0,3.3434382021550553,113.82226575162646
rule_drop10_down,fixed_10pct,2026-04-24 04:25:01+00:00,btc-updown-5m-1777004700,buy_down,0.92,0.55,11.382226575162647,12.371985407785486,23.0,0.0,0.8660389785449835,114.68830473017144
rule_drop10_down,fixed_10pct,2026-04-24 06:00:01+00:00,btc-updown-5m-1777010400,buy_down,0.73,0.55,11.468830473017144,15.710726675365951,145.5839,0.0,4.084788935595147,118.77309366576658
rule_drop10_down,fixed_10pct,2026-04-24 06:20:02+00:00,btc-updown-5m-1777011600,buy_down,0.78,0.55,11.87730936657666,15.227319700739306,607.2768,0.0,3.197737137155254,121.97083080292184
rule_drop10_down,fixed_10pct,2026-04-24 06:25:02+00:00,btc-updown-5m-1777011900,buy_down,0.88,0.55,12.197083080292185,13.860321682150209,90.2,0.0,1.5246353850365224,123.49546618795836
rule_drop10_down,fixed_10pct,2026-04-24 06:30:01+00:00,btc-updown-5m-1777012200,buy_down,0.76,0.55,12.349546618795836,16.249403445783994,137.066,1.0,-12.512040653253676,110.98342553470468
rule_drop10_down,fixed_10pct,2026-04-24 06:35:01+00:00,btc-updown-5m-1777012500,buy_down,0.83,0.55,11.098342553470468,13.371497052374059,79.65509999999999,0.0,2.1394395283798495,113.12286506308453
rule_drop10_down,fixed_10pct,2026-04-24 06:45:01+00:00,btc-updown-5m-1777013100,buy_down,0.54,0.55,11.312286506308453,20.948678715386023,69.8814,1.0,-11.521773293462314,101.60109176962222
rule_drop10_down,fixed_10pct,2026-04-24 06:55:01+00:00,btc-updown-5m-1777013700,buy_down,0.7,0.55,10.160109176962223,14.514441681374604,61.488,0.0,4.209188087598635,105.81027985722085
rule_drop10_down,fixed_10pct,2026-04-24 07:30:01+00:00,btc-updown-5m-1777015800,buy_down,0.77,0.55,10.581027985722086,13.74159478665206,644.7287,0.0,3.0231508530634534,108.8334307102843
