strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown
rule_drop10_down,fixed_20pct,79,526.1635812760607,4.261635812760606,0.1344030326080729,0.4674185002552171
rule_interval_best,fixed_20pct,51,400.242360013125,3.00242360013125,0.17966411243941885,0.5960738892730832
rule_drop10_down,fixed_10pct,79,277.55608562704373,1.7755608562704372,0.13440303260807288,0.23397059295361772
rule_drop20_down,fixed_20pct,68,261.07163548092126,1.6107163548092127,0.08555496883652614,0.46922817959194535
rule_interval_best,fixed_10pct,51,225.0912486353849,1.2509124863538488,0.17966411243941885,0.3356309898002663
rule_drop20_down,fixed_10pct,68,177.59799906481416,0.7759799906481417,0.08555496883652614,0.23397059295361766
rule_drop30_down,fixed_20pct,53,174.49995903338322,0.7449995903338322,0.055175095169056027,0.3099051696025812
rule_drop10_down,full_kelly,5,161.28292771809586,0.6128292771809587,0.6524522345277062,0.022141706924315656
rule_interval_best,full_kelly,4,152.659153426002,0.52659153426002,0.5896037546980942,0.022141706924315656
rule_drop30_down,fixed_10pct,53,137.1049629825294,0.3710496298252941,0.05517509516905604,0.1581440707214436
rule_drop10_down,half_kelly,5,129.5179584056523,0.295179584056523,0.6524522345277062,0.011070853462157828
rule_interval_best,half_kelly,4,125.96018865400669,0.2596018865400669,0.5896037546980941,0.011070853462157828
rule_rise30to50_up,fixed_20pct,25,124.7974635917863,0.24797463591786295,0.05877240809330286,0.36323518089284873
rule_drop10_down,quarter_kelly,5,114.4806346570651,0.14480634657065106,0.6524522345277063,0.005535426731078843
rule_interval_best,quarter_kelly,4,112.88638581887781,0.1288638581887782,0.5896037546980942,0.005535426731078843
rule_drop20_down,full_kelly,3,111.53558905286457,0.11535589052864559,0.8683680051604578,0.0
rule_rise30to50_up,fixed_10pct,25,111.28224220157948,0.11282242201579473,0.058772408093302884,0.18819745402926258
rule_drop20_down,half_kelly,3,105.67190694156432,0.0567190694156432,0.8683680051604581,0.0
rule_drop30_down,full_kelly,1,105.64903846153847,0.05649038461538458,0.9038461538461539,0.0
rule_drop30_down,half_kelly,1,102.82451923076923,0.02824519230769229,0.9038461538461539,0.0
rule_drop20_down,quarter_kelly,3,102.81215874483006,0.02812158744830051,0.8683680051604581,0.0
rule_drop30_down,quarter_kelly,1,101.41225961538461,0.014122596153846034,0.9038461538461539,0.0
rule_rise30to50_up,full_kelly,0,100.0,0.0,,0.0
rule_rise30to50_up,half_kelly,0,100.0,0.0,,0.0
rule_rise30to50_up,quarter_kelly,0,100.0,0.0,,0.0
model_value_logistic,quarter_kelly,153,67.00352209029622,-0.3299647790970378,-0.033858965156075685,0.696627145250815
model_value_logistic_edge2pct,quarter_kelly,135,63.903479587977344,-0.3609652041202266,-0.07909443670724846,0.699358623151739
model_value_logistic,fixed_10pct,153,34.344760996336476,-0.6565523900366352,-0.0338589651560757,0.8246426245485998
model_value_random_forest_edge2pct,quarter_kelly,139,23.0931607587499,-0.769068392412501,-0.22908051229331472,0.8785980920587646
model_value_random_forest,quarter_kelly,152,22.993213096719987,-0.7700678690328001,-0.22798548893195522,0.881766936876175
model_value_logistic,half_kelly,153,21.892600674980905,-0.7810739932501909,-0.0338589651560757,0.9363185195154149
model_value_logistic_edge2pct,half_kelly,135,20.337571719962632,-0.7966242828003737,-0.07909443670724846,0.9369680324645155
model_value_logistic_edge2pct,fixed_10pct,135,19.603974554411934,-0.8039602544558806,-0.07909443670724846,0.887021575676796
model_value_baseline_edge2pct,fixed_10pct,159,4.705680357319915,-0.9529431964268008,-0.09862355626805347,0.9688801561376307
model_value_baseline_edge2pct,quarter_kelly,159,3.7115110000509035,-0.962884889999491,-0.09862355626805347,0.962884889999491
model_value_baseline,quarter_kelly,164,3.62949056849488,-0.9637050943150512,-0.11377180748941376,0.9637050943150512
model_value_baseline,fixed_10pct,164,3.484428279168014,-0.9651557172083198,-0.1137718074894138,0.9728562719890368
model_value_random_forest_edge2pct,half_kelly,139,3.159100674208648,-0.9684089932579135,-0.22908051229331472,0.9895745001427191
model_value_random_forest,half_kelly,152,3.1292074799407397,-0.9687079252005926,-0.22798548893195517,0.9901174939206168
model_value_logistic,fixed_20pct,153,2.8099968436710396,-0.9719000315632896,-0.03385896515607571,0.9910019696051333
model_value_random_forest_edge2pct,fixed_10pct,139,2.298689496259236,-0.9770131050374077,-0.22908051229331472,0.9839121147817925
model_value_random_forest,fixed_10pct,152,1.6476007008289988,-0.98352399299171,-0.22798548893195522,0.9884710835744256
model_value_logistic_edge2pct,fixed_20pct,135,1.0954668155142202,-0.9890453318448578,-0.07909443670724846,0.9955971074630589
model_value_logistic,full_kelly,153,0.0205453790785156,-0.9997945462092148,-0.033858965156075706,0.9999277470642112
model_value_random_forest_edge2pct,fixed_20pct,139,0.019442814119619987,-0.9998055718588038,-0.22908051229331475,0.9998936130838295
model_value_baseline_edge2pct,half_kelly,159,0.018496129080080942,-0.9998150387091992,-0.09862355626805347,0.9998150387091992
model_value_baseline,half_kelly,164,0.017612406277694677,-0.9998238759372231,-0.11377180748941378,0.9998238759372231
model_value_logistic_edge2pct,full_kelly,135,0.016240040187930876,-0.9998375995981207,-0.07909443670724844,0.9999407865656553
model_value_baseline_edge2pct,fixed_20pct,159,0.010463915060680659,-0.9998953608493932,-0.09862355626805348,0.9999239223381955
model_value_random_forest,fixed_20pct,152,0.010446754943339374,-0.9998955324505666,-0.22798548893195522,0.9999469081613027
model_value_baseline,fixed_20pct,164,0.005084494661847948,-0.9999491550533816,-0.1137718074894138,0.9999630332946046
model_value_random_forest,full_kelly,152,0.0017765327247882322,-0.9999822346727522,-0.22798548893195522,0.9999961628197305
model_value_random_forest_edge2pct,full_kelly,139,0.0016301353007307229,-0.9999836986469927,-0.22908051229331475,0.9999961853708903
model_value_baseline_edge2pct,full_kelly,159,3.584501131809328e-10,-0.9999999999964155,-0.0986235562680535,0.9999999999964154
model_value_baseline,full_kelly,164,3.2768876151292207e-10,-0.9999999999967231,-0.11377180748941376,0.9999999999967231
