model,test_rows,accuracy,brier,log_loss,trades,trade_ratio,avg_pnl,cum_pnl,win_rate
baseline_train_up_rate,70,0.5285714285714286,0.24935380579452954,0.691854453995454,67,0.9571428571428572,-0.008059701492537303,-0.5399999999999994,0.3283582089552239
random_forest,70,0.6285714285714286,0.21072094045633694,0.6057475166185144,63,0.9,-0.010317460317460326,-0.6500000000000006,0.47619047619047616
logistic_regression,70,0.6285714285714286,0.20800361899852965,0.5981650717927945,62,0.8857142857142857,-0.02419354838709676,-1.4999999999999991,0.41935483870967744
