strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown
rule_drop10_to50_down,full_kelly,42,635.3425924029473,5.353425924029473,0.22591750550732173,0.8787921251249595
rule_drop10_down,fixed_20pct,79,526.1635812760605,4.2616358127606055,0.1344030326080729,0.4674185002552172
rule_drop10_to50_down,fixed_20pct,54,481.8266807679183,3.8182668076791826,0.18009643609390816,0.4950344756149282
rule_drop10_down_combo75_neg,full_kelly,8,442.074593788129,3.42074593788129,0.4944652056739741,0.10863095238095241
rule_drop10_to50_down,half_kelly_capped20,42,434.84434056420514,3.348443405642051,0.22591750550732173,0.4568950095719455
rule_drop10_to50_down,half_kelly,42,429.9228209796378,3.299228209796378,0.22591750550732173,0.6529872067156427
rule_drop10_down_pricecap80,fixed_20pct,47,409.37507868679523,3.093750786867952,0.18505792258732626,0.5489026372748951
rule_drop10_down_size_strong_neg,full_kelly,20,341.7679695782701,2.417679695782701,0.2263336213856888,0.7045358449965637
rule_drop10_to30_down,fixed_20pct,26,333.9229553611615,2.3392295536116148,0.2959061358491456,0.4096112256073278
rule_drop10_down,half_kelly_capped20,59,314.6046383249991,2.146046383249991,0.13650075848373822,0.5353759150856713
rule_drop10_down_pricecap80,half_kelly_capped20,33,295.59434764824044,1.9559434764824046,0.2169202153036376,0.5429319834737124
rule_drop10_down_pricecap80,half_kelly,33,289.2908292411505,1.892908292411505,0.21692021530363753,0.6652228001343321
rule_drop10_down_size_strong_neg,half_kelly,20,288.04180610713235,1.8804180610713233,0.22633362138568874,0.34764674409782903
rule_drop10_down_pricecap75,fixed_20pct,34,282.2433738958035,1.8224337389580345,0.18906340668253005,0.612268062245266
rule_drop10_to50_down,quarter_kelly_capped20,42,278.28978346777876,1.7828978346777875,0.22591750550732173,0.3693205722838781
rule_drop10_to50_down,quarter_kelly,42,278.28978346777876,1.7828978346777875,0.22591750550732173,0.3693205722838781
rule_drop10_down,fixed_10pct,79,277.55608562704373,1.7755608562704372,0.1344030326080729,0.23397059295361772
rule_drop10_down_good_liq250,fixed_20pct,39,272.23814404370347,1.7223814404370348,0.1592887879731655,0.44693734067549357
rule_drop10_down_pricecap80,full_kelly,33,270.162470233697,1.7016247023369697,0.2169202153036376,0.9227327982176549
rule_drop10_down_combo80_neg,fixed_20pct,24,267.2316571395425,1.6723165713954251,0.254251517500134,0.38723230143324433
rule_drop10_down_size_strong_neg,fixed_20pct,36,264.1205049904421,1.6412050499044208,0.17087327801514246,0.20367585932620047
rule_drop20_down,fixed_20pct,68,261.0716354809212,1.6107163548092118,0.08555496883652614,0.46922817959194535
rule_drop10_to50_down,fixed_10pct,54,257.36116104894256,1.5736116104894258,0.18009643609390816,0.26086452723930414
rule_drop10_down_combo75_neg,fixed_20pct,17,242.36965920289174,1.4236965920289175,0.319639743142434,0.3872323014332444
rule_drop10_down_combo75_neg,half_kelly,8,241.34779044598662,1.413477904459866,0.4944652056739742,0.054315476190476206
rule_drop10_down_combo80_liq,fixed_20pct,23,239.52448866309723,1.3952448866309721,0.23595392118775127,0.47668985669660857
rule_drop10_down_size_neg,fixed_20pct,40,237.65858722798245,1.3765858722798243,0.14289839313600267,0.3523937243444386
rule_drop10_down_pricecap80,fixed_10pct,47,232.77023637890218,1.327702363789022,0.1850579225873263,0.3028959972431036
rule_drop10_down,half_kelly,59,230.42518328400044,1.3042518328400043,0.13650075848373822,0.8146106333022177
