strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown
baseline_rule_drop10_down,fixed_25pct,79,604.1918764580342,5.041918764580342,0.1344030326080729,0.5777233851333221
tiered_down_score_signal,fixed_25pct,79,604.1918764580342,5.041918764580342,0.1344030326080729,0.5777233851333221
baseline_rule_drop10_down,fixed_20pct,79,526.1635812760605,4.2616358127606055,0.1344030326080729,0.4674185002552172
tiered_down_score_signal,fixed_20pct,79,526.1635812760605,4.2616358127606055,0.1344030326080729,0.4674185002552172
value_down_margin2,fixed_25pct,35,510.4258623792078,4.104258623792078,0.231689452560251,0.3826821773485515
rolling_win_filter_down,fixed_25pct,71,501.8322355738279,4.018322355738279,0.13001869860016935,0.5607116870367029
rolling_win_filter_down,fixed_20pct,71,433.3269689946237,3.3332696899462375,0.13001869860016935,0.4549970691976854
value_down_margin5,fixed_25pct,30,428.2613500269185,3.2826135002691847,0.24115184614318647,0.4032594381035997
value_down_margin2,fixed_20pct,35,415.971481494276,3.1597148149427605,0.231689452560251,0.30990516960258124
baseline_rule_drop10_down,fixed_15pct,79,410.15063727597413,3.101506372759741,0.1344030326080729,0.3468782763213019
tiered_down_score_signal,fixed_15pct,79,410.15063727597413,3.101506372759741,0.1344030326080729,0.3468782763213019
value_down_margin2,full_kelly_capped20,35,404.88998997133,3.0488998997133,0.231689452560251,0.30990516960258124
tiered_down_score_signal,tiered_score,79,395.4276585337429,2.954276585337429,0.1344030326080729,0.37065145701650287
pressure_down_confirm,fixed_25pct,37,388.7624899499808,2.887624899499808,0.18298025045678828,0.37873044815412477
value_down_margin2,half_kelly_capped20,35,380.23459358477726,2.8023459358477725,0.231689452560251,0.32088647042517987
value_down_margin5,fixed_20pct,30,358.60591434754446,2.5860591434754445,0.24115184614318644,0.3284312053179481
value_down_margin5,full_kelly_capped20,30,358.60591434754446,2.5860591434754445,0.24115184614318644,0.3284312053179481
value_down_margin5,half_kelly_capped20,30,349.09489300991515,2.4909489300991514,0.2411518461431865,0.3346837214394569
rolling_win_filter_down,fixed_15pct,71,341.42599330761124,2.4142599330761123,0.13001869860016932,0.3468782763213016
pressure_down_strong,fixed_25pct,28,322.50989890353634,2.2250989890353634,0.21626407101467188,0.4032594381035997
value_down_margin2,fixed_15pct,35,321.4210275348807,2.214210275348807,0.231689452560251,0.2349629551460317
pressure_down_confirm,fixed_20pct,37,312.9497340359826,2.129497340359826,0.18298025045678826,0.3062628663525356
rolling_pnl_filter_down,fixed_25pct,47,308.472538349949,2.08472538349949,0.13017890320761308,0.41873688215773935
value_down_margin5,fixed_15pct,30,284.18500366393005,1.8418500366393005,0.24115184614318647,0.2504704628119905
baseline_rule_drop10_down,fixed_10pct,79,277.55608562704373,1.7755608562704372,0.1344030326080729,0.23397059295361772
tiered_down_score_signal,fixed_10pct,79,277.55608562704373,1.7755608562704372,0.1344030326080729,0.23397059295361772
rolling_pnl_filter_down,fixed_20pct,47,277.02140983654283,1.7702140983654284,0.1301789032076131,0.3405788064538857
value_down_margin2_book,fixed_25pct,15,274.95446044503825,1.7495446044503824,0.3296597937854207,0.25373134328358216
pressure_down_strong,fixed_20pct,28,273.81725507636867,1.7381725507636867,0.21626407101467185,0.32843120531794817
price_interval_down_65_80,fixed_25pct,36,266.6075265612201,1.6660752656122009,0.13309818101372958,0.5455381721672582
