move_bucket,count,avg_btc_move_2m,avg_buy_up_price,avg_buy_down_price,avg_buy_up_size,avg_buy_down_size,realized_up_rate,avg_pnl_buy_up,avg_pnl_buy_down,best_side,best_avg_pnl
<=-100,8,-145.2950000000019,0.051250000000000004,0.9528571428571428,313.9125,1084.7471428571428,0.0,-0.06125,0.037142857142857165,buy_down,0.037142857142857165
-100~-50,17,-66.25352941176457,0.15941176470588236,0.8505882352941176,195.55941176470586,268.3123529411764,0.17647058823529413,0.007058823529411764,-0.03705882352941178,buy_up,0.007058823529411764
-50~-30,23,-38.63130434782753,0.2034782608695652,0.8069565217391304,246.2495652173913,193.65347826086955,0.34782608695652173,0.1343478260869565,-0.16478260869565217,buy_up,0.1343478260869565
-30~-10,50,-18.7624000000002,0.313,0.6981999999999999,231.4236,241.2084,0.28,-0.04300000000000002,0.011799999999999998,buy_down,0.011799999999999998
-10~10,68,0.7866176470589006,0.5022058823529412,0.509264705882353,378.7105882352941,340.07691176470587,0.45588235294117646,-0.05632352941176472,0.024852941176470574,buy_down,0.024852941176470574
10~30,40,19.55275000000038,0.67375,0.33799999999999997,326.95325,295.2205,0.7,0.016249999999999987,-0.048000000000000015,buy_up,0.016249999999999987
30~50,20,38.222999999999594,0.757,0.252,320.662,228.734,0.8,0.03299999999999999,-0.06200000000000002,buy_up,0.03299999999999999
50~100,17,69.21470588235516,0.8670588235294118,0.14176470588235296,250.0935294117647,176.78117647058824,0.8235294117647058,-0.05352941176470588,0.024705882352941178,buy_down,0.024705882352941178
>=100,5,187.20799999999872,0.914,0.096,688.168,397.706,0.8,-0.124,0.09399999999999999,buy_down,0.09399999999999999
