strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown,source_layer
rolling_winrate_20,fixed_25pct,0,100.0,0.0,,0.0,extended_classic
pressure_imbalance_2m,fixed_20pct,0,100.0,0.0,,0.0,extended_classic
value_down_margin2_q,fixed_25pct,0,100.0,0.0,,0.0,extended_classic
rule_rise30to50_up_good_liq250,quarter_kelly_capped20,0,100.0,0.0,,0.0,optimizer
rule_rise30to50_up_good_liq250,full_kelly,0,100.0,0.0,,0.0,optimizer
rule_rise30to50_up_good_liq250,half_kelly_capped20,0,100.0,0.0,,0.0,optimizer
rule_rise30to50_up_good_liq250,quarter_kelly,0,100.0,0.0,,0.0,optimizer
rule_rise30to50_up_good_liq250,half_kelly,0,100.0,0.0,,0.0,optimizer
value_down_margin5_q,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin5_q,half_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin5_q,full_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin5_q,fixed_25pct,0,100.0,0.0,,0.0,classic
value_down_margin5_q,fixed_20pct,0,100.0,0.0,,0.0,classic
value_down_margin2_q,fixed_10pct,0,100.0,0.0,,0.0,classic
value_down_margin2_book_q,fixed_15pct,0,100.0,0.0,,0.0,classic
value_down_margin2_book_q,fixed_10pct,0,100.0,0.0,,0.0,classic
rule_drop30_down,full_kelly,0,100.0,0.0,,0.0,bankroll
pressure_imbalance_2m,fixed_15pct,0,100.0,0.0,,0.0,extended_classic
pressure_imbalance_2m,fixed_10pct,0,100.0,0.0,,0.0,extended_classic
value_up_margin2_q,fixed_15pct,0,100.0,0.0,,0.0,extended_classic
value_up_margin2_q,fixed_20pct,0,100.0,0.0,,0.0,extended_classic
value_up_margin2_q,fixed_25pct,0,100.0,0.0,,0.0,extended_classic
value_down_margin2_book_q,fixed_25pct,0,100.0,0.0,,0.0,extended_classic
rolling_mean_pnl_20,fixed_20pct,0,100.0,0.0,,0.0,extended_classic
rolling_mean_pnl_20,fixed_15pct,0,100.0,0.0,,0.0,extended_classic
rolling_mean_pnl_20,fixed_25pct,0,100.0,0.0,,0.0,extended_classic
rolling_mean_pnl_20,fixed_10pct,0,100.0,0.0,,0.0,extended_classic
value_down_margin2_q,fixed_20pct,0,100.0,0.0,,0.0,extended_classic
