strategy,sizing,trades_prior,ending_bankroll_prior,total_return_prior,avg_trade_return_on_cost_prior,max_drawdown_prior,source_layer,prior_rank,trades_latest,ending_bankroll_latest,total_return_latest,avg_trade_return_on_cost_latest,max_drawdown_latest,delta_ending_bankroll,delta_total_return
rule_drop10_to50_down,full_kelly,42,635.3425924029473,5.353425924029473,0.2259175055073217,0.8787921251249595,optimizer,1,41,31.867675770336056,-0.6813232422966394,-0.0088751779198839,0.8066823523085721,-603.4749166326112,-6.034749166326113
classic_trend_down_basic,fixed_25pct,79,604.1918764580342,5.041918764580342,0.1344030326080729,0.5777233851333221,classic,2,97,10.248404071013764,-0.8975159592898624,-0.0328865553394153,0.9531570271254116,-593.9434723870205,-5.939434723870204
baseline_rule_drop10_down,fixed_25pct,79,604.1918764580342,5.041918764580342,0.1344030326080729,0.5777233851333221,extended_classic,3,97,10.248404071013764,-0.8975159592898624,-0.0328865553394153,0.9531570271254116,-593.9434723870205,-5.939434723870204
tiered_down_score_signal,fixed_25pct,79,604.1918764580342,5.041918764580342,0.1344030326080729,0.5777233851333221,extended_classic,4,97,10.248404071013764,-0.8975159592898624,-0.0328865553394153,0.9531570271254116,-593.9434723870205,-5.939434723870204
classic_trend_down_midrange,fixed_25pct,54,550.752435134357,4.50752435134357,0.1800964360939081,0.6013652178718825,classic,5,73,12.001843209950785,-0.8799815679004921,-0.0400452662335356,0.9255517616742532,-538.7505919244062,-5.387505919244062
rule_drop10_down,fixed_20pct,79,526.1635812760607,4.261635812760606,0.1344030326080729,0.4674185002552171,bankroll,6,97,19.320332325550165,-0.8067966767444983,-0.0328865553394153,0.9001333407972654,-506.8432489505105,-5.0684324895051045
rule_drop10_down,fixed_20pct,79,526.1635812760605,4.2616358127606055,0.1344030326080729,0.4674185002552172,optimizer,7,97,19.320332325550165,-0.8067966767444983,-0.0328865553394153,0.9001333407972654,-506.8432489505104,-5.068432489505104
classic_trend_down_basic,fixed_20pct,79,526.1635812760605,4.2616358127606055,0.1344030326080729,0.4674185002552172,classic,8,97,19.320332325550165,-0.8067966767444983,-0.0328865553394153,0.9001333407972654,-506.8432489505104,-5.068432489505104
baseline_rule_drop10_down,fixed_20pct,79,526.1635812760605,4.2616358127606055,0.1344030326080729,0.4674185002552172,extended_classic,9,97,19.320332325550165,-0.8067966767444983,-0.0328865553394153,0.9001333407972654,-506.8432489505104,-5.068432489505104
tiered_down_score_signal,fixed_20pct,79,526.1635812760605,4.2616358127606055,0.1344030326080729,0.4674185002552172,extended_classic,10,97,19.320332325550165,-0.8067966767444983,-0.0328865553394153,0.9001333407972654,-506.8432489505104,-5.068432489505104
value_down_margin2,fixed_25pct,35,510.4258623792078,4.104258623792078,0.231689452560251,0.3826821773485515,extended_classic,11,35,41.9643997849621,-0.5803560021503791,0.0072609975383147,0.740058088225668,-468.4614625942457,-4.684614625942457
rolling_win_filter_down,fixed_25pct,71,501.8322355738279,4.018322355738279,0.1300186986001693,0.5607116870367029,extended_classic,12,84,7.553027808452893,-0.924469721915471,-0.0624727321636796,0.9676987941934913,-494.279207765375,-4.94279207765375
rule_drop10_to50_down,fixed_20pct,54,481.8266807679183,3.818266807679183,0.1800964360939081,0.4950344756149282,optimizer,13,73,21.69496209982152,-0.7830503790017849,-0.0400452662335356,0.8566453740028949,-460.13171866809677,-4.6013171866809675
classic_trend_down_midrange,fixed_20pct,54,481.8266807679183,3.818266807679183,0.1800964360939081,0.4950344756149282,classic,14,73,21.69496209982152,-0.7830503790017849,-0.0400452662335356,0.8566453740028949,-460.13171866809677,-4.6013171866809675
classic_trend_down_price,fixed_25pct,47,471.2848460134428,3.712848460134428,0.1850579225873263,0.6527046027654805,classic,15,57,66.15796262338567,-0.3384203737661433,0.0602040653613855,0.7967676773114541,-405.1268833900571,-4.051268833900571
rule_drop10_down_combo75_neg,full_kelly,8,442.074593788129,3.42074593788129,0.4944652056739741,0.1086309523809524,optimizer,16,11,38.02187711391635,-0.6197812288608365,-0.1425118161182552,0.6452039690129039,-404.05271667421266,-4.040527166742127
rule_drop10_to50_down,half_kelly_capped20,42,434.84434056420514,3.348443405642051,0.2259175055073217,0.4568950095719455,optimizer,17,41,70.58203480715467,-0.2941796519284533,-0.0088751779198839,0.526272856806883,-364.26230575705046,-3.6426230575705043
rolling_win_filter_down,fixed_20pct,71,433.3269689946237,3.333269689946237,0.1300186986001693,0.4549970691976854,extended_classic,18,84,14.776086188895158,-0.8522391381110485,-0.0624727321636796,0.926126072937378,-418.5508828057286,-4.185508828057285
rule_drop10_to50_down,half_kelly,42,429.9228209796378,3.299228209796378,0.2259175055073217,0.6529872067156427,optimizer,19,41,75.48996049517243,-0.2451003950482757,-0.0088751779198839,0.5130495997846192,-354.4328604844653,-3.5443286048446536
value_down_margin5,fixed_25pct,30,428.2613500269185,3.2826135002691847,0.2411518461431864,0.4032594381035997,extended_classic,20,28,61.0385039422361,-0.389614960577639,0.0569394215651192,0.6381927852442725,-367.2228460846824,-3.672228460846824
