strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown,source_layer,avg_entry_minute,trades_from_logs,win_rate,loss_rate,profit_factor,median_trade_return_on_cost,p10_trade_return_on_cost,worst_trade_return_on_cost,max_consecutive_losses,downside_deviation,score_end,score_win,score_pf,score_dd,score_streak,score_tail,robustness_score
latest_m4_rise30to50_up,fixed_25pct,25,205.85599013380627,1.0585599013380629,0.1166832783365356,0.0805309278398842,latest_regime,4.0,25.0,0.96,0.04,7.78564039319271,0.09999999999999998,0.02487113402061859,-1.0129870129870129,1.0,1.0129870129870129,0.9496124031007752,0.9515503875968992,0.9844961240310077,0.9341085271317829,0.9244186046511628,0.9534883720930233,0.950484496124031
latest_m4_rise30to50_up,fixed_20pct,25,175.2095771134628,0.7520957711346281,0.1166832783365356,0.0914413436914988,latest_regime,4.0,25.0,0.96,0.04,5.82112673804249,0.09999999999999999,0.024871134020618586,-1.0129870129870129,1.0,1.0129870129870129,0.9418604651162791,0.9515503875968992,0.9728682170542635,0.9302325581395349,0.9244186046511628,0.9457364341085271,0.9454457364341086
latest_m4_rise30to50_up,fixed_15pct,25,148.464840707039,0.48464840707039,0.1166832783365356,0.1040801936476165,latest_regime,4.0,25.0,0.96,0.04,4.106720558143527,0.09999999999999999,0.02487113402061859,-1.0129870129870129,1.0,1.0129870129870129,0.9263565891472868,0.9515503875968992,0.9689922480620154,0.9186046511627907,0.9244186046511628,0.9534883720930233,0.9407945736434108
latest_m4_rise30to50_up,fixed_10pct,25,127.59722869064215,0.2759722869064216,0.1166832783365356,0.1012987012987013,latest_regime,4.0,25.0,0.96,0.04,3.074204273085766,0.09999999999999998,0.02487113402061859,-1.0129870129870129,1.0,1.0129870129870129,0.8914728682170543,0.9515503875968992,0.9651162790697675,0.9263565891472868,0.9244186046511628,0.9534883720930233,0.9363372093023256
rule_drop10_down,half_kelly,4,117.75307189616888,0.1775307189616888,0.5462021365149834,0.0216780409474106,bankroll,,4.0,0.75,0.25,7.803980113306529,1.0018382352941175,-0.4308546059933407,-1.0188679245283019,1.0,1.0188679245283019,0.877906976744186,0.8313953488372093,0.9903100775193798,0.9476744186046512,0.9244186046511628,0.9321705426356589,0.9174418604651162
rule_interval_best,half_kelly,4,117.75307189616888,0.1775307189616888,0.5462021365149834,0.0216780409474106,bankroll,,4.0,0.75,0.25,7.803980113306529,1.0018382352941175,-0.4308546059933407,-1.0188679245283019,1.0,1.0188679245283019,0.877906976744186,0.8313953488372093,0.9903100775193798,0.9476744186046512,0.9244186046511628,0.9321705426356589,0.9174418604651162
rule_drop10_down,full_kelly,4,133.1167924820262,0.3311679248202619,0.5462021365149834,0.0433560818948214,bankroll,,4.0,0.75,0.25,6.489284107226533,1.0018382352941175,-0.4308546059933407,-1.0188679245283019,1.0,1.0188679245283019,0.9011627906976745,0.8313953488372093,0.9786821705426356,0.939922480620155,0.9244186046511628,0.9321705426356589,0.9170542635658915
rule_interval_best,full_kelly,4,133.1167924820262,0.3311679248202619,0.5462021365149834,0.0433560818948214,bankroll,,4.0,0.75,0.25,6.489284107226533,1.0018382352941175,-0.4308546059933407,-1.0188679245283019,1.0,1.0188679245283019,0.9011627906976745,0.8313953488372093,0.9786821705426356,0.939922480620155,0.9244186046511628,0.9321705426356589,0.9170542635658915
rule_drop10_down,quarter_kelly,4,109.5465179631288,0.0954651796312879,0.5462021365149834,0.0108390204737053,bankroll,,4.0,0.75,0.25,8.95286033750135,1.0018382352941178,-0.4308546059933407,-1.0188679245283019,1.0,1.0188679245283019,0.8507751937984496,0.8313953488372093,0.998062015503876,0.9554263565891473,0.9244186046511628,0.9321705426356589,0.9164728682170543
rule_interval_best,quarter_kelly,4,109.5465179631288,0.0954651796312879,0.5462021365149834,0.0108390204737053,bankroll,,4.0,0.75,0.25,8.95286033750135,1.0018382352941178,-0.4308546059933407,-1.0188679245283019,1.0,1.0188679245283019,0.8507751937984496,0.8313953488372093,0.998062015503876,0.9554263565891473,0.9244186046511628,0.9321705426356589,0.9164728682170543
classic_trend_up_score3,fixed_10pct,11,103.48147105148024,0.0348147105148024,0.045364338942906,0.1705925940256925,classic,,11.0,0.8181818181818182,0.18181818181818182,1.1620693229443473,0.20731707317073178,-1.0119047619047619,-1.0140845070422535,1.0,1.01299522076579,0.813953488372093,0.9205426356589147,0.8914728682170543,0.9108527131782945,0.9244186046511628,0.8992248062015504,0.8952519379844961
classic_trend_up_score3,fixed_15pct,11,103.95336372982536,0.0395336372982537,0.045364338942906,0.251765641928494,classic,,11.0,0.8181818181818182,0.18181818181818182,1.1194575650309544,0.20731707317073178,-1.011904761904762,-1.0140845070422535,1.0,1.01299522076579,0.8178294573643411,0.9205426356589147,0.8837209302325582,0.8604651162790697,0.9244186046511628,0.8934108527131783,0.8836240310077519
latest_m1_drop20_down,fixed_10pct,52,144.96739206387662,0.4496739206387661,0.1020107297970422,0.2417776461162206,latest_regime,1.0,52.0,0.8076923076923077,0.19230769230769232,1.3683205785696797,0.30263157894736836,-1.0134779516358463,-1.015625,2.0,1.0140450227868083,0.9147286821705426,0.9050387596899225,0.9147286821705426,0.8682170542635659,0.7441860465116279,0.877906976744186,0.8742248062015504
classic_trend_up_score3,fixed_20pct,11,103.46553424475223,0.0346553424475224,0.045364338942906,0.3299135840685137,classic,,11.0,0.8181818181818182,0.18181818181818182,1.0766033840648088,0.20731707317073178,-1.011904761904762,-1.0140845070422535,1.0,1.01299522076579,0.8062015503875969,0.9205426356589147,0.875968992248062,0.8023255813953488,0.9244186046511628,0.8934108527131783,0.8687015503875968
pressure_up_confirm,fixed_10pct,6,98.98785821971624,-0.0101214178028375,-0.0057445571441068,0.1014084507042253,extended_classic,,6.0,0.8333333333333334,0.16666666666666666,0.9079036488239561,0.14485294117647063,-0.47478418900499764,-1.0140845070422533,1.0,1.0140845070422533,0.7674418604651163,0.936046511627907,0.7248062015503876,0.9224806201550387,0.9244186046511628,0.9186046511627907,0.8623062015503876
latest_m1_drop20_down,fixed_15pct,52,151.10434439851363,0.5110434439851363,0.1020107297970422,0.3497263234942355,latest_regime,1.0,52.0,0.8076923076923077,0.19230769230769232,1.277446474857591,0.30263157894736836,-1.0134779516358465,-1.015625,2.0,1.0140450227868085,0.9302325581395349,0.9050387596899225,0.9031007751937985,0.7906976744186046,0.7441860465116279,0.8701550387596899,0.8579457364341085
pressure_up_confirm,fixed_15pct,6,97.94562423117894,-0.0205437576882105,-0.0057445571441068,0.152112676056338,extended_classic,,6.0,0.8333333333333334,0.16666666666666666,0.8801972435346553,0.14485294117647057,-0.47478418900499775,-1.0140845070422535,1.0,1.0140845070422535,0.7635658914728682,0.936046511627907,0.689922480620155,0.9147286821705426,0.9244186046511628,0.9108527131782945,0.852422480620155
classic_trend_up_score3,fixed_25pct,11,101.94448902667024,0.0194448902667023,0.0453643389429061,0.4048292156786874,classic,,11.0,0.8181818181818182,0.18181818181818182,1.0335998530009327,0.20731707317073184,-1.0119047619047616,-1.0140845070422535,1.0,1.0129952207657897,0.7945736434108527,0.9205426356589147,0.8449612403100775,0.7364341085271318,0.9244186046511628,0.9031007751937985,0.848546511627907
pressure_up_confirm,fixed_20pct,6,96.5131743802247,-0.034868256197753,-0.0057445571441068,0.2028169014084507,extended_classic,,6.0,0.8333333333333334,0.16666666666666666,0.8533192379615899,0.1448529411764706,-0.47478418900499775,-1.0140845070422535,1.0,1.0140845070422535,0.751937984496124,0.936046511627907,0.6317829457364341,0.8914728682170543,0.9244186046511628,0.9108527131782945,0.8343992248062015
price_interval_down_65_80,fixed_10pct,42,108.81931316900707,0.0881931316900708,0.0587628356022919,0.3236349191930867,extended_classic,,42.0,0.7857142857142857,0.21428571428571427,1.0894382307896187,0.2857142857142857,-1.0136986301369864,-1.0149253731343284,2.0,1.0137545603094058,0.8449612403100775,0.8662790697674418,0.8798449612403101,0.8178294573643411,0.7441860465116279,0.7984496124031008,0.8310077519379845
latest_m1_drop20_down,fixed_20pct,52,146.09494971405775,0.4609494971405774,0.1020107297970422,0.4559015490380859,latest_regime,1.0,52.0,0.8076923076923077,0.19230769230769232,1.1895508074062624,0.3026315789473684,-1.0134779516358465,-1.0156250000000002,2.0,1.0140450227868085,0.9224806201550387,0.9050387596899225,0.8953488372093024,0.6395348837209303,0.7441860465116279,0.8701550387596899,0.8250000000000001
pressure_up_confirm,fixed_25pct,6,94.6648160674283,-0.0533518393257169,-0.0057445571441068,0.2535211267605634,extended_classic,,6.0,0.8333333333333334,0.16666666666666666,0.8272219729194832,0.14485294117647063,-0.47478418900499775,-1.0140845070422535,1.0,1.0140845070422535,0.7403100775193798,0.936046511627907,0.5930232558139535,0.8565891472868217,0.9244186046511628,0.9108527131782945,0.8179263565891473
latest_m1_drop20_down,fixed_25pct,52,144.98764160688535,0.4498764160688535,0.1020107297970422,0.5314552703931995,latest_regime,1.0,52.0,0.8076923076923077,0.19230769230769232,1.1497858805385246,0.30263157894736836,-1.0134779516358463,-1.0156250000000002,2.0,1.0140450227868085,0.9186046511627907,0.9050387596899225,0.8875968992248062,0.5658914728682171,0.7441860465116279,0.877906976744186,0.8089147286821705
classic_trend_up_basic,fixed_10pct,20,99.17257303894704,-0.0082742696105294,0.034016271599727,0.2260475585128417,classic,,20.0,0.8,0.2,0.9810523814203611,0.214769647696477,-1.014238556338028,-1.0178571428571426,2.0,1.0148701811659175,0.7732558139534884,0.8856589147286822,0.8062015503875969,0.8856589147286822,0.7441860465116279,0.6375968992248062,0.8068798449612403
rule_rise30to50_up,fixed_10pct,20,99.17257303894704,-0.0082742696105294,0.034016271599727,0.2260475585128417,bankroll,,20.0,0.8,0.2,0.9810523814203608,0.214769647696477,-1.014238556338028,-1.0178571428571428,2.0,1.0148701811659175,0.7732558139534884,0.8856589147286822,0.8023255813953488,0.8856589147286822,0.7441860465116279,0.6375968992248062,0.8061046511627907
price_interval_down_65_80,fixed_15pct,42,103.47793326752912,0.0347793326752912,0.0587628356022919,0.4641756539127781,extended_classic,,42.0,0.7857142857142857,0.21428571428571427,1.0234553014338252,0.2857142857142857,-1.0136986301369864,-1.0149253731343282,2.0,1.0137545603094058,0.810077519379845,0.8662790697674418,0.8294573643410853,0.6317829457364341,0.7441860465116279,0.7984496124031008,0.7784883720930232
vol_filter_up_clean,fixed_25pct,3,113.29033295403949,0.1329033295403947,0.1699846633354772,0.0,extended_classic,,3.0,1.0,0.0,,0.16470588235294117,0.14328600405679512,0.13793103448275862,0.0,0.0,0.8662790697674418,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9709302325581395,0.7710271317829458
regime_trend_up,fixed_25pct,3,113.29033295403949,0.1329033295403947,0.1699846633354772,0.0,extended_classic,,3.0,1.0,0.0,,0.16470588235294117,0.14328600405679512,0.13793103448275862,0.0,0.0,0.8662790697674418,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9709302325581395,0.7710271317829458
classic_trend_up_basic,fixed_15pct,20,94.3879479582636,-0.056120520417364,0.034016271599727,0.3291679640836172,classic,,20.0,0.8,0.2,0.9157516701484729,0.21476964769647697,-1.014238556338028,-1.0178571428571428,2.0,1.0148701811659175,0.7364341085271318,0.8856589147286822,0.7325581395348837,0.8062015503875969,0.7441860465116279,0.6375968992248062,0.7707364341085271
regime_trend_up,fixed_20pct,3,110.54468708257062,0.1054468708257061,0.1699846633354772,0.0,extended_classic,,3.0,1.0,0.0,,0.1647058823529412,0.14328600405679512,0.1379310344827586,0.0,0.0,0.8585271317829457,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9709302325581395,0.7698643410852712
vol_filter_up_clean,fixed_20pct,3,110.54468708257062,0.1054468708257061,0.1699846633354772,0.0,extended_classic,,3.0,1.0,0.0,,0.1647058823529412,0.14328600405679512,0.1379310344827586,0.0,0.0,0.8585271317829457,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9709302325581395,0.7698643410852712
regime_trend_up,fixed_15pct,3,107.84318408944738,0.0784318408944737,0.1699846633354772,0.0,extended_classic,,3.0,1.0,0.0,,0.16470588235294117,0.14328600405679512,0.13793103448275862,0.0,0.0,0.8391472868217055,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9709302325581395,0.7669573643410852
vol_filter_up_clean,fixed_15pct,3,107.84318408944738,0.0784318408944737,0.1699846633354772,0.0,extended_classic,,3.0,1.0,0.0,,0.16470588235294117,0.14328600405679512,0.13793103448275862,0.0,0.0,0.8391472868217055,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9709302325581395,0.7669573643410852
vol_filter_up_clean,fixed_10pct,3,105.18547073665462,0.0518547073665462,0.1699846633354772,0.0,extended_classic,,3.0,1.0,0.0,,0.1647058823529412,0.14328600405679515,0.13793103448275865,0.0,0.0,0.8275193798449613,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9864341085271318,0.766763565891473
regime_trend_up,fixed_10pct,3,105.18547073665462,0.0518547073665462,0.1699846633354772,0.0,extended_classic,,3.0,1.0,0.0,,0.1647058823529412,0.14328600405679515,0.13793103448275865,0.0,0.0,0.8275193798449613,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9864341085271318,0.766763565891473
rule_drop20_down,full_kelly,1,101.5216,0.0152160000000001,0.9411764705882352,0.0,bankroll,,1.0,1.0,0.0,,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.0,0.0,0.7868217054263565,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9961240310077519,0.7616279069767443
rule_drop20_down,half_kelly,1,101.5216,0.0152160000000001,0.9411764705882352,0.0,bankroll,,1.0,1.0,0.0,,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.0,0.0,0.7868217054263565,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9961240310077519,0.7616279069767443
rule_drop20_down,quarter_kelly,1,101.5216,0.0152160000000001,0.9411764705882352,0.0,bankroll,,1.0,1.0,0.0,,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.0,0.0,0.7868217054263565,0.9806201550387597,0.023255813953488372,0.9806201550387597,0.9806201550387597,0.9961240310077519,0.7616279069767443
rule_rise30to50_up,fixed_20pct,20,88.32451747344112,-0.1167548252655887,0.034016271599727,0.4293696224333039,bankroll,,20.0,0.8,0.2,0.8700812552153625,0.214769647696477,-1.014238556338028,-1.0178571428571428,2.0,1.0148701811659175,0.687984496124031,0.8856589147286822,0.6666666666666666,0.7151162790697675,0.7441860465116279,0.6375968992248062,0.7320736434108527
classic_trend_up_basic,fixed_20pct,20,88.32451747344112,-0.1167548252655887,0.034016271599727,0.4293696224333039,classic,,20.0,0.8,0.2,0.8700812552153627,0.214769647696477,-1.0142385563380283,-1.0178571428571428,2.0,1.0148701811659175,0.687984496124031,0.8856589147286822,0.6705426356589147,0.7151162790697675,0.7441860465116279,0.625968992248062,0.7316860465116279
