strategy,sizing,first_quote_ts,slug,entry_minute,side,target_cost,shares,entry_price,pnl_usd,bankroll_after
latest_m1_drop20_down,fixed_10pct,2026-04-26 06:05:01+00:00,btc-updown-5m-1777183500,1,buy_down,10.0,14.705882352941176,0.68,4.558823529411764,104.55882352941177
latest_m1_drop20_down,fixed_10pct,2026-04-26 08:00:02+00:00,btc-updown-5m-1777190400,1,buy_down,10.455882352941178,16.596638655462186,0.63,5.974789915966387,110.53361344537815
latest_m1_drop20_down,fixed_10pct,2026-04-26 08:40:01+00:00,btc-updown-5m-1777192800,1,buy_down,11.053361344537816,14.355014733165994,0.77,3.1581032412965184,113.69171668667467
latest_m1_drop20_down,fixed_10pct,2026-04-26 10:00:01+00:00,btc-updown-5m-1777197600,1,buy_down,11.369171668667468,12.774350189514008,0.89,1.2774350189514008,114.96915170562606
latest_m1_drop20_down,fixed_10pct,2026-04-26 11:45:01+00:00,btc-updown-5m-1777203900,1,buy_down,11.496915170562607,14.193722432793342,0.81,-11.638852394890542,103.33029931073551
latest_m1_drop20_down,fixed_10pct,2026-04-26 12:45:01+00:00,btc-updown-5m-1777207500,1,buy_down,10.333029931073552,12.015151082643666,0.86,1.5619696407436765,104.8922689514792
latest_m1_drop20_down,fixed_10pct,2026-04-26 12:55:00+00:00,btc-updown-5m-1777208100,1,buy_down,10.48922689514792,14.368803965956056,0.73,3.7358890311485746,108.62815798262777
latest_m1_drop20_down,fixed_10pct,2026-04-26 13:35:01+00:00,btc-updown-5m-1777210500,1,buy_down,3.7224,5.64,0.66,-3.7788,104.84935798262777
latest_m1_drop20_down,fixed_10pct,2026-04-26 13:40:01+00:00,btc-updown-5m-1777210800,1,buy_down,10.484935798262777,14.3629257510449,0.73,3.734360695271674,108.58371867789944
latest_m1_drop20_down,fixed_10pct,2026-04-26 13:45:01+00:00,btc-updown-5m-1777211100,1,buy_down,10.858371867789945,13.405397367641907,0.81,2.4129715261755424,110.99669020407498
latest_m1_drop20_down,fixed_10pct,2026-04-26 14:00:02+00:00,btc-updown-5m-1777212000,1,buy_down,11.099669020407498,13.37309520531024,0.83,2.139695232849639,113.13638543692461
latest_m1_drop20_down,fixed_10pct,2026-04-26 14:35:01+00:00,btc-updown-5m-1777214100,1,buy_down,11.313638543692463,14.50466479960572,0.78,-11.45868519168852,101.6777002452361
latest_m1_drop20_down,fixed_10pct,2026-04-26 14:45:01+00:00,btc-updown-5m-1777214700,1,buy_down,10.16777002452361,13.557026699364814,0.75,3.2536864078475554,104.93138665308365
latest_m1_drop20_down,fixed_10pct,2026-04-26 15:30:02+00:00,btc-updown-5m-1777217400,1,buy_down,10.493138665308365,15.4310862725123,0.68,4.783636744478812,109.71502339756246
latest_m1_drop20_down,fixed_10pct,2026-04-26 15:45:02+00:00,btc-updown-5m-1777218300,1,buy_down,10.971502339756247,14.826354513184118,0.74,3.7065886282960294,113.4216120258585
latest_m1_drop20_down,fixed_10pct,2026-04-26 17:30:02+00:00,btc-updown-5m-1777224600,1,buy_down,11.34216120258585,14.541232311007498,0.78,3.053658785311574,116.47527081117006
latest_m1_drop20_down,fixed_10pct,2026-04-26 18:10:02+00:00,btc-updown-5m-1777227000,1,buy_down,11.647527081117007,14.932727027073085,0.78,-11.796854351387738,104.67841645978233
latest_m1_drop20_down,fixed_10pct,2026-04-26 18:25:01+00:00,btc-updown-5m-1777227900,1,buy_down,7.9074,11.46,0.69,3.4380000000000006,108.11641645978233
latest_m1_drop20_down,fixed_10pct,2026-04-26 19:00:02+00:00,btc-updown-5m-1777230000,1,buy_down,10.811641645978234,13.026074272262933,0.83,2.0841718835620697,110.20058834334439
latest_m1_drop20_down,fixed_10pct,2026-04-26 19:20:02+00:00,btc-updown-5m-1777231200,1,buy_down,11.02005883433444,16.205968874021234,0.68,5.0238503509465815,115.22443869429097
latest_m1_drop20_down,fixed_10pct,2026-04-26 19:25:02+00:00,btc-updown-5m-1777231500,1,buy_down,11.522443869429097,12.257919010030955,0.94,0.6128959505015483,115.83733464479252
