micro_strategy,side,entry_minute,trades,avg_edge,avg_pnl_usd,total_pnl_usd
neutral_down_value,buy_down,2,120,0.18723910456892173,0.7777795180408525,93.33354216490231
early_drop_continuation,buy_down,1,64,0.13142869212375632,0.7958829012822335,50.93650568206294
sharp_drop_reversal,buy_up,2,56,0.24989104285847272,0.6796724545321517,38.0616574538005
late_breakout_up,buy_up,4,32,0.1435088175008928,0.09383424297814978,3.002695775300793
mild_drop_continuation,buy_down,2,120,0.15629181040791568,-1.0242549435837498,-122.91059323004997
extreme_up_fade,buy_down,2,56,0.28788627075108025,-3.584497560223558,-200.73186337251926
