strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown,avg_entry_minute
latest_switch_v1,fixed_25pct,110,1232.8363656204199,11.328363656204198,0.3892198861977793,0.5561936145567425,1.7363636363636363
latest_switch_v1,fixed_20pct,110,1133.1788222785262,10.331788222785262,0.3892198861977793,0.6107109386680353,1.7363636363636363
latest_switch_v1,fixed_15pct,110,1070.486073245063,9.70486073245063,0.38921988619777936,0.652625527682385,1.7363636363636363
latest_switch_v2,fixed_25pct,87,866.7765587941196,7.667765587941197,0.2415741662196934,0.8796615055264578,1.8505747126436782
latest_switch_v1,fixed_10pct,110,602.3139589803355,5.023139589803355,0.3892198861977793,0.6142175277330105,1.7363636363636363
latest_switch_v2,fixed_20pct,87,585.9734204441785,4.859734204441785,0.2415741662196934,0.8741437462715393,1.8505747126436782
latest_m2_sharpdrop_reversal_up,fixed_25pct,23,379.7241817672119,2.797241817672119,0.645567550885983,0.6569151611945349,2.0
latest_switch_v2,fixed_15pct,87,370.88771564125045,2.7088771564125045,0.2415741662196934,0.8187991864663053,1.8505747126436782
latest_m2_sharpdrop_reversal_up,fixed_20pct,23,293.46319802620053,1.9346319802620053,0.645567550885983,0.6191948308230315,2.0
latest_m2_sharpdrop_reversal_up,fixed_15pct,23,244.2719106766325,1.442719106766325,0.645567550885983,0.5549546296920033,2.0
latest_switch_v2,fixed_10pct,87,243.95832408953072,1.439583240895307,0.2415741662196934,0.710747660044799,1.8505747126436782
latest_m4_rise30to50_up,fixed_25pct,25,205.85599013380627,1.0585599013380627,0.1166832783365356,0.08053092783988426,4.0
latest_m2_sharpdrop_reversal_up,fixed_10pct,23,187.39958935292984,0.8739958935292984,0.645567550885983,0.44298817212255676,2.0
latest_m4_rise30to50_up,fixed_20pct,25,175.2095771134628,0.7520957711346281,0.1166832783365356,0.09144134369149884,4.0
latest_m2_extremeup_fade_down,fixed_10pct,22,174.53685864446578,0.7453685864446578,0.6301655519932745,0.6238146470421703,2.0
latest_m2_extremeup_fade_down,fixed_15pct,22,168.56669429929167,0.6856669429929168,0.6301655519932744,0.762479924242035,2.0
latest_m1_drop20_down,fixed_15pct,52,151.10434439851363,0.5110434439851363,0.10201072979704223,0.3497263234942355,1.0
latest_m4_rise30to50_up,fixed_15pct,25,148.464840707039,0.48464840707039003,0.1166832783365356,0.10408019364761657,4.0
latest_m1_drop20_down,fixed_20pct,52,146.09494971405775,0.4609494971405774,0.10201072979704222,0.4559015490380859,1.0
latest_m1_drop20_down,fixed_25pct,52,144.98764160688535,0.44987641606885354,0.10201072979704223,0.5314552703931995,1.0
latest_m1_drop20_down,fixed_10pct,52,144.96739206387662,0.4496739206387661,0.10201072979704223,0.24177764611622063,1.0
latest_m2_extremeup_fade_down,fixed_20pct,22,141.5170017962048,0.4151700179620479,0.6301655519932745,0.8578019648482423,2.0
latest_m2_neutral_down,fixed_20pct,68,134.2778398140204,0.34277839814020417,0.08157035297603497,0.8632715404384967,2.0
latest_m2_neutral_down,fixed_25pct,68,132.0230334376097,0.32023033437609705,0.081570352976035,0.9172513933853826,2.0
latest_m4_rise30to50_up,fixed_10pct,25,127.59722869064217,0.2759722869064216,0.1166832783365356,0.10129870129870135,4.0
latest_m2_neutral_down,fixed_10pct,68,127.1773077199881,0.271773077199881,0.081570352976035,0.6359808949917581,2.0
latest_m2_neutral_down,fixed_15pct,68,123.32469478210515,0.2332469478210515,0.08157035297603497,0.7841676049897536,2.0
latest_m2_extremeup_fade_down,fixed_25pct,22,107.64481821732795,0.07644818217327942,0.6301655519932744,0.9180637459929727,2.0
latest_m2_milddrop_down,fixed_10pct,50,92.82516066869933,-0.07174839331300675,0.03733463995637586,0.4281230818011278,2.0
latest_m2_milddrop_down,fixed_15pct,50,84.16379926212808,-0.1583620073787192,0.03733463995637588,0.5616273014793584,2.0
latest_m2_milddrop_down,fixed_20pct,50,71.71282990682533,-0.28287170093174663,0.03733463995637588,0.6735147227877628,2.0
latest_m2_milddrop_down,fixed_25pct,50,57.04060580668244,-0.42959394193317557,0.03733463995637587,0.7644849298068915,2.0
