strategy,sizing,first_quote_ts,slug,side,entry_price,qhat_for_side,target_cost,shares,best_price_max_cost,outcome_up,pnl_usd,bankroll_after
rule_drop10_down,full_kelly,2026-04-26 16:40:02+00:00,btc-updown-5m-1777221600,buy_down,0.45,0.55,18.181818181818183,40.40404040404041,53.208,0.0,21.81818181818182,121.81818181818181
rule_drop10_down,full_kelly,2026-04-26 20:10:00+00:00,btc-updown-5m-1777234200,buy_down,0.48,0.55,14.879999999999999,31.0,14.879999999999999,0.0,15.81,137.62818181818182
rule_drop10_down,full_kelly,2026-04-26 21:35:01+00:00,btc-updown-5m-1777239300,buy_down,0.51,0.55,1.6167,3.17,1.6167,0.0,1.5215999999999998,139.14978181818182
rule_drop10_down,full_kelly,2026-04-27 03:20:01+00:00,btc-updown-5m-1777260000,buy_down,0.53,0.55,5.921267311411998,11.17220247436226,237.7739,1.0,-6.03298933615562,133.1167924820262
rule_drop10_down,half_kelly,2026-04-26 16:40:02+00:00,btc-updown-5m-1777221600,buy_down,0.45,0.55,9.090909090909092,20.202020202020204,53.208,0.0,10.90909090909091,110.9090909090909
rule_drop10_down,half_kelly,2026-04-26 20:10:00+00:00,btc-updown-5m-1777234200,buy_down,0.48,0.55,7.46503496503497,15.552156177156188,14.879999999999999,0.0,7.931599650349656,118.84069055944056
rule_drop10_down,half_kelly,2026-04-26 21:35:01+00:00,btc-updown-5m-1777239300,buy_down,0.51,0.55,1.6167,3.17,1.6167,0.0,1.5215999999999998,120.36229055944057
rule_drop10_down,half_kelly,2026-04-27 03:20:01+00:00,btc-updown-5m-1777260000,buy_down,0.53,0.55,2.5608997991370357,4.831886413466105,237.7739,1.0,-2.609218663271697,117.75307189616888
rule_drop10_down,quarter_kelly,2026-04-26 16:40:02+00:00,btc-updown-5m-1777221600,buy_down,0.45,0.55,4.545454545454546,10.101010101010102,53.208,0.0,5.454545454545455,105.45454545454545
rule_drop10_down,quarter_kelly,2026-04-26 20:10:00+00:00,btc-updown-5m-1777234200,buy_down,0.48,0.55,3.548951048951052,7.393648018648025,14.879999999999999,0.0,3.770760489510493,109.22530594405595
rule_drop10_down,quarter_kelly,2026-04-26 21:35:01+00:00,btc-updown-5m-1777239300,buy_down,0.51,0.55,1.6167,3.17,1.6167,0.0,1.5215999999999998,110.74690594405595
rule_drop10_down,quarter_kelly,2026-04-27 03:20:01+00:00,btc-updown-5m-1777260000,buy_down,0.53,0.55,1.1781585738729368,2.222940705420635,237.7739,1.0,-1.2003879809271432,109.5465179631288
rule_drop10_down,fixed_10pct,2026-04-26 05:35:01+00:00,btc-updown-5m-1777181700,buy_down,0.86,0.55,10.0,11.627906976744185,194.34279999999998,0.0,1.5116279069767435,101.51162790697674
rule_drop10_down,fixed_10pct,2026-04-26 05:45:02+00:00,btc-updown-5m-1777182300,buy_down,0.89,0.55,10.151162790697676,11.405800888424354,221.3608,1.0,-10.265220799581918,91.24640710739482
rule_drop10_down,fixed_10pct,2026-04-26 05:50:01+00:00,btc-updown-5m-1777182600,buy_down,0.85,0.55,5.7205,6.73,5.7205,0.0,0.9422,92.18860710739482
rule_drop10_down,fixed_10pct,2026-04-26 06:05:01+00:00,btc-updown-5m-1777183500,buy_down,0.73,0.55,9.218860710739483,12.628576316081483,66.6563,0.0,3.283429842181186,95.47203694957601
