strategy,sizing,first_quote_ts,slug,entry_minute,regime,micro_strategy,side,market_price,fair_prob,edge,support,bucket,target_cost,shares,pnl_usd,bankroll_after
selected_fairprob_switch,fixed_10pct,2026-04-26 09:35:01+00:00,btc-updown-5m-1777196100,2,neutral,neutral_down_value,buy_down,0.47,0.5908088255456684,0.12080882554566841,22,down_level_3,10.0,21.27659574468085,11.063829787234043,111.06382978723404
selected_fairprob_switch,fixed_10pct,2026-04-26 10:00:01+00:00,btc-updown-5m-1777197600,2,early_drop,sharp_drop_reversal,buy_up,0.13,0.39645382192252854,0.26645382192252853,46,up_level_5,11.106382978723405,85.43371522094927,-11.960720130932899,99.10310965630114
selected_fairprob_switch,fixed_10pct,2026-04-26 10:10:02+00:00,btc-updown-5m-1777198200,2,neutral,neutral_down_value,buy_down,0.46,0.7902420642673992,0.33024206426739916,10,down_level_1,9.910310965630115,21.544154273108944,-10.125752508361204,88.97735714793994
selected_fairprob_switch,fixed_10pct,2026-04-26 10:15:01+00:00,btc-updown-5m-1777198500,2,neutral,neutral_down_value,buy_down,0.54,0.7053201239273258,0.16532012392732576,11,down_level_1,8.897735714793994,16.477288360729617,7.414779762328327,96.39213691026826
selected_fairprob_switch,fixed_10pct,2026-04-26 10:30:01+00:00,btc-updown-5m-1777199400,2,mild_drop,mild_drop_continuation,buy_down,0.82,0.9118605907403118,0.09186059074031183,10,down_level_3,9.639213691026827,11.755138647593691,-9.756765077502763,86.6353718327655
selected_fairprob_switch,fixed_10pct,2026-04-26 10:35:01+00:00,btc-updown-5m-1777199700,2,neutral,neutral_down_value,buy_down,0.4,0.6900499535114973,0.2900499535114973,10,down_level_2,8.663537183276551,21.658842958191375,12.778717345332911,99.41408917809841
selected_fairprob_switch,fixed_10pct,2026-04-26 10:40:02+00:00,btc-updown-5m-1777200000,2,mild_drop,mild_drop_continuation,buy_down,0.72,0.8138691344678575,0.0938691344678575,11,down_level_3,9.941408917809841,13.807512385847003,3.728028344178691,103.1421175222771
selected_fairprob_switch,fixed_10pct,2026-04-26 10:45:01+00:00,btc-updown-5m-1777200300,2,neutral,neutral_down_value,buy_down,0.36,0.5661547725649161,0.2061547725649161,28,down_level_3,10.314211752227711,28.650588200632534,18.049870566398496,121.1919880886756
selected_fairprob_switch,fixed_10pct,2026-04-26 10:50:01+00:00,btc-updown-5m-1777200600,2,neutral,neutral_down_value,buy_down,0.37,0.5894652781308918,0.21946527813089178,29,down_level_3,12.11919880886756,32.75459137531773,-12.446744722620737,108.74524336605486
selected_fairprob_switch,fixed_10pct,2026-04-26 10:55:00+00:00,btc-updown-5m-1777200900,2,neutral,neutral_down_value,buy_down,0.31,0.5584041648814884,0.24840416488148837,30,down_level_3,10.874524336605488,35.079110763243506,-11.225315444237921,97.51992792181694
selected_fairprob_switch,fixed_10pct,2026-04-26 11:00:01+00:00,btc-updown-5m-1777201200,2,extreme_up,extreme_up_fade,buy_down,0.06,0.5795190607377819,0.519519060737782,57,down_level_4,9.751992792181696,162.53321320302828,-11.377324924211978,86.14260299760497
selected_fairprob_switch,fixed_10pct,2026-04-26 11:15:01+00:00,btc-updown-5m-1777202100,2,mild_drop,mild_drop_continuation,buy_down,0.77,0.8325035923279686,0.06250359232796854,12,down_level_3,8.614260299760497,11.187351038649997,2.4612172285029987,88.60382022610797
selected_fairprob_switch,fixed_10pct,2026-04-26 11:20:01+00:00,btc-updown-5m-1777202400,2,neutral,neutral_down_value,buy_down,0.54,0.73482194629945,0.19482194629944993,12,down_level_1,8.860382022610798,16.408114856686662,-9.024463171177665,79.57935705493031
selected_fairprob_switch,fixed_10pct,2026-04-26 11:30:01+00:00,btc-updown-5m-1777203000,2,mild_drop,mild_drop_continuation,buy_down,0.71,0.8482334872084357,0.13823348720843576,13,down_level_3,4.2529,5.990000000000001,1.6772000000000005,81.25655705493031
selected_fairprob_switch,fixed_10pct,2026-04-26 11:35:02+00:00,btc-updown-5m-1777203300,2,mild_drop,mild_drop_continuation,buy_down,0.81,0.8616813301107575,0.051681330110757484,14,down_level_3,8.125655705493031,10.031673710485222,1.8057012678873394,83.06225832281766
selected_fairprob_switch,fixed_10pct,2026-04-26 11:40:02+00:00,btc-updown-5m-1777203600,2,neutral,neutral_down_value,buy_down,0.36,0.47720063580114674,0.11720063580114676,35,down_level_3,8.306225832281767,23.07284953411602,-8.536954327622928,74.52530399519473
selected_fairprob_switch,fixed_10pct,2026-04-26 11:55:00+00:00,btc-updown-5m-1777204500,2,neutral,neutral_down_value,buy_down,0.42,0.6658134694503026,0.24581346945030264,13,down_level_1,7.452530399519474,17.74411999885589,10.114148399347858,84.63945239454259
selected_fairprob_switch,fixed_10pct,2026-04-26 12:10:01+00:00,btc-updown-5m-1777205400,2,sharp_drop_reversal,sharp_drop_reversal,buy_up,0.13,0.4448481047445807,0.3148481047445807,71,up_level_5,8.46394523945426,65.10727107272507,-9.11501795018151,75.52443444436108
